-6,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,Original,Mix98MinCPU60,Mix98MinCPU60,,3783,-10789,14572,0.75
3498,71.1001781,97.74286518,98.14814384,2,14,5,38.64,45.08,44.8,7.69E-01,0.09896711223,2.80E-01,3,2,2,-1,12,3,98,7,,,,,0.65,98.99703445,6,45.36,0.2309651653,2,-4,,0.7
3504,71.05688916,97.74604706,98.15156901,2,14,5,38.4,45.16,44.76,7.00E-01,0.0937854467,2.67E-01,3,2,2,-1,12,3,98,7,,,,,0.65,98.99808154,6,44.76,0.2159529808,2,-4,,0.7
3510,71.0253632,97.74882679,98.15357843,2,14,5,39.16,45.08,44.96,6.66E-01,0.101200513,2.59E-01,3,2,2,-1,12,3,98,7,,,,,0.65,98.99939802,6,44.88,0.2382894644,2,-4,,0.7
3516,70.96274332,97.75138093,98.15550453,2,14,5,39.24,45.44,44.64,7.49E-01,0.105068716,2.44E-01,3,2,2,-1,12,3,98,7,,,,,0.65,99.00046306,6,44.76,0.2138226467,2,-4,,0.7
3522,70.93009489,97.75433763,98.15759592,2,14,5,40.12,45,45.2,7.60E-01,0.1186323746,3.13E-01,3,2,2,-1,12,3,98,7,,,,,0.65,99.00151986,6,44.4,0.2122712004,2,-4,,0.7
3528,70.89559489,97.75759818,98.15966773,2,14,5,41.28,44.84,45.16,6.14E-01,0.1172206807,2.97E-01,3,2,2,-1,12,3,98,7,,,,,0.65,99.00394255,6,45.4,0.2285066639,2,-4,,0.7
3534,70.84892467,97.76095526,98.16288267,2,14,5,41.24,45.64,45.24,7.76E-01,0.1035406334,2.57E-01,3,2,2,-1,12,3,98,7,,,,,0.65,99.00493091,6,44.56,0.2040947436,2,-4,,0.7
3540,70.83003535,97.76351011,98.16487325,2,13,5,40.92,44.92,45.32,6.78E-01,0.1109760538,2.94E-01,3,2,2,-1,11,3,98,7,,,,,0.65,99.00631038,6,45.44,0.2010676865,2,-4,,0.7
3546,70.78240191,97.76604399,98.16674675,2,13,5,39.4,44.76,44.6,4.80E-01,0.08972904108,2.71E-01,3,2,2,-1,11,3,98,7,,,,,0.65,99.00739712,6,45.24,0.2188543572,2,-4,,0.7
3552,70.77910339,97.76914142,98.1688771,2,13,5,39.6,45.16,44.96,7.70E-01,0.1056369462,2.96E-01,3,2,2,-1,11,3,98,7,,,,,0.65,99.00845405,6,45.6,0.192987914,3,-3,,0.7
3558,70.73346172,97.77228231,98.17063679,2,13,5,39.8,45.12,45,7.14E-01,0.1069307606,2.35E-01,3,2,2,-1,11,3,98,7,,,,,0.65,99.00973799,6,44.8,0.2216140737,2,-4,,0.7
3564,70.68959785,97.77548335,98.17426345,2,13,5,39.36,45.16,46,6.75E-01,0.09974277356,2.56E-01,3,2,2,-1,11,3,98,7,,,,,0.65,99.01072258,6,44.24,0.1691054653,2,-4,,0.7
3570,70.67400181,97.77807672,98.17596542,2,13,5,38.56,44.84,45,7.66E-01,0.09667507122,2.85E-01,3,2,2,-1,11,3,98,7,,,,,0.65,99.01204242,5,44.72,0.2672444818,2,-3,,0.7
3576,70.71869812,97.78051617,98.17782018,2,13,5,39.07455,44.28,44.72,7.74E-01,0.08732786363,2.88E-01,3,2,2,-1,11,3,98,7,,,,,0.65,99.01312813,5,44.52,0.2627932127,2,-3,,0.7
3582,70.74037827,97.78359752,98.17996197,3,13,5,39.06060889,45.04,46.04,5.66E-01,0.09811244004,2.61E-01,3,2,2,0,11,3,98,7,,,,,0.65,99.01402688,5,44.32,0.2687886547,2,-3,,0.7
3588,70.78967127,97.78736539,98.1818766,3,13,5,39.87176833,45.16,45.44,4.64E-01,0.1014028806,2.30E-01,3,2,2,0,11,3,98,7,,,,,0.65,99.01623974,5,42.56,0.2866754345,2,-3,,0.7
3594,70.83401152,97.7898938,98.18508751,3,13,5,40.14432,45.2,44.68,5.05E-01,0.1003871372,2.08E-01,3,2,2,0,11,3,98,7,,,,,0.65,99.01688659,5,39.4,0.2426138036,2,-3,,0.7
3600,70.87491184,97.79208033,98.18678679,3,12,4,35.42073333,43.68,43.92,5.17E-01,0.1125630561,3.56E-01,3,2,2,0,10,2,98,7,,,,,0.65,99.01742994,5,32.2,0.288530616,2,-3,,0.7
3606,70.93443035,97.79396752,98.18830504,3,12,4,29.68,40.68,42.4,3.52E-01,0.1003198089,3.32E-01,2,2,2,1,10,2,98,7,,,,,0.65,99.01743714,5,23.24,0.2003202251,2,-3,,0.7
3612,70.93760701,97.79535326,98.18916631,3,12,4,22.04,35.04,36.2,3.75E-01,0.09515199631,3.31E-01,2,2,2,1,10,2,98,7,,,,,0.65,99.01739542,5,16.72,0.1673200211,1,-4,,0.7
3618,70.93530178,97.79622839,98.18964946,3,12,4,14.8,24.2,29.76,3.17E-01,0.09451716054,2.55E-01,1,2,2,2,10,2,98,7,,,,,0.65,99.01773474,5,10.88,0.1289249852,1,-4,,0.7
3624,70.94161606,97.79632603,98.19049128,3,12,4,10.72,16.16,18.04,1.85E-01,0.07095271473,2.57E-01,1,1,1,2,11,3,98,7,,,,,0.65,99.01823641,5,10.04,0.07898888368,1,-4,,0.7
3630,71.00106296,97.7968702,98.19082959,3,12,4,11.04,11.28,12.72,1.55E-01,0.05416640331,1.88E-01,1,1,1,2,11,3,98,7,,,,,0.65,99.01862982,5,13.4,0.07264079045,1,-4,,0.7
3636,71.03419325,97.79775662,98.19149282,3,11,4,16.16,9.24,10.44,8.11E-02,0.03459526515,1.58E-01,1,1,1,2,10,3,98,7,,,,,0.65,99.01943844,5,23.4,0.06377548894,2,-3,,0.7
3642,71.0748866,97.79914345,98.19221735,3,11,4,23.56,12.12,13.52,1.18E-01,0.0253500261,8.44E-02,2,1,1,1,10,3,98,7,,,,,0.65,99.0206267,4,30.52,0.09948976659,2,-2,,0.7
3648,71.12363513,97.80203607,98.19405479,3,11,4,30.52,22.8,23.2,1.10E-01,0.02831267571,8.85E-02,2,1,2,1,10,2,98,7,,,,,0.65,99.02268874,4,37.12,0.1953736939,2,-2,,0.7
3654,71.17939565,97.80438018,98.19754137,3,11,4,37.32231868,29.88,34.4,1.83E-01,0.04276659224,1.10E-01,3,2,2,0,9,2,98,7,,,,,0.65,99.02430821,4,45.24,0.1950170087,2,-2,,0.7
3660,71.30810543,97.80705424,98.19979867,3,11,4,46.32,37,42.52,2.64E-01,0.05556979766,2.01E-01,3,2,2,0,9,2,98,7,,,,,0.65,99.02553438,4,49.92,0.2570072906,3,-1,,0.7
3666,71.34689284,97.81019901,98.20227092,2,11,4,47.28,44.16,49.16,6.27E-01,0.06140351506,2.56E-01,3,2,3,-1,9,1,98,7,,,,,0.65,99.02681295,4,52.68,0.3355379055,3,-1,,0.7
3672,71.39871846,97.81415831,98.20484898,2,11,3,48,50.92,55.84,6.34E-01,0.09007187695,3.63E-01,3,3,3,-1,8,0,98,7,,,,,0.65,99.02811703,4,51.48,0.3782228124,3,-1,,0.7
3678,71.44840682,97.81803937,98.20752119,2,11,3,46.92,52.76,58.08,6.22E-01,0.122421797,2.99E-01,3,3,3,-1,8,0,98,7,,,,,0.65,99.02904942,4,48.64,0.3649278011,3,-1,,0.7
3684,71.50059601,97.82064157,98.21118614,2,11,3,46.28,52.24,57.6,4.60E-01,0.1245667128,3.45E-01,3,3,3,-1,8,0,98,7,,,,,0.65,99.0304895,4,49.04,0.2452390645,3,-1,,0.7
3690,71.62538994,97.82325705,98.21329667,2,11,3,48.2,50.36,56.08,4.64E-01,0.1390853681,5.25E-01,3,3,3,-1,8,0,98,7,,,,,0.65,99.03171463,4,50.08,0.3380138097,3,-1,,0.7
3696,71.68322917,97.82592627,98.2155779,2,11,3,49.56,49.4,55.4,5.99E-01,0.1305633261,5.33E-01,3,3,3,-1,8,0,98,7,,,,,0.65,99.03316369,4,52.76,0.3594087611,3,-1,,0.7
3702,71.73201542,97.82996967,98.21821095,2,10,3,50.52,50.8,56.12,5.72E-01,0.1290383486,4.46E-01,4,3,3,-2,7,0,98,7,,,,,0.65,99.03489706,4,57.76,0.3445172318,3,-1,,0.7
3708,71.74025772,97.83450278,98.22125505,2,10,3,49.52,55.12,59.68,5.26E-01,0.1312349522,3.07E-01,3,3,3,-1,7,0,98,7,,,,,0.65,99.03741951,4,61.84,0.363360363,3,-1,,0.7
3714,71.78571699,97.83784304,98.22589889,2,10,3,51.04,57.76,65.12,6.47E-01,0.1535402731,4.45E-01,4,3,3,-2,7,0,98,7,,,,,0.65,99.03937594,4,66.12,0.4259629201,3,-1,,0.7
3720,71.7934847,97.84133716,98.22886098,2,10,3,48.72,60.96,68.52,6.17E-01,0.1684425273,5.74E-01,3,3,3,-1,7,0,98,7,,,,,0.65,99.04117413,4,70.6,0.398115188,4,0,,0.7
3726,71.75171112,97.84529924,98.2318431,2,10,3,46.8,65.2,72.36,6.29E-01,0.1654269665,5.58E-01,3,3,4,-1,7,-1,98,7,,,,,0.65,99.04316462,4,73.76,0.4974069339,4,0,,0.7
3732,71.72490832,97.85047763,98.22827415,2,10,3,48.12,69.28,75.56,8.18E-01,0.1887346162,5.35E-01,3,4,4,-1,6,-1,98,7,,,,,0.65,99.04523057,4,75.71548908,0.4677724986,4,0,,0.7
3738,71.69409352,97.85640903,98.22977818,2,10,3,45.88,75.16,78.12,8.18E-01,0.201668333,5.68E-01,3,4,4,-1,6,-1,98,7,,,,,0.65,99.04695583,4,77.52,0.5878386014,4,0,,0.7
3744,71.65309421,97.86083326,98.22653385,2,10,3,44.2,79.16,79.16,7.61E-01,0.2042549955,6.76E-01,3,4,4,-1,6,-1,98,7,,,,,0.65,99.04915538,15,78.87160667,0.4582888118,4,-11,,0.7
3750,71.59951808,97.86541084,98.21044462,2,10,3,43.88,82.2,78.04,6.70E-01,0.2212059512,6.65E-01,3,4,4,-1,6,-1,98,7,,,,,0.65,99.05150326,15,81.18395667,0.4193447597,4,-11,,0.7
3756,71.56433065,97.86969279,98.18897402,2,10,3,41.04,86.6,78.2,6.19E-01,0.2169911315,6.72E-01,3,4,4,-1,6,-1,98,7,,,,,0.65,99.05361319,15,81.59844036,0.4534833299,4,-11,,0.7
3762,71.53636718,97.87539291,98.17354739,3,10,3,43.96950667,88.48,77.96,5.92E-01,0.2094104116,7.52E-01,3,4,4,0,6,-1,98,7,,,,,0.65,99.05594306,15,79.82763733,0.4324881339,4,-11,,0.7
3768,71.54523974,97.8820037,98.14150553,3,9,3,46.52346833,90.24,73.72,5.92E-01,0.2848389433,7.40E-01,3,4,4,0,5,-1,98,7,,,,,0.65,99.05869126,15,80.43584667,0.3545587051,4,-11,,0.7
3774,71.61810313,97.8862219,98.11160907,3,9,5,51.94556267,89.32,71.22662,5.66E-01,0.2823935977,5.80E-01,4,4,4,-1,5,1,98,7,,,,,0.65,99.06067905,15,81.6,0.2702689039,4,-11,,0.7
3780,71.74965307,97.89012383,98.10847245,3,9,5,59.46192,86.96,72.63345556,6.90E-01,0.2602199926,5.90E-01,4,4,4,-1,5,1,98,7,,,,,0.65,99.06231916,15,77.56,0.1984419502,4,-11,,0.7
3786,71.82395126,97.89428131,98.11053416,3,9,5,65.08,83,72.32341333,4.69E-01,0.2479180619,6.23E-01,4,4,4,-1,5,1,98,7,,,,,0.65,99.06386698,15,75.92,0.1769300904,4,-11,,0.7
3792,71.91777666,97.89903096,98.11435918,3,9,5,68.2,77.2,73.121784,5.45E-01,0.2153184241,5.75E-01,5,4,4,-2,5,1,98,7,,,,,0.65,99.06553903,15,71.08,0.1599415849,4,-11,,0.7
3798,71.986195,97.90388783,98.11736443,3,9,5,66.76,74.08,75.24308267,5.26E-01,0.2238718935,4.93E-01,4,4,4,-1,5,1,98,7,,,,,0.65,99.06671293,15,66.44,0.1550590294,3,-12,,0.7
3804,72.04482495,97.90718071,98.12282291,3,9,5,63.48,71.56,75.24,5.89E-01,0.2329854637,4.92E-01,4,4,4,-1,5,1,98,7,,,,,0.65,99.06789519,15,59.2,0.1491015159,3,-12,,0.7
3810,72.13427266,97.91016796,98.12528776,3,9,5,55.8,67.52,73.08,5.39E-01,0.1924870934,4.65E-01,4,3,4,-1,6,1,98,7,,,,,0.65,99.06869674,15,52.4,0.130771934,3,-12,,0.7
3816,72.17718431,97.91284326,98.12737522,3,9,5,50.28,63.44,69.24,5.91E-01,0.1923332945,4.47E-01,3,3,4,0,6,1,98,7,,,,,0.65,99.06959365,15,47.44,0.1113515102,3,-12,,0.7
3822,72.23813899,97.91555258,98.12937314,3,9,5,46.76,53.12,61.08,5.37E-01,0.1836142604,4.95E-01,3,3,3,0,6,2,98,7,,,,,0.65,99.07081449,15,45.76,0.1052517059,3,-12,,0.7
3828,72.2896389,97.91872102,98.13203281,3,9,5,45.84,48.76,55.96,3.62E-01,0.1670688097,3.80E-01,3,3,3,0,6,2,98,7,,,,,0.65,99.07266403,14,44.72,0.09871175822,2,-12,,0.7
3834,72.33568779,97.92104693,98.13599777,3,8,5,44.76,46.88,52.52,4.36E-01,0.1685051826,3.60E-01,3,3,3,0,5,2,98,7,,,,,0.65,99.07360921,14,43.73,0.09239270752,2,-12,,0.7
3840,72.40762316,97.9232407,98.13769058,3,8,5,43.52,45.08,50.52,4.00E-01,0.1760329743,3.05E-01,3,2,3,0,6,2,98,7,,,,,0.65,99.07427157,14,41.12,0.09131493836,2,-12,,0.7
3846,72.44526194,97.92542233,98.13944127,3,8,5,40.4,44.92,51.28,3.69E-01,0.1644279542,3.03E-01,3,2,3,0,6,2,98,7,,,,,0.65,99.07476547,14,36.4,0.08756952611,2,-12,,0.7
3852,72.475179,97.9275494,98.14101328,3,8,5,35.2,41.24,47.88,2.76E-01,0.1503753644,3.12E-01,3,2,3,0,6,2,98,7,,,,,0.65,99.07548468,14,32.25,0.08473953653,2,-12,,0.7
3858,72.50046496,97.92962105,98.14296167,3,8,5,31.32,36.88,42.84,2.79E-01,0.1506242284,2.56E-01,2,2,2,1,6,3,98,7,,,,,0.65,99.07588135,14,28.36,0.07281305357,2,-12,,0.7
3864,72.52136549,97.93100823,98.14550089,3,8,5,27.84,33.4,38.88,3.35E-01,0.1250952395,2.75E-01,2,2,2,1,6,3,98,7,,,,,0.65,99.07622005,13,23.8,0.06396717954,2,-11,,0.7
3870,72.55968221,97.93220176,98.14633999,3,8,5,22.32,29.8,33.92,2.80E-01,0.1206191063,2.28E-01,2,2,2,1,6,3,98,7,,,,,0.65,99.07648206,13,21.12,0.0554248884,1,-12,,0.7
3876,72.57890882,97.93319799,98.1470448,3,8,5,20.48,25.84,30,2.36E-01,0.1025944432,1.99E-01,2,2,2,1,6,3,98,7,,,,,0.65,99.07666786,13,18.8,0.05271888093,1,-12,,0.7
3882,72.59471299,97.93396668,98.1473076,3,8,5,18.52,20.88,24.6,1.93E-01,0.07529879911,1.81E-01,2,1,2,1,7,3,98,7,,,,,0.65,99.07720434,13,18.68,0.04524921589,1,-12,,0.7
3888,72.61425066,97.93531287,98.14855237,3,8,5,18.08,19.08,22.44,1.58E-01,0.07727068642,1.54E-01,2,1,1,1,7,4,98,7,,,,,0.65,99.07846453,13,18.39471333,0.04673187037,1,-12,,0.7
3894,72.63192359,97.9362436,98.15034976,3,8,5,17.52,17.92,20.16,1.63E-01,0.06478986609,1.53E-01,2,1,1,1,7,4,98,7,,,,,0.65,99.07880511,13,18.4,0.04198299262,1,-12,,0.7
3900,72.66856298,97.93723972,98.15105401,3,8,4,17.64,18.04,20.56,1.69E-01,0.06808820055,1.41E-01,2,1,1,1,7,3,98,7,,,,,0.65,99.07914821,13,18.2,0.04321748216,1,-12,,0.7
3906,72.68816547,97.93816,98.15176016,3,7,4,17.92,18.04,21,1.49E-01,0.07145611973,1.28E-01,2,1,1,1,6,3,98,7,,,,,0.65,99.07931288,12,18,0.04336135854,1,-11,,0.7
3912,72.70486002,97.93899847,98.15228536,3,7,4,17.88,18.44,21.2,1.63E-01,0.06572504941,1.66E-01,2,1,1,1,6,3,98,7,,,,,0.65,99.07987461,12,18.08,0.04408581485,1,-11,,0.7
3918,72.72490897,97.94030301,98.15349481,3,7,4,18.32,18.04,21.68,1.51E-01,0.06749401658,1.55E-01,2,1,1,1,6,3,98,7,,,,,0.65,99.0801185,12,17.76,0.04513134493,1,-11,,0.7
3924,72.7433093,97.94128346,98.15514005,3,7,4,17.6,17.92,20.52,1.55E-01,0.0635836133,1.54E-01,2,1,1,1,6,3,98,7,,,,,0.65,99.08051956,12,17.96,0.04866420721,1,-11,,0.7
3930,72.77774997,97.94221975,98.15578553,3,7,4,17.68,18,20.24,1.38E-01,0.06217961289,1.32E-01,2,1,1,1,6,3,98,7,,,,,0.65,99.08070023,12,18.52,0.04879255682,1,-11,,0.7
3936,72.80084188,97.9429989,98.15646717,3,7,4,18.68,17.32,20.52,1.36E-01,0.06341679745,1.05E-01,2,1,1,1,6,3,98,7,,,,,0.65,99.08096433,12,18.44,0.04289709539,1,-11,,0.7
3942,72.8121645,97.94397813,98.15711714,3,7,3,17.32,18,21.28,1.55E-01,0.06922126638,1.93E-01,2,1,1,1,6,2,98,7,,,,,0.65,99.08149121,11,18.28,0.04593186709,1,-10,,0.7
3948,72.83152744,97.94533232,98.15831141,3,7,3,17.68,18.2,21.12,1.49E-01,0.06355639905,1.67E-01,2,1,1,1,6,2,98,7,,,,,0.65,99.08271794,11,17.64,0.05248705379,1,-10,,0.7
3954,72.85182118,97.94622477,98.16001493,3,7,3,17.88,17.92,21.24,1.09E-01,0.06036557059,1.79E-01,2,1,1,1,6,2,98,7,,,,,0.65,99.08312517,11,18.6,0.04751440515,1,-10,,0.7
3960,72.88585384,97.9471652,98.16065175,3,6,3,18.44,18.28,21.16,1.59E-01,0.06790249148,1.79E-01,2,1,1,1,5,2,98,7,,,,,0.65,99.0833184,11,18,0.04553964248,1,-10,,0.7
3966,72.90635464,97.94799662,98.16127362,1,6,3,18.44,18.12,20.84,5.08E-01,0.07432293763,1.51E-01,2,1,1,-1,5,2,98,7,,,,,0.65,99.08363759,11,17.72,0.05173145203,1,-10,,0.7
3972,72.92473899,97.94888989,98.16186026,1,6,3,18.16,18.28,20.92,4.99E-01,0.075436057,1.65E-01,2,1,1,-1,5,2,98,7,,,,,0.65,99.08417923,11,18.12,0.04981327623,1,-10,,0.7
3978,72.94410409,97.95022919,98.162927,1,6,3,18.12,18,20.48,4.99E-01,0.07652091775,1.84E-01,2,1,1,-1,5,2,98,7,,,,,0.65,99.08443591,10,18.28,0.05205259278,1,-9,,0.7
3984,72.96284728,97.9511394,98.16474078,1,6,3,18.12,17.92,20.76,4.87E-01,0.0719020546,1.83E-01,2,1,1,-1,5,2,98,7,,,,,0.65,99.08481856,10,18.36,0.0525109304,1,-9,,0.7
3990,72.99580223,97.95208748,98.16541241,1,6,3,17.92,18.08,20.92,4.87E-01,0.08573924285,1.65E-01,2,1,1,-1,5,2,98,7,,,,,0.65,99.08481446,10,16.48,0.05552159596,1,-9,,0.7
3996,73.00410807,97.9529808,98.16602947,1,5,3,15.8,18.24,20.8,3.70E-01,0.08685268267,1.63E-01,1,1,1,0,4,2,98,7,,,,,0.65,99.08476023,10,12.6,0.05385473305,1,-9,,0.7
4002,73.00584254,97.95352366,98.16639677,1,5,3,12.2,16.4,19.68,4.14E-01,0.102258712,1.85E-01,1,1,1,0,4,2,98,7,,,,,0.65,99.08495846,10,9.52,0.04951770214,1,-9,,0.7
4008,73.01115929,97.95402383,98.16676648,1,5,3,9.68,12.68,15.48,4.14E-01,0.08388988313,1.58E-01,1,1,1,0,4,2,98,7,,,,,0.65,99.08606631,10,8.92,0.04092424144,1,-9,,0.7
4014,73.02384184,97.95426082,98.16761377,1,5,3,8.32,9.96,10.88,3.54E-01,0.08309555037,1.71E-01,1,1,1,0,4,2,98,7,,,,,0.65,99.08657157,10,11.32,0.02511371152,1,-9,,0.7
4020,73.06676776,97.95482672,98.1679873,1,5,3,13.24,8.72,9.68,2.87E-01,0.06424816855,1.25E-01,1,1,1,0,4,2,98,7,,,,,0.65,99.08711102,9,18.08,0.03419171726,1,-8,,0.7
4026,73.09800659,97.95576407,98.16856569,1,5,3,19.48,9.24,9.88,1.64E-01,0.0513239056,9.60E-02,2,1,1,-1,4,2,98,7,,,,,0.65,99.08812324,9,26.84,0.062850772,2,-7,,0.7
4032,73.1198068,97.95765221,98.16998041,1,4,3,24.12,17.88,18.16,1.37E-01,0.05599723457,8.92E-02,2,1,1,-1,3,2,98,7,,,,,0.65,99.08914507,9,35.12,0.07174092291,2,-7,,0.7
4038,73.11879395,97.96009813,98.17135109,1,4,3,26.96,26.96,25.88,1.10E-01,0.09580542499,1.35E-01,2,2,2,-1,2,1,98,7,,,,,0.65,99.09033766,9,42.48,0.09296555124,2,-7,,0.7
4044,73.08796763,97.96239195,98.17517962,1,4,2,27.84,34.16,38.56,8.13E-01,0.1264906063,2.88E-01,2,2,2,-1,2,0,98,7,,,,,0.65,99.09141093,9,48.04,0.1074502141,3,-6,,0.7
4050,73.01059204,97.96475703,98.17717665,1,4,2,26.12,40.88,45.64,8.95E-01,0.2220262109,3.89E-01,2,2,2,-1,2,0,98,7,,,,,0.65,99.09247539,9,51.64,0.1276552316,3,-6,,0.7
4056,72.9899765,97.96718224,98.17828972,1,4,2,25.4,46.36,50.4,7.61E-01,0.2344767168,5.53E-01,2,3,3,-1,1,-1,98,7,,,,,0.65,99.09364871,8,51.64,0.1644664238,3,-5,,0.7
4062,72.97982222,97.97079993,98.17255663,1,4,2,24.96,51.8,53.4,9.96E-01,0.2463438413,4.94E-01,2,3,3,-1,1,-1,98,7,,,,,0.65,99.09451219,8,49.28,0.1533142779,3,-5,,0.7
4068,72.97792852,97.97387757,98.17281537,1,4,2,24.96,51.56,53.32,9.96E-01,0.2491113602,5.73E-01,2,3,3,-1,1,-1,98,7,,,,,0.65,99.09661492,8,49.48,0.168424861,3,-5,,0.7
4074,72.96123688,97.9759336,98.17628811,1,4,2,25.2,50.28,51.84,7.98E-01,0.3359291468,7.53E-01,2,3,3,-1,1,-1,98,7,,,,,0.65,99.09765836,8,49.96,0.1736897259,3,-5,,0.7
4080,72.89202759,97.97814092,98.17822071,1,4,2,25.32,49,51.76,9.96E-01,0.3470246664,7.41E-01,2,3,3,-1,1,-1,98,7,,,,,0.65,99.09891863,8,51.56,0.174900654,3,-5,,0.7
4086,72.84261765,97.98044294,98.1800543,1,4,2,25.48,48.88,52.08,9.96E-01,0.3412603948,7.44E-01,2,3,3,-1,1,-1,98,7,,,,,0.65,99.10043684,8,57.162835,0.1650010593,3,-5,,0.7
4092,72.78046934,97.98422115,98.18291124,1,4,2,25.48,50.72,54.24,9.95E-01,0.2655736808,4.65E-01,2,3,3,-1,1,-1,98,7,,,,,0.65,99.10171478,8,59.88,0.167494429,3,-5,,0.7
4098,72.71690227,97.98803946,98.1849276,1,3,2,25.28,55.16,55.84,6.58E-01,0.4118360521,5.76E-01,2,3,3,-1,0,-1,98,7,,,,,0.65,99.10329473,8,64.56,0.2000548779,3,-5,,0.7
4104,72.65218143,97.9909585,98.17317805,1,3,4,25.12,58.92,55.57662667,9.95E-01,0.4306926282,5.98E-01,2,3,3,-1,0,1,98,7,,,,,0.65,99.10491971,8,69.4,0.1941857057,4,-4,,0.7
4110,72.52277499,97.99410057,98.15090059,1,3,4,25.04,62.64,57.52489778,9.94E-01,0.5155086199,5.82E-01,2,3,3,-1,0,1,98,7,,,,,0.65,99.10670936,8,73.8,0.2111431493,4,-4,,0.7
4116,72.45701486,97.99718386,98.15056535,1,3,4,25,66.16,62.61246,8.08E-01,0.4820498093,5.21E-01,2,3,3,-1,0,1,98,7,,,,,0.65,99.10863029,7,78.4,0.2638343804,4,-3,,0.7
4122,72.39854137,98.00131699,98.15192742,2,3,4,27.55894667,71.4,64.83266933,6.48E-01,0.639081294,6.00E-01,2,4,3,0,-1,1,98,7,,,,,0.65,99.11032018,7,82.16,0.2862999618,4,-3,,0.7
4128,72.3638868,98.00266533,98.15437377,2,3,4,27.50322,72.56,72.40194533,6.21E-01,0.6589528414,6.42E-01,2,4,4,0,-1,0,98,7,,,,,0.65,99.11309114,7,84.52,0.28543897,4,-3,,0.7
4134,72.32866018,98.00450415,98.15290573,2,3,4,31.15545467,74.48,80.44,6.72E-01,0.6181186948,6.07E-01,2,4,4,0,-1,0,98,7,,,,,0.65,99.11500843,7,86.68,0.356335605,4,-3,,0.7
4140,72.31413864,97.98911019,98.14264914,2,3,4,34.5312,72.84,82,7.36E-01,0.703530345,6.58E-01,3,4,4,-1,-1,0,98,7,,,,,0.65,99.11692129,7,86.96,0.349775244,4,-3,,0.7
4146,72.27877774,97.9642882,98.14455555,2,3,4,38.88,70.88,86.12,6.15E-01,0.7175102582,5.23E-01,3,4,4,-1,-1,0,98,7,,,,,0.65,99.11883075,7,86.68,0.3357438801,4,-3,,0.7
4152,72.21264685,97.90502742,98.1468173,2,3,4,42,66.48,86.92,7.40E-01,0.7296949163,6.44E-01,3,3,4,-1,0,0,98,7,,,,,0.65,99.12034257,7,85.48,0.3737677766,4,-3,,0.7
4158,72.19030333,97.90830716,98.13938982,2,3,4,42.64,64.56,86.16,7.30E-01,0.6589285779,6.57E-01,3,3,4,-1,0,0,98,7,,,,,0.65,99.12202994,7,82.24,0.3817792029,4,-3,,0.7
4164,72.1737309,97.90528933,98.1397364,2,3,6,42.6,65.6,86.74866667,6.82E-01,0.761859884,5.95E-01,3,3,4,-1,0,2,98,7,,,,,0.65,99.12343104,7,78.12,0.354856379,4,-3,,0.7
4170,72.15917847,97.90758999,98.14204298,2,3,6,42.68,67.27137945,86.84819222,8.04E-01,0.6133097471,5.51E-01,3,3,4,-1,0,2,98,7,,,,,0.65,99.12487599,7,74.84,0.300717337,4,-3,,0.7
4176,72.13512388,97.91042326,98.14480483,2,3,6,43.68,68.44,84.54792267,7.98E-01,0.7314066972,4.89E-01,3,3,4,-1,0,2,98,7,,,,,0.65,99.12632647,7,71.08,0.277675201,4,-3,,0.7
4182,72.15903459,97.91542193,98.15150663,2,3,6,43.76,65.88,81.26181067,7.23E-01,0.6761072123,5.34E-01,3,3,4,-1,0,2,98,7,,,,,0.65,99.12731827,7,67.52086,0.2988896865,3,-4,,0.7
4188,72.20019062,97.91398634,98.15518457,2,19,6,44.8,62.07615413,81.28115467,5.38E-01,0.4575614085,4.48E-01,3,3,4,-1,16,2,98,7,,,,,0.65,99.12941202,7,62.69904,0.2498714735,3,-4,,0.7
4194,72.24115874,97.91761429,98.1564952,2,19,6,46.92,61.31725143,78.12,7.95E-01,0.4546209821,5.08E-01,3,3,4,-1,16,2,98,7,,,,,0.65,99.13017271,7,55.24,0.2356225476,3,-4,,0.7
4200,72.28530114,97.9206432,98.1586545,2,19,6,45.16,59.73519782,73.12,6.84E-01,0.4339948959,4.18E-01,3,3,4,-1,16,2,98,7,,,,,0.65,99.13097356,7,49.32,0.2323260855,3,-4,,0.7
4206,72.32477767,97.9232419,98.16009662,2,19,6,44.16,55.8085801,65.84,6.41E-01,0.4206499865,3.90E-01,3,3,3,-1,16,3,98,7,,,,,0.65,99.13208459,6,47.64,0.2177015961,3,-3,,0.7
4212,72.41039283,97.92577227,98.1641778,2,19,6,43.68,48.16634933,57.36,6.88E-01,0.279873763,3.32E-01,3,3,3,-1,16,3,98,7,,,,,0.65,99.13281867,6,46.28,0.1983278983,3,-3,,0.7
4218,72.44976182,97.92808392,98.16700264,2,19,6,42.44,46.32,55.08,6.88E-01,0.1741045869,3.29E-01,3,3,3,-1,16,3,98,7,,,,,0.65,99.13373277,6,45.56,0.1833949319,2,-4,,0.7
