-6,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,Original,Mix98MinCPU60,Mix98MinCPU60,,3783,-10789,14572,0.75
144,26.97745967,52.76586905,88.0967504,2,15,11,12.57456667,15.28,16.48,4.15E-01,0.03818288354,4.66E-02,2,2,1,0,13,10,98,7,Tgt,,,,0.65,87.68841651,21,28.786952,0.05034915136,2,-19,,0.75
150,34.00181382,56.08497878,88.40266297,2,15,11,21.39868,24.84,27.52,2.91E-01,0.03674737113,4.26E-02,3,2,2,-1,13,9,98,7,0,941,2140,Over,0.65,88.2090979,12,38.76380533,0.08202271732,2,-10,,0.75
156,38.84850775,59.15452681,88.78772527,2,15,11,28.44051333,34.08,37.2,3.88E-01,0.05849697458,6.79E-02,4,3,2,-2,12,9,98,7,0,-24,-43,Under,0.65,88.63771813,5,44.6,0.2002485912,3,-2,,0.75
162,42.9383955,62.12028684,89.20182673,2,15,11,34.11857333,41.76,47.08,4.34E-01,0.06877324133,8.67E-02,4,3,3,-2,12,8,98,7,Below tgt,,,,0.65,89.14550645,5,49.75,0.2711194945,3,-2,,0.75
168,47.14775095,64.57383281,89.71217464,2,15,11,41.04,47.2,54.32,5.26E-01,0.07205038961,1.16E-01,4,4,3,-2,11,8,98,7,371,5900,4151,Over,0.65,89.51404253,5,51.6,0.3276002072,3,-2,,0.75
174,50.16658119,66.77594498,90.06544375,2,15,11,43.88,50.84,58.6,3.68E-01,0.0951711889,1.47E-01,4,4,3,-2,11,8,98,7,-807,-79,-22,Under,0.65,89.8626455,5,50.32,0.333603974,3,-2,,0.75
180,54.66708752,69.00938968,90.36352979,2,15,11,47.04,52.6,59.84,7.63E-01,0.1032398211,1.48E-01,4,4,3,-2,11,8,98,7,1022,732,445,<98,0.65,90.17940509,5,48.68,0.2895133138,3,-2,,0.75
186,57.42319131,70.51594459,90.63599634,2,15,11,47.48,50.92,57.16,6.54E-01,0.1177957928,1.56E-01,4,4,3,-2,11,8,98,7,0,290,577,>98,0.65,90.49319926,5,49.24,0.2810696434,3,-2,,0.75
192,59.54659308,71.84077484,90.90372521,2,15,11,46,49.44,56.4,6.23E-01,0.1165859911,1.41E-01,4,3,3,-2,12,8,98,7,0,28.4,56.5,,0.65,90.8599955,5,50.16,0.3016519651,3,-2,,0.75
198,61.61167728,73.24703073,91.26691724,2,15,11,47.12,49.88,56.04,7.30E-01,0.108393551,1.67E-01,4,3,3,-2,12,8,98,7,Loss,,,,0.65,91.16591476,5,52.8,0.308456908,3,-2,,0.75
