,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,259.525,260.4797867,260.375,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,9992,9828,9659,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.75,,original,,,,3815,-15533,,73,76
168,100,100,100,1,1,1,20.225,20.15,20.4,7.60E-01,0.6021971108,0.7415167935,1,1,1,0,0,0,97,7,1700,542,252,Over,0.75,,37.13964637,1,20.54989333,37.13964637,3,2,0.75,,
174,100,100,100,1,1,1,20.5,20.425,20.8,7.68E-01,0.5422502686,0.5840186266,1,1,1,0,0,0,97,7,-72,-16,-3,Under,0.75,,44.40998062,9,26.40437667,44.40998062,3,-6,0.75,,
180,100,100,100,1,1,1,20.925,20.825,21.275,7.86E-01,0.766245267,0.7669282598,1,1,1,0,0,0,97,7,829,419,0,<98,0.75,,52.03817525,9,39.65248778,52.03817525,4,-5,0.75,,
186,100,100,100,1,1,1,22.225,21.975,21.95,7.86E-01,0.7951181066,0.7669282598,1,1,1,0,0,0,97,7,193,603,1022,>98,0.75,,57.49177582,9,48.45171867,57.49177582,4,-5,0.75,,
192,100,100,100,1,2,1,22.925,23.08684444,23.575,8.32E-01,0.8130597487,0.6142354636,1,1,1,0,1,0,97,7,18.9,59.1,100,,0.75,,61.33903203,9,56.90918533,61.33903203,5,-4,0.75,,
198,99.97011336,100,100,1,2,1,23.75,24.01656778,24.525,8.32E-01,0.4032859761,0.8460547401,1,1,1,0,1,0,97,7,Loss,,,,0.75,,63.66560535,9,61.4008401,63.66560535,5,-4,0.75,,
204,99.97134644,100,100,1,2,1,24.825,24.83487556,25.45,5.02E-01,0.4033110055,0.8460547401,2,2,2,-1,0,-1,97,7,0,0,0,support,0.75,,64.46959979,9,48.72,64.46959979,4,-5,0.75,,
210,97.81885994,100,99.73110378,1,2,1,25.425,26.07705111,26.1,9.30E-01,0.3496287233,0.9056295438,2,2,2,-1,0,-1,97,7,1,1,0,recovery,0.75,,64.53878925,9,33.8,64.53878925,3,-6,0.75,,
216,94.97726079,100,96.96252407,1,2,1,24.25915556,26.31175746,26.55,9.30E-01,0.3623751226,0.964089018,2,2,2,-1,0,-1,97,7,0,0,0,bendras,0.75,,64.62066306,9,17.72,64.62066306,2,-7,0.75,,
222,88.65156454,100,93.71692487,1,2,1,26.75,27.93715556,27.4,7.52E-01,0.4890661426,0.9755366153,2,2,2,-1,0,-1,97,7,208929.1067,209030.5785,209107.3328,,0.75,,64.43839527,9,6.72,64.43839527,1,-8,0.75,,
228,85.92354055,100,87.5377477,1,2,1,26.975,28.95714,28.2,9.74E-01,0.5075931201,0.9755366153,2,2,2,-1,0,-1,97,7,14497.77306,14500.94916,14601.93923,,0.75,,64.41178796,9,0.36,64.41178796,1,-8,0.75,,
234,83.25191914,100,85.29658263,1,2,3,27.3,30.55,27.825,9.97E-01,0.5436645746,0.6328869141,2,2,2,-1,0,1,97,7,223426.8798,223386.8366,223553.297,,0.75,,64.30029193,9,0,64.30029193,0,-9,0.75,,
240,80.80542272,100,82.86436204,1,2,3,27.45,31.6,31.23291111,9.97E-01,0.4643502546,0.3337638572,2,2,2,-1,0,1,97,7,1.23,1.16,1.58,,0.75,,64.30723001,9,0,64.30723001,0,-9,0.75,,
246,78.50743496,100,82.83581507,1,2,3,26.57204444,33.25,34.31285111,1.00E+00,0.5101483036,0.3103085841,2,2,2,-1,0,1,97,7,0.9494949495,1.050505051,1.46,,0.75,,64.60626218,9,2.16,64.60626218,1,-8,0.75,,
252,75.88460365,100,83.75775249,2,2,3,29.91068,34.675,35.37196,4.12E-01,0.60627274,0.4074759677,2,2,2,0,0,1,97,7,1.21,1.15,1.57,,0.75,,68.93046332,9,29.52,68.93046332,2,-7,0.75,,
258,76.46151999,100,84.37498874,2,2,6,29.26660622,35.525,36.81986243,5.00E-01,0.6495601374,0.2208282105,2,2,2,0,0,4,97,7,,,,,0.75,,73.87072673,9,71.84,73.87072673,5,-4,0.75,,
264,75.38404891,100,85.03075773,2,2,6,30.88984444,36.725,38.92135889,5.10E-01,0.6495601374,0.1727053842,2,2,2,0,0,4,97,7,,,,,0.75,,75.85668015,9,87.68,75.85668015,6,-3,0.75,,
270,74.62031208,100,85.50366433,2,2,6,32.6234127,37.975,40.16170922,5.81E-01,0.6718049032,0.206582808,2,2,2,0,0,4,97,7,,,,,0.75,,76.86413596,9,97.32,76.86413596,6,-3,0.75,,
276,73.08053073,100,86.0494801,2,2,6,35.94114667,38.775,42.75592593,6.70E-01,0.607128217,0.2300421944,2,2,3,0,0,3,97,7,,,,,0.75,,77.35361052,9,78.64,77.35361052,5,-4,0.75,,
282,74.03439525,100,86.57944556,2,2,6,37.70210389,39.225,37.71864825,7.24E-01,0.6548228094,0.2256471605,3,2,2,-1,0,4,97,7,,,,,0.75,,77.29204241,9,42.92,77.29204241,3,-6,0.75,,
288,74.89960813,100,87.05986773,2,2,6,39.275,39.675,38.74300944,7.43E-01,0.7360201232,0.2602875687,3,2,2,-1,0,4,97,7,,,,,0.75,,77.29102488,9,16.2775366,77.29102488,1,-8,0.75,,
294,75.72172266,100,87.49383647,2,2,6,39.9,39.9,39.15227111,7.05E-01,0.7360201232,0.2141516589,3,2,2,-1,0,4,97,7,,,,,0.75,,77.21473843,9,4.839403479,77.21473843,1,-8,0.75,,
300,76.48365356,100,87.89122864,2,2,6,42.10714286,39.925,39.68436222,6.92E-01,0.6757572003,0.2268672405,3,2,2,-1,0,4,97,7,,,,,0.75,,77.24974503,9,0.24,77.24974503,1,-8,0.75,,
306,77.60711201,100,88.26382803,2,2,6,42,40.2,39.975,8.10E-01,0.6677030035,0.2112026637,3,2,2,-1,0,4,97,7,,,,,0.75,,77.31188783,21,0,77.31188783,0,-21,0.75,,
312,78.24259933,100,88.68449221,2,2,6,40.925,40.1,39.975,7.22E-01,0.7501207912,0.2409457126,3,2,2,-1,0,4,97,7,,,,,0.75,,77.25673063,21,0,77.25673063,0,-21,0.75,,
318,78.86341706,100,89.02731545,2,2,6,40,40.05,40.325,7.75E-01,0.7575404026,0.230643316,3,2,2,-1,0,4,97,7,,,,,0.75,,77.26086909,21,0,77.26086909,0,-21,0.75,,
324,79.44150249,100,89.32040612,2,2,6,39.925,39.925,39.775,7.07E-01,0.7575404026,0.2358249916,3,2,2,-1,0,4,97,7,,,,,0.75,,77.18519735,21,0,77.18519735,0,-21,0.75,,
330,80.01997753,100,89.61747351,2,2,6,40.675,40.125,40.1,5.04E-01,0.6844956737,0.2267946321,3,2,2,-1,0,4,97,7,,,,,0.75,,77.21260203,21,0,77.21260203,0,-21,0.75,,
336,80.83832443,100,89.89486143,2,2,6,40.275,40.3,40.125,7.55E-01,0.6463614937,0.2270179154,3,2,2,-1,0,4,97,7,,,,,0.75,,77.22044158,21,0,77.22044158,0,-21,0.75,,
342,81.33822538,100,90.24917922,2,2,6,40.55,40.575,40.575,7.77E-01,0.6221416741,0.2441971473,3,2,2,-1,0,4,97,7,,,,,0.75,,77.22017712,21,0,77.22017712,0,-21,0.75,,
348,81.82419412,100,90.52280994,2,2,6,40.825,40.575,41.275,7.77E-01,0.6673312621,0.2419343435,3,2,2,-1,0,4,97,7,,,,,0.75,,77.26639439,21,0.303304,77.26639439,1,-20,0.75,,
354,82.30076104,100,90.77636308,2,2,6,41.575,41.25,42.225,7.82E-01,0.5739847412,0.2290444046,3,2,2,-1,0,4,97,7,,,,,0.75,,77.53913126,21,4.449146667,77.53913126,1,-20,0.75,,
360,82.76293075,100,91.01706838,2,2,6,42.175,42.3,42.525,6.91E-01,0.7698950004,0.2424769595,3,2,2,-1,0,4,97,7,,,,,0.75,,77.77335988,21,6.846717333,77.77335988,1,-20,0.75,,
366,83.49449492,100,91.25315029,2,2,6,44,43.65,43.675,8.09E-01,0.7876863533,0.2346063845,3,2,2,-1,0,4,97,7,,,,,0.75,,77.90988177,21,8.659554667,77.90988177,1,-20,0.75,,
372,83.91426761,100,91.57575298,2,2,6,44.825,44.575,45.45,7.57E-01,0.6622322562,0.251726439,3,2,3,-1,0,3,97,7,,,,,0.75,,78.44879601,21,15.81304933,78.44879601,1,-20,0.75,,
378,84.3253923,100,91.80526872,2,2,6,45.85,45.475,46.675,6.29E-01,0.8255899825,0.258814156,3,2,3,-1,0,3,97,7,,,,,0.75,,79.57035069,21,30.90602,79.57035069,2,-19,0.75,,
384,84.72295551,100,92.01770156,2,2,6,46.925,46.8,47.675,7.04E-01,0.7572713104,0.2433314976,3,2,3,-1,0,3,97,7,,,,,0.75,,81.31346841,21,55.628432,81.31346841,3,-18,0.75,,
390,85.1364616,99.98145622,92.22482633,2,3,6,48.35,46.83402963,48.8,8.67E-01,0.481183625,0.2836567803,3,2,3,-1,1,3,97,7,,,,,0.75,,82.94401675,21,85.27633867,82.94401675,5,-16,0.75,,
396,85.7342912,99.9825153,92.41534255,2,3,6,49.825,49.25632533,49.55,8.01E-01,0.5072214166,0.2816590244,3,2,3,-1,1,3,97,7,,,,,0.75,,84.47009377,21,117.3801413,84.47009377,7,-14,0.7,,
402,85.85143579,99.98291781,92.69238116,2,3,6,50.5,50.22692444,51,9.18E-01,0.567519502,0.2989927769,3,3,3,-1,0,3,97,7,,,,,0.75,,85.64990966,21,136.72,85.64990966,7,-14,0.7,,
408,85.71327511,99.98330808,92.89249541,2,3,6,51.35,51.34587619,52.575,9.31E-01,0.5369637351,0.3068805784,3,3,3,-1,0,3,97,7,,,,,0.75,,86.71179565,21,145.88,86.71179565,8,-13,0.7,,
414,85.26292849,99.98368933,93.06512069,2,3,6,52.325,52.26171,53.675,9.35E-01,0.631126,0.3009728846,3,3,3,-1,0,3,97,7,,,,,0.75,,87.70750824,21,150.36,87.70750824,8,-13,0.7,,
420,84.26767336,99.98407518,93.23594097,2,3,6,52.71071429,52.84747556,54.65,8.89E-01,0.5987971744,0.3114089632,3,3,3,-1,0,3,97,7,,,,,0.75,,88.36372973,21,142.6,88.36372973,8,-13,0.7,,
426,81.36215505,99.98478719,93.40040491,3,3,6,55.36999852,55.04871556,55.625,5.76E-01,0.5544579827,0.3211180265,3,3,3,0,0,3,97,7,,,,,0.75,,88.89013775,21,131.44,88.89013775,7,-14,0.7,,
432,81.6801579,99.98512917,93.63788293,3,3,6,57.09859111,56.8,56.975,6.50E-01,0.6149780513,0.3021441371,3,3,3,0,0,3,97,7,,,,,0.75,,89.05934187,21,104.88,89.05934187,6,-15,0.7,,
438,82.12143755,99.98544836,93.79083546,3,3,6,57.919,57.625,58.175,6.43E-01,0.6868533344,0.3111653389,3,3,3,0,0,3,97,7,,,,,0.75,,89.05038794,21,68.28,89.05038794,4,-17,0.7,,
444,82.53119383,99.98575964,93.93316783,3,3,6,59.00802815,58.325,58.575,6.83E-01,0.6700577535,0.32253623,3,3,3,0,0,3,97,7,,,,,0.75,,89.07318955,21,39.12,89.07318955,2,-19,0.7,,
450,82.97892014,99.98606978,94.07091024,3,3,6,58.76810603,59.25,59.35,6.12E-01,0.5555109571,0.3311813951,3,3,3,0,0,3,97,7,,,,,0.75,,89.34888225,21,29.48,89.34888225,2,-19,0.7,,
