,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
150,7.495881384,88.61423973,68.97228114,1,18,5,23.2,119.16,88.24,0.813110713,0.2650506692,7.10E-01,8,6,6,-7,12,-1,98,7,0,251,4262,Over,0.65,,35.94630516,1,19.48,35.94630516,3,2,0.75
156,7.227022781,89.24107205,70.6241849,1,18,5,23.08,104.8,82.72,0.9971846525,0.2378900966,6.95E-01,8,6,5,-7,12,0,98,7,0,0,-3,Under,0.65,,34.7601312,1,17.4,34.7601312,3,2,0.75
162,6.97240865,89.78149726,72.26549474,1,18,5,24.52,89.16,75.52,0.9971846525,0.2079413461,5.75E-01,8,5,5,-7,13,0,98,7,Below tgt,,,,0.65,,32.91128255,1,16.96,32.91128255,3,2,0.75
168,6.644067797,90.30156157,73.97300696,1,18,5,26.24,82.44,72.52,0.9972078111,0.1669295868,5.06E-01,8,4,5,-7,14,0,98,7,410,8158,4886,Over,0.65,,37.13964637,1,20.54989333,37.13964637,3,2,0.75
174,8.395461912,90.75677821,74.90934488,1,17,5,25.72,78.99962243,68.24,0.7216460526,0.1457267305,3.64E-01,8,4,4,-7,13,1,98,7,-1607,-78,-35,Under,0.65,,44.40998062,9,26.40437667,44.40998062,3,-6,0.75
180,12.35712079,90.97192349,75.21698249,1,17,5,26.64,68.68,60.36,0.996581861,0.1411061027,3.82E-01,8,4,4,-7,13,1,98,7,1022,1022,515,<98,0.65,,52.03817525,9,39.65248778,52.03817525,4,-5,0.75
186,14.49668475,91.04987393,75.29337328,2,17,5,24.04,53.68,49.64,0.866549383,0.1347203859,4.18E-01,8,3,3,-6,14,2,98,7,0,0,507,>98,0.65,,57.49177582,9,48.45171867,57.49177582,4,-5,0.75
192,14.65102286,91.04261103,75.22453056,2,17,5,18.92,34.36,36,0.5504197834,0.1088898474,3.18E-01,6,2,3,-4,15,2,98,7,0,0,49.7,,0.65,,61.33903203,9,56.90918533,61.33903203,5,-4,0.75
198,14.65102286,91.03142278,75.10796963,2,17,5,8.64,17.64007361,15.36,0.311428493,0.09324532385,2.48E-01,3,1,1,-1,16,4,98,7,Loss,,,,0.65,,63.66560535,9,61.4008401,63.66560535,5,-4,0.75
204,14.65102286,91.08518506,75.24766087,2,17,5,3,6,5.24,0.3520353076,0.04680908734,1.36E-01,1,1,1,1,16,4,98,7,65,9,0,support,0.65,,64.46959979,9,48.72,64.46959979,4,-5,0.75
210,14.65102286,91.0430228,75.25823612,2,17,5,0.12,0.52,0.4,0.2971436476,0.02539397429,7.43E-02,1,1,1,1,16,4,98,7,68,0,0,recovery,0.65,,64.53878925,9,33.8,64.53878925,3,-6,0.75
216,14.65102286,91.03182212,75.26739681,2,17,5,0,0,0,0.004317476895,0.01168863244,4.21E-02,0,0,0,2,17,5,98,7,65,8,0,bendras,0.65,,64.62066306,9,17.72,64.62066306,2,-7,0.75
222,14.65102286,91.0204963,75.48994615,2,17,5,0,0,0,0.004816119212,0.004942656772,1.17E-02,0,0,0,2,17,5,98,7,23481.0649,60286.30609,66287.25716,,0.65,,64.43839527,9,6.72,64.43839527,1,-8,0.75
228,16.65412277,91.09906934,75.33712936,2,17,5,4.605901333,5.72,5.08,0.004018905742,0.003256676234,6.54E-03,2,1,1,0,16,4,98,7,3732.445007,11839.15618,11700.46403,,0.65,,64.41178796,9,0.36,64.41178796,1,-8,0.75
234,18.40163858,91.76213721,74.46721789,2,17,5,13.01352533,38,30.16,0.003742245507,0.00776933259,8.56E-03,4,2,2,-2,15,3,98,7,27213.5099,72123.66227,77982.48119,,0.65,,64.30029193,9,0,64.30029193,0,-9,0.75
240,19.15357888,92.35906032,74.60364977,2,16,5,19.564,74.48,53.48,0.1995486182,0.03226033547,1.23E-01,5,4,4,-3,12,1,98,7,1.942857143,3.461538462,3.44,,0.65,,64.30723001,9,0,64.30723001,0,-9,0.75
246,19.66675247,92.64969117,75.34924775,2,16,5,25.061348,93.64,64.52,0.3339899643,0.05889475196,2.58E-01,6,5,4,-4,11,1,98,7,1.46875,3.17,2.3,,0.65,,64.60626218,9,2.16,64.60626218,1,-8,0.75
252,22.80896429,92.82882554,75.74705019,2,16,5,32.35974933,104.04,75.72,0.3087774481,0.1984691022,3.85E-01,7,5,5,-5,11,0,98,7,1.8,3.423913043,3.24,,0.65,,68.93046332,9,29.52,68.93046332,2,-7,0.75
258,24.43712854,92.87338981,75.66628328,2,16,5,24.04,78.12,56.96,0.5432970811,0.2030633066,4.13E-01,5,4,4,-3,12,1,98,7,,,,,0.65,,73.87072673,9,71.84,73.87072673,5,-4,0.75
264,24.43826196,92.9034304,75.74249777,2,16,5,18.24,40.52,31.56,0.5583509885,0.1955703405,5.15E-01,4,2,2,-2,14,3,98,7,,,,,0.65,,75.85668015,9,87.68,75.85668015,6,-3,0.75
270,24.42973776,92.89347725,75.74793796,2,16,5,10.32,18.92,17.24,0.3625923494,0.1416328263,3.75E-01,2,1,1,0,15,4,98,7,,,,,0.65,,76.86413596,9,97.32,76.86413596,6,-3,0.75
276,24.43100116,92.88433696,75.75272696,2,16,5,3.08,4.88,6.04,0.3120909878,0.06723715543,2.30E-01,1,1,1,1,15,4,98,7,,,,,0.65,,77.35361052,9,78.64,77.35361052,5,-4,0.75
282,24.4323043,92.87460848,75.74716745,2,16,5,0.08,0.12,0.52,0.07401943486,0.02595165423,6.55E-02,1,1,1,1,15,4,98,7,,,,,0.65,,77.29204241,9,42.92,77.29204241,3,-6,0.75
288,24.43504158,92.86858398,75.67083529,2,16,9,0,0,0,0.004753247443,0.008383126368,1.17E-02,0,0,0,2,16,9,98,7,,,,,0.65,,77.29102488,9,16.2775366,77.29102488,1,-8,0.75
