,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
3198,46.59478302,92.55250658,97.90611903,2,20,10,35.81165067,5.08,11.16,0.7485961018,0.0683219855,1.15E-01,4,1,1,-2,19,9,98,7,,,,,0.65,,99.20391445,20,72.52,99.20391445,4,-16,0.7
3204,46.54622614,92.55221599,97.90569945,2,20,10,39.58727467,0,1.2,0.6808785515,0.0300608387,7.37E-02,4,0,1,-2,20,9,98,7,,,,,0.65,,99.2036245,20,44.6,99.2036245,2,-18,0.7
3210,46.72977726,92.55242561,97.90634472,2,20,10,37.32,0,0,0.830088857,0.01179652382,1.89E-02,4,0,0,-2,20,10,98,7,,,,,0.65,,99.20344945,20,20.56,99.20344945,1,-19,0.7
3216,46.74138383,92.55002161,97.90610525,2,19,10,30.4,0.36,0,0.7228621331,0.003346590511,5.78E-03,3,1,0,-1,18,10,98,7,,,,,0.65,,99.20364038,20,4.2,99.20364038,1,-19,0.7
3222,46.73981745,92.5517293,97.90721223,2,19,10,23.28,3.16,1.48,0.6415431397,0.002686997707,2.84E-03,3,1,1,-1,18,9,98,7,,,,,0.65,,99.20347029,20,0.04,99.20347029,1,-19,0.7
3228,46.73885795,92.5669795,97.91266508,2,19,10,15.32,17.12,6.84,0.4499563536,0.005974755188,3.12E-03,2,1,1,0,18,9,98,7,,,,,0.65,,99.20338701,19,0,99.20338701,0,-19,0.7
3234,46.75877817,92.59343426,97.92029107,2,19,10,3.04,44.88,27.48,0.3197487554,0.007323682541,1.17E-02,1,3,2,1,16,8,98,7,,,,,0.65,,99.20402241,19,0.56,99.20402241,1,-18,0.7
3240,46.7485847,92.62694947,97.93054057,2,19,10,0,79.04,59.12,0.1713842129,0.03945957786,3.81E-02,0,4,3,2,15,7,98,7,,,,,0.65,,99.20406526,19,3.36,99.20406526,1,-18,0.7
3246,46.74752859,92.66011943,97.93434525,2,19,10,0,112.76,97.88,0.01546649727,0.1028646518,1.25E-01,0,6,5,2,13,5,98,7,,,,,0.65,,99.20525834,19,14.96,99.20525834,1,-18,0.7
3252,46.75282651,92.69377039,97.93163706,2,19,10,0.52,139.2,127.48,0.002613716562,0.1459053575,1.43E-01,1,7,6,1,12,4,98,7,,,,,0.65,,99.20787367,19,39.48,99.20787367,2,-17,0.7
3258,46.79999896,92.73476267,97.94104148,2,19,10,3.24,149.4,142.56,0.002280382327,0.2015540956,2.98E-01,1,7,7,1,12,3,98,7,,,,,0.65,,99.21108783,19,79,99.21108783,4,-15,0.7
3264,46.95417429,92.76613961,97.94956794,2,19,10,17.64,149.44,148.24,0.01683160478,0.2317876677,4.22E-01,2,7,7,0,12,3,98,7,,,,,0.65,,99.21459541,19,113.24,99.21459541,5,-14,0.7
3270,47.07150261,92.79854296,97.95877154,2,19,10,32.8,148.8,148.16,0.1668486174,0.2424647061,4.15E-01,3,7,7,-1,12,3,98,7,,,,,0.65,,99.21776386,18,138.32,99.21776386,7,-11,0.7
3276,47.07902154,92.83202497,97.96653112,2,19,10,41.12,151.7116484,148.36,0.3135024477,0.2663332292,4.57E-01,4,7,7,-2,12,3,98,7,,,,,0.65,,99.22105529,18,147.32,99.22105529,7,-11,0.7
3282,47.07796302,92.86991048,97.97439639,2,18,10,46.92,153.28,149.48,0.4386011031,0.2579911997,4.27E-01,5,8,7,-3,10,3,98,7,,,,,0.65,,99.22449499,18,149.1215603,99.22449499,7,-11,0.7
3288,47.07761039,92.9009079,97.97984714,2,18,10,46,146.24,149.28,0.8389210892,0.2813465739,5.01E-01,5,7,7,-3,11,3,98,7,,,,,0.65,,99.22850263,18,148.76,99.22850263,7,-11,0.7
3294,46.99397949,92.90929784,97.97987738,2,18,10,40.96,123.2408497,132.24,0.7866192267,0.2478921526,4.49E-01,4,6,6,-2,12,4,98,7,,,,,0.65,,99.23191746,18,150.2,99.23191746,7,-11,0.7
3300,46.91247247,92.90962276,97.98027662,2,18,10,39,87.564004,98.88,0.7271270962,0.2153909657,3.58E-01,4,5,5,-2,13,5,98,7,,,,,0.65,,99.23499663,18,150.72,99.23499663,7,-11,0.7
3306,46.82525388,92.90853969,97.98154113,2,18,10,34.96,50.32,59.24,0.6965479341,0.1701297903,3.42E-01,4,3,3,-2,15,7,98,7,,,,,0.65,,99.23792457,18,146.08,99.23792457,7,-11,0.7
3312,46.76152699,92.91983174,97.98342608,2,18,10,35.6,25.8,30.12,0.7618331225,0.1313373702,3.08E-01,4,2,2,-2,16,8,98,7,,,,,0.65,,99.23874483,18,120.68,99.23874483,6,-12,0.7
3318,46.67795058,92.92849144,97.98590512,2,18,10,32.72,24.11993601,18.04,0.5668207467,0.0696425902,1.57E-01,3,2,1,-1,16,9,98,7,,,,,0.65,,99.23852157,21,78.6,99.23852157,4,-17,0.7
3324,46.62096036,92.93818569,97.98762497,1,18,10,25.68,33.08,24.16,0.6141696274,0.04242466633,8.55E-02,3,2,2,-2,16,8,98,7,,,,,0.65,,99.23840145,21,43.57095333,99.23840145,2,-19,0.7
3330,46.51394599,92.94700688,97.99033957,1,18,10,17.92,42.48,33.16,0.5817333691,0.04233641546,7.01E-02,2,2,2,-1,16,8,98,7,,,,,0.65,,99.23900983,21,20.43905867,99.23900983,1,-20,0.7
3336,46.51564913,92.95408877,97.99234087,1,18,10,9.96,43.08,37.16,0.9552586472,0.04936356391,7.61E-02,1,2,2,0,16,8,98,7,,,,,0.65,,99.23998922,21,19.54880804,99.23998922,1,-20,0.7
3342,46.58162068,92.96627435,97.99373336,1,18,10,9.12,43.56020802,37.72,0.606463614,0.06026111734,7.95E-02,1,2,2,0,16,8,98,7,,,,,0.65,,99.24083594,21,27.965052,99.24083594,2,-19,0.7
3348,46.67594188,92.96892211,97.99444334,1,18,10,11.88,36.28,35.76,0.606463614,0.06384111203,9.65E-02,2,2,2,-1,16,8,98,7,,,,,0.65,,99.24221572,21,36.64238133,99.24221572,2,-19,0.7
3354,46.76479485,92.9716923,97.99476075,1,17,10,16.32,28.52,28.16,0.01197511556,0.06047571555,9.72E-02,2,2,2,-1,15,8,98,7,,,,,0.65,,99.24276362,21,37.12,99.24276362,2,-19,0.7
3360,46.93899928,92.97738219,97.99883014,2,17,10,26.9443,26.8,22.48,0.01459418635,0.05197018509,8.42E-02,3,2,1,-1,15,9,98,7,,,,,0.65,,99.24340441,20,37.40033607,99.24340441,2,-18,0.7
3366,47.09132435,92.99536353,98.00574639,2,17,10,30.45285333,39.36,29.64,0.3859653887,0.04868308276,6.83E-02,3,2,2,-1,15,8,98,7,,,,,0.65,,99.24401324,20,32,99.24401324,2,-18,0.7
3372,47.30800471,93.02914307,98.01318422,2,17,10,35.28203333,68.92,53.36,0.5221560717,0.04460668902,5.15E-02,4,4,3,-2,13,7,98,7,,,,,0.65,,99.24414307,20,25.24,99.24414307,2,-18,0.7
3378,47.46538989,93.0637366,98.02196271,2,17,10,37.494044,110.2,84.96,0.5391762443,0.1044371004,9.16E-02,4,6,4,-2,11,6,98,7,,,,,0.65,,99.24458652,20,24.16,99.24458652,2,-18,0.7
3384,47.51232746,93.09243825,98.02957077,2,17,10,33.64381333,135.24,118.08,0.5876704859,0.1650177244,1.76E-01,4,7,6,-2,10,4,98,7,,,,,0.65,,99.24655756,20,41.2,99.24655756,2,-18,0.7
3390,47.56328906,93.1214407,98.03949701,2,17,10,26.4,148.32,140.32,0.5852112926,0.1904084434,2.30E-01,3,7,7,-1,10,3,98,7,,,,,0.65,,99.24955714,20,71.84,99.24955714,4,-16,0.7
3396,47.72682097,93.15042186,98.0468737,2,17,10,27.32,150.68,151.12,0.4707005298,0.241733008,3.70E-01,3,7,7,-1,10,3,98,7,,,,,0.65,,99.2523422,20,102.2,99.2523422,5,-15,0.7
3402,47.67810301,93.18444305,98.05465246,2,17,10,31.36,151.8,151.12,0.3732050469,0.2343699491,3.81E-01,3,7,7,-1,10,3,98,7,,,,,0.65,,99.25559291,20,129.68,99.25559291,6,-14,0.7
3408,47.60471066,93.20928319,98.05746471,2,17,10,40.12,139.84,148.12,0.386868595,0.2726743777,4.56E-01,4,7,7,-2,10,3,98,7,,,,,0.65,,99.25932932,20,148.2,99.25932932,7,-13,0.7
3414,47.61796647,93.21252864,98.05680925,2,16,10,47.44,109.36,124.88,0.5289309403,0.2564121705,4.16E-01,5,5,6,-3,11,4,98,7,,,,,0.65,,99.26243362,19,149.88,99.26243362,7,-12,0.7
3420,47.70983572,93.21198637,98.05707718,2,16,10,49.96,76,85.04,0.9104178405,0.2284293478,3.85E-01,5,4,4,-3,12,6,98,7,,,,,0.65,,99.2654593,19,150.68,99.2654593,7,-12,0.7
3426,47.65012657,93.21055639,98.05714576,2,16,10,49.24,39.56,45.6,0.7924935283,0.1689061376,3.13E-01,5,2,2,-3,14,8,98,7,,,,,0.65,,99.26756984,19,141.88,99.26756984,7,-12,0.7
3432,47.56852431,93.21261398,98.05727414,2,16,10,46.64,6.12,13.88,0.7357815051,0.1099060048,2.11E-01,5,1,1,-3,15,9,98,7,,,,,0.65,,99.26779114,19,108.08,99.26779114,5,-14,0.7
3438,47.57288404,93.210787,98.05744661,2,16,10,46.24,0,0,0.7599431194,0.04957535321,1.06E-01,5,0,0,-3,16,10,98,7,,,,,0.65,,99.26758288,19,70.51122667,99.26758288,4,-15,0.7
3444,47.53205724,93.21212703,98.05684699,2,16,10,42.44,0,0,0.7313337179,0.01115860329,3.75E-02,4,0,0,-2,16,10,98,7,,,,,0.65,,99.2672019,19,27.16,99.2672019,2,-17,0.7
3450,47.52558596,93.21236848,98.0611916,2,16,10,26.16,3.52,0.36,0.5803583981,0.002480704415,3.57E-03,3,1,1,-1,15,9,98,7,,,,,0.65,,99.26739126,19,2.08,99.26739126,1,-18,0.7
3456,47.52576591,93.23343809,98.06871293,2,16,10,17.6,31.08,22,0.6333841719,0.008007508269,2.01E-03,2,2,1,0,14,9,98,7,,,,,0.65,,99.26737763,19,0,99.26737763,0,-19,0.7
3462,47.53478532,93.26694829,98.07671065,2,16,10,5,69.56,55.16,0.5338217463,0.01457068345,9.57E-03,1,4,3,1,12,7,98,7,,,,,0.65,,99.26735687,19,0,99.26735687,0,-19,0.7
3468,47.53492412,93.29781669,98.08386971,2,16,10,0.16,109.52,91.44,0.2761083386,0.0929227922,7.64E-02,1,6,4,1,10,6,98,7,,,,,0.65,,99.26824646,19,4.32,99.26824646,1,-18,0.7
3474,47.53518842,93.32518732,98.09181099,2,16,10,0,141.28,124,0.04305655359,0.1675631092,2.01E-01,0,7,6,2,9,4,98,7,,,,,0.65,,99.27072445,18,40.16,99.27072445,2,-16,0.7
3480,47.52705765,93.35273272,98.10032976,2,15,10,0,151.52,149.8,0.002254149812,0.241910623,3.32E-01,0,7,7,2,8,3,98,7,,,,,0.65,,99.27364676,18,74,99.27364676,4,-14,0.7
3486,47.58612384,93.3805976,98.1072229,2,15,10,4.84,151.44,149.6,0.003322480081,0.2577657791,3.74E-01,1,7,7,1,8,3,98,7,,,,,0.65,,99.27619495,18,105.96,99.27619495,5,-13,0.7
3492,47.52634239,93.41007167,98.11259922,2,15,10,20.24,147.32,149.16,0.08323109988,0.2794524369,4.06E-01,2,7,7,0,8,3,98,7,,,,,0.65,,99.27928255,18,139,99.27928255,7,-11,0.7
3498,47.55305957,93.42752895,98.11623779,2,15,10,31.2,131.76,136.72,0.2518199424,0.3077925544,4.09E-01,3,7,6,-1,8,4,98,7,,,,,0.65,,99.28215344,18,151.04,99.28215344,7,-11,0.7
3504,47.55645275,93.44246659,98.11949119,2,15,10,39.72,115.8,119.96,0.2981758441,0.2520897106,3.82E-01,4,6,6,-2,9,4,98,7,,,,,0.65,,99.28499916,18,149.36,99.28499916,7,-11,0.7
3510,47.62284943,93.45634802,98.12362011,2,15,10,49.28,100.8,98.88,0.4449391403,0.2278093774,3.53E-01,5,5,5,-3,10,5,98,7,,,,,0.65,,99.2874836,18,145.44,99.2874836,7,-11,0.7
3516,47.63112553,93.47019118,98.1270326,2,15,10,47.76,86.44,80.84,0.7817738312,0.1838161498,3.16E-01,5,4,4,-3,11,6,98,7,,,,,0.65,,99.28876762,18,130.28,99.28876762,6,-12,0.7
3522,47.58181245,93.48775179,98.13011347,2,15,10,47,81.8,73.16,0.7749639791,0.1511298195,2.39E-01,5,4,4,-3,11,6,98,7,,,,,0.65,,99.29022587,18,111.96,99.29022587,5,-13,0.7
3528,47.55722552,93.49959082,98.13225983,2,15,10,45.32,76.32,69,0.8402968979,0.1616677036,1.96E-01,5,4,3,-3,11,7,98,7,,,,,0.65,,99.29215105,18,90.76,99.29215105,4,-14,0.7
3534,47.5807522,93.50635716,98.13275708,2,15,10,44.24,65.48,62.44,0.667895739,0.1352640406,1.86E-01,4,3,3,-2,12,7,98,7,,,,,0.65,,99.29339377,18,75.36,99.29339377,4,-14,0.7
3540,47.49175225,93.5071416,98.13313958,2,15,10,40.84,47.4,48.04,0.4752766934,0.1246857151,1.62E-01,4,3,3,-2,12,7,98,7,,,,,0.65,,99.29475602,18,72.83945,99.29475602,4,-14,0.7
3546,47.41520155,93.50616421,98.13319277,2,14,10,35.8,29.16,30.28,0.7410914714,0.09973896937,1.44E-01,4,2,2,-2,12,8,98,7,,,,,0.65,,99.29555512,18,68.2,99.29555512,3,-15,0.7
3552,47.35637943,93.50845448,98.13331597,2,14,10,30.12,13.36,16.16,0.7029041332,0.07754956121,1.12E-01,3,1,1,-1,13,9,98,7,,,,,0.65,,99.29614851,18,55.52,99.29614851,3,-15,0.7
3558,47.27626166,93.50783066,98.13344467,2,14,9,27.04,3.28,5.88,0.5438471591,0.05383164303,7.79E-02,3,1,1,-1,13,8,98,7,,,,,0.65,,99.29614806,18,40.28,99.29614806,2,-16,0.7
3564,47.24640071,93.50820321,98.13279291,2,14,9,26.88,0.16,1.04,0.5365744015,0.01389416994,3.27E-02,3,1,1,-1,13,8,98,7,,,,,0.65,,99.29586115,17,21.72,99.29586115,1,-16,0.7
3570,47.38243487,93.50666786,98.13324629,1,14,9,25.28,0,0,0.994166155,0.008484791992,1.53E-02,3,0,0,-2,14,9,98,7,,,,,0.65,,99.29602306,17,9.48,99.29602306,1,-16,0.7
3576,47.39386055,93.50599413,98.13356333,1,14,9,20.36,0,0,0.8985490231,0.004530581972,6.07E-03,2,0,0,-1,14,9,98,7,,,,,0.65,,99.29591637,17,3.2,99.29591637,1,-16,0.7
3582,47.39559373,93.51534523,98.13891028,1,14,9,14.88,12.08,2.68,0.8579014498,0.003618851434,2.17E-03,2,1,1,-1,13,8,98,7,,,,,0.65,,99.29588876,17,0.04,99.29588876,1,-16,0.7
3588,47.39733198,93.54390901,98.14616382,1,14,9,9.6,50.56,30.64,0.6395702969,0.02077638979,1.46E-02,1,3,2,0,11,7,98,7,,,,,0.65,,99.29643461,17,0,99.29643461,0,-17,0.7
3594,47.39906789,93.5672765,98.15132458,1,14,9,3.96,80.68,65.08,0.25033972,0.09142463817,9.38E-02,1,4,3,0,10,6,98,7,,,,,0.65,,99.29622129,17,0,99.29622129,0,-17,0.7
3600,47.39216555,93.57958971,98.15334118,2,14,8,0,98.76,90.12,0.2805269129,0.111528394,1.48E-01,0,5,4,2,9,4,98,7,,,,,0.65,,99.29741239,16,17.16,99.29741239,1,-15,0.7
3606,47.39390501,93.58617,98.15400901,2,14,8,0,99.72,98.84,0.1358293566,0.167194081,2.50E-01,0,5,5,2,9,3,98,7,,,,,0.65,,99.29984993,16,47.72,99.29984993,3,-13,0.7
3612,47.39564212,93.59097119,98.15427815,2,14,8,0,65.88,76.24,0.1351832762,0.1859044559,2.54E-01,0,3,4,2,11,4,98,7,,,,,0.65,,99.30234158,16,82.04,99.30234158,4,-12,0.7
3618,47.4313996,93.58942412,98.15434277,2,13,8,6.472846667,31.64,41.4,0.1229947546,0.1336492032,2.52E-01,1,2,2,1,11,6,98,7,,,,,0.65,,99.3033418,16,96.28,99.3033418,5,-11,0.7
3624,47.47936916,93.5896403,98.15425867,2,13,8,14.92668,13.44,19.6,0.1928024315,0.1037111718,1.93E-01,2,1,1,0,12,7,98,7,,,,,0.65,,99.30377147,16,91.4,99.30377147,5,-11,0.7
3630,47.42458541,93.58802527,98.15405547,2,13,8,24.471576,2.04,3.8,0.1946181892,0.06074332231,1.19E-01,3,1,1,-1,12,7,98,7,,,,,0.65,,99.30395974,16,56.48,99.30395974,3,-13,0.7
3636,47.43615363,93.58724276,98.15400078,2,13,8,31.38254933,0,0.24,0.2476144476,0.02109500099,4.96E-02,3,0,1,-1,13,7,98,7,,,,,0.65,,99.30382234,16,29.16,99.30382234,2,-14,0.7
3642,47.5433312,93.59080938,98.15426477,2,13,8,32.44,0,0,0.3958525534,0.009711946828,1.80E-02,3,0,0,-1,13,8,98,7,,,,,0.65,,99.30381521,16,10.2,99.30381521,1,-15,0.7
3648,47.5545263,93.58931578,98.15421474,2,13,7,24.96,0,0,0.6116772512,0.003121337055,4.47E-03,3,0,0,-1,13,7,98,7,,,,,0.65,,99.30431039,16,1.36,99.30431039,1,-15,0.7
3654,47.56712537,93.58890056,98.1543242,2,13,7,15.76,0,0,0.6035736512,0.003054080254,2.41E-03,2,0,0,0,13,7,98,7,,,,,0.65,,99.30417414,16,0,99.30417414,0,-16,0.7
3660,47.55811525,93.58791818,98.15408506,2,13,7,6.6,0,0,0.4601221206,0.003178832067,2.47E-03,1,0,0,1,13,7,98,7,,,,,0.65,,99.30431997,16,0,99.30431997,0,-16,0.7
3666,47.55805438,93.58714671,98.15398369,2,13,7,0.52,0,0,0.1012650587,0.004074162049,1.26E-03,1,0,0,1,13,7,98,7,,,,,0.65,,99.30417081,16,0,99.30417081,0,-16,0.7
3672,47.55821926,93.59065152,98.15419725,2,13,7,0,0,0,0.03540006173,0.004083835485,1.31E-03,0,0,0,2,13,7,98,7,,,,,0.65,,99.30420537,16,0,99.30420537,0,-16,0.7
3678,47.55856993,93.58899547,98.15425812,2,13,7,0,0.04,0,0.02821421935,0.003219579945,1.27E-03,0,1,0,2,12,7,98,7,,,,,0.65,,99.30398552,15,0,99.30398552,0,-15,0.7
3684,47.55907498,93.59080428,98.15533684,2,12,7,0,2.64,0.44,0.001429003546,0.003046093308,1.39E-03,0,1,1,2,11,6,98,7,,,,,0.65,,99.3038104,15,0,99.3038104,0,-15,0.7
3690,47.55673785,93.59291714,98.15555807,1,12,6,0,7.12,5.44,0.001416148774,0.002512675803,2.34E-03,0,1,1,1,11,5,98,7,,,,,0.65,,99.30395228,15,0,99.30395228,0,-15,0.7
3696,47.55843847,93.59345649,98.15576893,1,12,6,0,8.68,7.48,0.002550513669,0.01337756743,5.26E-03,0,1,1,1,11,5,98,7,,,,,0.65,,99.30377479,15,0.04,99.30377479,1,-14,0.7
3702,47.56015086,93.59998993,98.1574383,1,12,6,0,13.52,9.12,0.002550513669,0.01903012715,1.37E-02,0,1,1,1,11,5,98,7,,,,,0.65,,99.30395758,15,2.92,99.30395758,1,-14,0.7
3708,47.56186669,93.60871447,98.16077675,1,12,6,0,26.52,16.88,0.001788901948,0.02603016539,4.10E-02,0,2,1,1,10,5,98,7,,,,,0.65,,99.30478314,15,6.56,99.30478314,1,-14,0.7
3714,47.56358194,93.62629549,98.16597724,1,12,6,0,46.32,31.32,0.002644899059,0.05472707992,6.78E-02,0,3,2,1,9,4,98,7,,,,,0.65,,99.30473035,15,8.12,99.30473035,1,-14,0.7
3720,47.6349732,93.64881386,98.13077935,1,12,6,5.32,76.96,62.96,0.002644899059,0.07374752779,1.02E-01,1,4,3,0,8,3,98,7,,,,,0.65,,99.30521233,14,12.08,99.30521233,1,-13,0.7
3726,47.6950542,93.6732669,98.07763791,1,12,5,8.72,108.96,85.84,0.09416373255,0.1372666757,1.95E-01,1,5,4,0,7,1,98,7,,,,,0.65,,99.30622826,14,23.32,99.30622826,2,-12,0.7
3732,47.71008017,93.70318142,98.03163577,1,12,5,9.64,133.24,103.68,0.187387429,0.1496670588,2.17E-01,1,7,5,0,5,0,98,7,,,,,0.65,,99.30776164,14,42.36,99.30776164,2,-12,0.7
3738,47.77569026,93.72770506,97.98842972,1,12,5,14.16,145.44,114.48,0.2330141981,0.2765296985,4.12E-01,2,7,5,-1,5,0,98,7,,,,,0.65,,99.31005426,14,76.12,99.31005426,4,-10,0.7
3744,47.83494881,93.75249518,97.91859421,1,12,5,19.36,150.64,115.04,0.2330141981,0.3327868013,7.02E-01,2,7,6,-1,5,-1,98,7,,,,,0.65,,99.31248322,14,108.4,99.31248322,5,-9,0.7
3750,47.67961007,93.77469202,97.90448952,1,11,5,23.88,148.04,112.88,0.14780552,0.3430345271,6.50E-01,3,7,5,-2,4,0,98,7,,,,,0.65,,99.31502018,14,130.36,99.31502018,6,-8,0.7
3756,47.61479717,93.79582594,97.90747219,1,11,5,28.68,143.72,110.36,0.6477073526,0.3533420655,6.28E-01,3,7,5,-2,4,0,98,7,,,,,0.65,,99.31770944,14,143.2,99.31770944,7,-7,0.7
3762,47.54959522,93.81409078,97.9093227,1,11,5,29.88,125.84,106.88,0.7581044984,0.3348031775,7.33E-01,3,6,5,-2,5,0,98,7,,,,,0.65,,99.32016744,14,147.8,99.32016744,7,-7,0.7
3768,47.48286058,93.81465987,97.90906745,1,11,9,28.48,91.92,88.56,0.9390280868,0.3229283082,6.06E-01,3,5,4,-2,6,5,98,7,,,,,0.65,,99.32313513,14,145.6,99.32313513,7,-7,0.7
3774,47.41176647,93.81480155,97.91102945,1,11,9,27.4,58.72,61.88,0.9390280868,0.2580799732,4.91E-01,3,3,3,-2,8,6,98,7,,,,,0.65,,99.32497372,14,137.28,99.32497372,7,-7,0.7
3780,47.24858318,93.81995496,97.91388502,1,11,9,25.44,36.32,32.42086222,0.6796883946,0.1831679547,3.91E-01,3,2,2,-2,9,7,98,7,,,,,0.65,,99.32615815,14,116.12,99.32615815,6,-8,0.7
3786,47.17425685,93.83374113,97.91936145,1,11,9,24.2,37.79976002,26.89766967,0.9970928418,0.1064202342,2.96E-01,3,2,2,-2,9,7,98,7,,,,,0.65,,99.32629203,14,84.6,99.32629203,4,-10,0.7
3792,47.09791413,93.86193582,97.92590608,1,11,9,24.04,71.64,44.067612,0.9940619547,0.07383047328,2.94E-01,3,4,2,-2,7,7,98,7,,,,,0.65,,99.32614653,14,47.28,99.32614653,3,-11,0.7
3798,47.03982762,93.87997928,97.91872323,1,11,11,23.2,99.32,73.93469067,0.9940619547,0.1308428448,1.69E-01,3,5,4,-2,6,7,98,7,,,,,0.65,,99.32677567,14,30.7612,99.32677567,2,-12,0.7
3804,47.05931156,93.90360857,97.92703373,1,11,11,19.16,126.12,104.7647658,0.9029415015,0.2137686459,2.86E-01,2,6,5,-1,5,6,98,7,,,,,0.65,,99.32808062,14,35.68,99.32808062,2,-12,0.7
3810,47.09496661,93.92650557,97.93330666,1,11,11,13.36,140.2411681,126.5368422,0.8376624575,0.2290570707,3.16E-01,2,7,6,-1,4,5,98,7,,,,,0.65,,99.32907641,14,45.12,99.32907641,2,-12,0.7
3816,47.0866638,93.94900981,97.93816902,1,11,11,14.32,146.96,133.5398147,0.6376515134,0.3221747616,4.06E-01,2,7,6,-1,4,5,98,7,,,,,0.65,,99.32921634,14,46.28,99.32921634,3,-11,0.7
3822,47.01596399,93.97743019,97.94740847,1,10,11,16.56,147,134.9801387,0.3769208805,0.3396565716,4.21E-01,2,7,6,-1,3,5,98,7,,,,,0.65,,99.32959486,13,46.48,99.32959486,3,-10,0.7
3828,46.95260732,93.99694672,97.95099989,1,10,11,20.88,146.84,139.65586,0.3172144813,0.3595913993,4.21E-01,2,7,7,-1,3,4,98,7,,,,,0.65,,99.33187259,13,51.96,99.33187259,3,-10,0.7
3834,46.88057361,94.01672622,97.95763161,1,10,11,26.32,143,137.16,0.651519289,0.3216469306,4.41E-01,3,7,6,-2,3,5,98,7,,,,,0.65,,99.33403501,13,72.24,99.33403501,4,-9,0.7
3840,46.73122105,94.03262872,97.9608341,1,10,11,26.76,132.48,127.76,0.4976666284,0.3275356642,3.96E-01,3,7,6,-2,3,5,98,7,,,,,0.65,,99.33641878,13,105.36,99.33641878,5,-8,0.7
3846,46.67379968,94.04093654,97.96164813,2,10,11,28.33258333,110.8,114.04,0.6507317972,0.3420029515,3.94E-01,3,6,5,-1,4,6,98,7,,,,,0.65,,99.33890945,13,130.36,99.33890945,6,-7,0.7
3852,46.64948188,94.04430267,97.96176114,2,10,11,32.6392,71.92,86.44,0.6854173144,0.3292841431,3.68E-01,3,4,4,-1,6,7,98,7,,,,,0.65,,99.34148821,13,150.72,99.34148821,7,-6,0.7
3858,46.63941493,94.04447694,97.96142782,2,10,11,34.13726133,45.72,51.68,0.6684162792,0.22852211,2.54E-01,4,3,3,-2,7,8,98,7,,,,,0.65,,99.34388927,13,152.32,99.34388927,7,-6,0.7
3864,46.63494218,94.04438453,97.96221255,2,10,11,35.776896,18.28,24.76,0.7630495021,0.1384883131,1.92E-01,4,1,2,-2,9,9,98,7,,,,,0.65,,99.34618044,12,150.36,99.34618044,7,-5,0.7
3870,46.69012346,94.04320784,97.9621389,2,10,11,37.68,2.4,5.76,0.6321690741,0.0906666496,1.04E-01,4,1,1,-2,9,10,98,7,,,,,0.65,,99.34769024,12,138.32,99.34769024,7,-5,0.7
3876,46.67945756,94.04471632,97.96167848,2,10,11,37.44,0,0.12,0.7404311722,0.03104277544,5.11E-02,4,0,1,-2,10,10,98,7,,,,,0.65,,99.34783149,12,109.16,99.34783149,5,-7,0.7
3882,46.78045656,94.04416179,97.9617278,2,9,11,36.8,0,0,0.6325021796,0.01116368,2.11E-02,4,0,0,-2,9,11,98,7,,,,,0.65,,99.34760836,12,62.88,99.34760836,3,-9,0.7
3888,46.78461459,94.04454657,97.96175789,2,9,11,30.52,0.64,0.24,0.7115000053,0.003506803258,2.52E-03,3,1,1,-1,8,10,98,7,,,,,0.65,,99.34810595,12,26.52,99.34810595,2,-10,0.7
3894,46.774388,94.04697402,97.96431629,2,9,11,17.92,4,2.28,0.6239701816,0.004381249253,4.10E-03,2,1,1,0,8,10,98,7,,,,,0.65,,99.34819949,20,1.96,99.34819949,1,-19,0.7
3900,46.77259698,94.05482898,97.96857944,2,9,11,10.4,20.48,11.52,0.470201805,0.004499500642,4.03E-03,1,1,1,1,8,10,98,7,,,,,0.65,,99.34815657,20,0,99.34815657,0,-20,0.7
3906,46.79255983,94.07620204,97.97473173,2,9,11,0.32,51.83906419,33.64,0.3134920386,0.05597682384,2.16E-02,1,3,2,1,6,9,98,7,,,,,0.65,,99.3481691,20,0,99.3481691,0,-20,0.7
3912,46.79045549,94.09908318,97.97945457,2,9,11,0,88.92,65.52,0.02988162523,0.09155233878,5.29E-02,0,5,3,2,4,8,98,7,,,,,0.65,,99.34823913,20,5.03292,99.34823913,1,-19,0.7
3918,46.78878438,94.1189298,97.98636156,2,9,11,0,117.16,105,0.02207213901,0.1709288145,1.17E-01,0,6,5,2,3,6,98,7,,,,,0.65,,99.35029472,21,38.18816667,99.35029472,2,-19,0.7
3924,46.81178505,94.1356794,97.99498039,2,9,11,2.2,133.72,133.76,0.001997136486,0.2783418427,2.44E-01,1,7,6,1,2,5,98,7,,,,,0.65,,99.35279187,21,74.39302,99.35279187,4,-17,0.7
3930,46.87795452,94.15579646,98.00106707,2,9,11,7.2,141.5634327,146.32,0.001932384641,0.3431607059,3.25E-01,1,7,7,1,2,4,98,7,,,,,0.65,,99.35491725,21,105.3551627,99.35491725,5,-16,0.7
