,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,0.75
1992,73.11374717,91.64126217,97.98756987,3,8,10,66.36,132.8,145.64,0.7516012832,0.5273637216,0.3751029913,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
1998,73.08430118,91.6832604,97.99829666,3,8,10,66.16,136.48,146.76,0.8163697305,0.5422480927,0.3878002855,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2004,73.05563343,91.71648792,98.00656037,3,8,10,65.64,138.56,146.52,0.7997986755,0.4713522346,0.4393239033,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2010,73.02093379,91.73282215,98.01963965,3,8,10,63.36,138.56,146.88,0.7643113011,0.4415081142,0.4083043353,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2016,72.97856727,91.76451034,98.02770409,3,8,10,62.68,140.48,146.8,0.6823338235,0.5807184718,0.4257405316,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2022,72.92780552,91.80746942,98.03582822,3,8,10,62.4,141.08,148.08,0.6673007275,0.5466041712,0.4311326774,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2028,72.89654539,91.83424634,98.04643356,3,8,10,61.24,142.04,148.2,0.7585130385,0.5220689166,0.402723207,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2034,72.85695019,91.82640521,98.05408786,3,8,10,62.44,140.6,148.32,0.7558837024,0.5803104292,0.4174563232,4,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2040,72.7942907,91.84370549,98.06637479,4,8,10,58.44,140.52,149.08,0.6086767459,0.521358678,0.4387341255,4,7,7,0,1,3,98,7,,,,,0.65,,,,,,,,0.75
2046,72.68875829,91.88096874,98.07421493,4,8,10,64.56061333,140.56,149.16,0.5683132838,0.5633835114,0.4268170679,4,7,7,0,1,3,98,7,,,,,0.65,,,,,,,,0.75
2052,72.72658143,91.92717844,98.08225882,4,8,10,71.17926667,141.56,149.84,0.6197314836,0.5637231117,0.4239250764,5,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2058,72.69043595,91.97687419,98.09231734,4,8,10,77.262904,145.28,149.6,0.7043996656,0.5242795946,0.3649079496,5,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2064,72.61681477,92.01466761,98.09988401,4,8,10,85.904128,145.6,149,0.6565232602,0.5874396215,0.4069075934,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2070,72.59184087,92.050426,98.11088883,4,8,10,89.6,143.68,147.76,0.6742721414,0.5274374684,0.3957289483,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2076,72.61447201,92.08543284,98.11834506,4,8,10,86.88,143.96,148.68,0.7768845021,0.5445042143,0.414464659,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2082,72.52376548,92.12886811,98.12601843,4,8,10,89.16,143.76,148.72,0.7664184672,0.5055326403,0.4298189905,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2088,72.63257557,92.1739559,98.13545195,4,8,10,89.12,143.24,149.32,0.8412629089,0.4913838064,0.4215192311,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2094,72.60339312,92.20930115,98.14265303,4,8,10,89.88,144.12,147.88,0.8126170044,0.5308311335,0.3992203005,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2100,72.50983896,92.22898581,98.15332206,4,8,10,92.4,143.44,148.92,0.6911368202,0.4789316914,0.3919127845,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2106,72.50394925,92.26179301,98.1607786,4,8,10,93.12,143.8762488,150.2,0.6930107652,0.5280891078,0.3866417978,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2112,72.47085559,92.30098012,98.16799592,4,8,10,89,144.84,147.92,0.7938631865,0.5239816233,0.4213036619,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2118,72.5360129,92.34505968,98.17700806,4,8,10,86.15723553,145.56,148.12,0.731013906,0.5642957248,0.3915536922,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2124,72.49085824,92.37655173,98.1841271,4,8,10,88.24,145.56,149.12,0.7582310678,0.5521758165,0.3507515296,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2130,72.51251834,92.40581149,98.19405413,4,8,10,85.96,145.2834087,148.24,0.6365216381,0.5150832124,0.3757577335,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2136,72.47710757,92.44216296,98.20129334,4,8,10,89.08,144.32,149.8,0.7245344352,0.5627266173,0.4204356965,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2142,72.44942113,92.45728169,98.20887629,4,8,10,95.08,141.92,149.8,0.7547543919,0.5110113928,0.3879415516,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2148,72.46583375,92.4824224,98.21717419,4,8,10,94.87712994,142.4,149.68,0.805824746,0.4747219134,0.3724233333,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2154,72.46092957,92.51519746,98.22372487,4,8,10,92.96,144.8815169,148.84,0.7809362829,0.5684289585,0.3976081787,6,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2160,72.44965644,92.54718964,98.23319062,6,8,10,89.35949,143.6,148.6,0.6349905542,0.5105069583,0.4042876459,6,7,7,0,1,3,98,7,,,,,0.65,,,,,,,,0.75
2166,72.42080018,92.5867471,98.23990257,6,8,10,92.18196667,146.2,148.48,0.6164360241,0.5421172528,0.412007296,6,7,7,0,1,3,98,7,,,,,0.65,,,,,,,,0.75
2172,72.52240173,92.62037202,98.24696388,6,8,10,91.57028388,145.52,147.16,0.6164244359,0.458561796,0.4175074809,6,7,7,0,1,3,98,7,,,,,0.65,,,,,,,,0.75
2178,72.60567946,92.66228006,98.25485463,6,8,10,94.78582933,144.9984865,147.8,0.5978189987,0.544044928,0.3823524972,6,7,7,0,1,3,98,7,,,,,0.65,,,,,,,,0.75
2184,72.64500421,92.68357321,98.26119566,6,8,10,103.497896,145.4,146.48,0.5037691379,0.5349219352,0.3495687985,7,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2190,72.80486797,92.71365438,98.26996384,6,8,10,112.76,144.44,146.16,0.639229627,0.4211818057,0.4116383728,7,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2196,72.97388444,92.74309213,98.27299728,6,8,10,115.4,143.52,145.16,0.6387446683,0.5585221286,0.3988821035,7,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
2202,73.1924831,92.77559837,98.27979315,6,8,10,125.84,143.2013473,144.68,0.5313144423,0.5249586471,0.4226117748,8,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2208,73.38090344,92.81458608,98.28710836,6,8,10,129.76,142.72,146.04,0.690878802,0.464495799,0.4369589564,8,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2214,73.51935783,92.84324706,98.29329038,6,8,10,130.08,142.84,143.6,0.672493106,0.5318239532,0.3916555619,8,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2220,73.62158112,92.87200736,98.30114742,6,8,10,128.52,142.44,141.44,0.6420211561,0.5050914663,0.3818019115,8,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2226,73.74276339,92.90528215,98.30729317,6,8,10,126.4365254,140.16,142.52,0.5734557758,0.477564897,0.4226090811,8,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2232,73.94584772,92.93533946,98.3133324,6,8,10,125.28,138.6,139.6,0.6838452489,0.4430419996,0.4451017175,8,7,7,-2,1,3,98,7,,,,,0.65,,,,,,,,0.75
2238,74.07328724,92.96104394,98.32058362,6,8,10,122.56,123.84,141.28,0.6751693636,0.5065024241,0.4115608857,8,6,7,-2,2,3,98,7,,,,,0.65,,,,,,,,0.75
2244,74.13166204,92.96126706,98.32616628,6,8,10,118.52,107.24,139.28,0.5766637575,0.486696883,0.4357622129,7,5,7,-1,3,3,98,7,,,,,0.65,,,,,,,,0.75
2250,74.23845305,92.98641462,98.33331676,6,8,10,116.1232133,104.76,137.24,0.5938114768,0.4110557265,0.4358307473,7,5,6,-1,3,4,98,7,,,,,0.65,,,,,,,,0.75
2256,74.36349766,92.99824795,98.33845311,6,8,10,112.16,100.88,134,0.6239803062,0.3123490139,0.3347180677,7,5,6,-1,3,4,98,7,,,,,0.65,,,,,,,,0.75
2262,74.53697965,93.01896466,98.34385287,6,8,10,109.52,104.28,130,0.600611295,0.2814295647,0.4029245059,7,5,6,-1,3,4,98,7,,,,,0.65,,,,,,,,0.75
2268,74.68269799,93.04890174,98.34998863,6,8,10,110.32,120.32,127.64,0.6017773534,0.4387790383,0.3617019671,7,6,6,-1,2,4,98,7,,,,,0.65,,,,,,,,0.75
2274,74.79134527,93.071845,98.35472105,6,8,10,109.28,118.8,125.24,0.4833391807,0.4491766743,0.3577642466,7,6,6,-1,2,4,98,7,,,,,0.65,,,,,,,,0.75
2280,74.90114133,93.09080257,98.3606129,7,8,10,108.72584,115.96,120.72,0.5378489113,0.3567714011,0.3151499096,7,6,6,0,2,4,98,7,,,,,0.65,,,,,,,,0.75
2286,75.03038751,93.11926559,98.36511919,7,7,10,102.1493667,112.56,118.08,0.4932623255,0.3590126203,0.2994196211,6,6,6,1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2292,75.1371063,93.13779332,98.36922601,7,7,10,98.31386,109.76,112.88,0.4571980833,0.4040885269,0.3302051416,6,6,5,1,1,5,98,7,,,,,0.65,,,,,,,,0.75
2298,75.25904711,93.16371747,98.37442052,7,7,10,93.89271733,105.44,109.48,0.3920275514,0.4376676426,0.3177823782,6,5,5,1,2,5,98,7,,,,,0.65,,,,,,,,0.75
2304,75.34458665,93.18048373,98.37853977,7,7,10,91.21452,101.76,104.96,0.3942561814,0.4164274812,0.3064064219,6,5,5,1,2,5,98,7,,,,,0.65,,,,,,,,0.75
2310,75.42423048,93.19656717,98.38292776,7,7,10,89.04,97.56,100.04,0.4230480513,0.4103062738,0.2880592456,6,5,5,1,2,5,98,7,,,,,0.65,,,,,,,,0.75
2316,75.53360504,93.21597788,98.38649787,7,7,10,84.12,90.88,96.36,0.3877820865,0.389686441,0.2598173365,5,5,5,2,2,5,98,7,,,,,0.65,,,,,,,,0.75
2322,75.61224431,93.23028124,98.38977711,7,6,10,79.8,86.32,90.2,0.3481026517,0.4222798206,0.2567883892,5,4,4,2,2,6,98,7,,,,,0.65,,,,,,,,0.75
2328,75.69682232,93.2497647,98.39342532,7,6,9,74.28,81.52,86.52,0.330031785,0.3318109337,0.2627700811,5,4,4,2,2,5,98,7,,,,,0.65,,,,,,,,0.75
2334,75.76018442,93.26352722,98.39613571,7,6,9,71.64,79.24,79.92,0.2836283911,0.361907393,0.2581341587,5,4,4,2,2,5,98,7,,,,,0.65,,,,,,,,0.75
2340,75.81786207,93.27706144,98.39949025,7,6,9,67.52,76.4,77.76,0.3229255745,0.3286619632,0.2366213912,4,4,4,3,2,5,98,7,,,,,0.65,,,,,,,,0.75
2346,75.89450036,93.29152313,98.40210563,7,6,9,63.12,73.96,75.8,0.2796922448,0.3475717869,0.226274829,4,4,4,3,2,5,98,7,,,,,0.65,,,,,,,,0.75
2352,75.9603503,93.30294149,98.40434537,7,6,9,62.4,70.12,71,0.2250082131,0.3095924558,0.2199381863,4,4,4,3,2,5,98,7,,,,,0.65,,,,,,,,0.75
2358,76.02419129,93.31913218,98.40775737,7,6,9,57.76,67.08,68.96,0.2655012798,0.2633427933,0.2003215776,4,4,3,3,2,6,98,7,,,,,0.65,,,,,,,,0.75
2364,76.07371844,93.32982812,98.41004066,5,6,9,57,64.68,66.96,0.3245184013,0.3248620662,0.2222106047,4,3,3,1,3,6,98,7,,,,,0.65,,,,,,,,0.75
2370,76.11856611,93.33998535,98.4128412,5,6,8,54.04,61.44,62.96,0.3299228826,0.2842354179,0.2186814452,4,3,3,1,3,5,98,7,,,,,0.65,,,,,,,,0.75
2376,76.18375327,93.35143405,98.41491344,5,6,7,52.24,59.04,60.96,0.2913239825,0.2621707004,0.2005209287,3,3,3,2,3,4,98,7,,,,,0.65,,,,,,,,0.75
2382,76.23729065,93.35938048,98.41691817,5,6,7,51.16,55.96,58.66,0.2639296455,0.2260964425,0.215647443,3,3,3,2,3,4,98,7,,,,,0.65,,,,,,,,0.75
2388,76.28378242,93.37277702,98.41972714,5,6,7,46.68,52.96,56.76,0.2933040424,0.2453041712,0.2217708712,3,3,3,2,3,4,98,7,,,,,0.65,,,,,,,,0.75
2394,76.3265727,93.38082291,98.42203857,4,5,7,46.08,50.64,52.96,0.2531333202,0.3073749394,0.2129853334,3,3,3,1,2,4,98,7,,,,,0.65,,,,,,,,0.75
2400,76.34904598,93.38783745,98.42325128,4,5,7,41.67901128,48.24,48.88,0.2765089669,0.2603320876,0.208779134,3,3,3,1,2,4,98,7,,,,,0.65,,,,,,,,0.75
2406,76.40138886,93.39611114,98.42460185,4,5,7,39.8,44.84,46.08,0.2642915709,0.2722369536,0.1850917389,3,3,2,1,2,5,98,7,,,,,0.65,,,,,,,,0.75
2412,76.43895161,93.40273376,98.42684871,4,5,7,37.56,42.36,42.76,0.2840386711,0.2234510953,0.1765879489,3,2,2,1,3,5,98,7,,,,,0.65,,,,,,,,0.75
2418,76.48326672,93.41204093,98.4280592,4,5,7,34.96,38.88,40.08,0.2850227764,0.20248748,0.1754439952,2,2,2,2,3,5,98,7,,,,,0.65,,,,,,,,0.75
2424,76.50323971,93.41785241,98.42995808,3,5,6,32.16092807,36.84,37.68,0.2794179158,0.2318010339,0.211967158,2,2,2,1,3,4,98,7,,,,,0.65,,,,,,,,0.75
2430,76.51910198,93.42260436,98.43085795,3,5,5,30.16,34.64,35.52,0.2613304188,0.1825033693,0.2096565832,2,2,2,1,3,3,98,7,,,,,0.65,,,,,,,,0.75
2436,76.55991986,93.42817597,98.43160976,3,5,5,28.36,31.88,32.88,0.2719267409,0.2063964579,0.1910497315,2,2,2,1,3,3,98,7,,,,,0.65,,,,,,,,0.75
2442,76.58380067,93.4327464,98.43321214,3,5,5,26.4,29.84,30.72,0.2428476304,0.1778296811,0.1513993417,2,2,2,1,3,3,98,7,,,,,0.65,,,,,,,,0.75
2448,76.6043748,93.44010546,98.43392099,3,5,5,23.16,26.28,27.68,0.2409684613,0.1414646324,0.1674743985,2,2,2,1,3,3,98,7,,,,,0.65,,,,,,,,0.75
2454,76.6142179,93.44241378,98.43508365,2,4,5,21.36,24.16,23.96,0.2892097673,0.192721829,0.1568503464,2,2,2,0,2,3,98,7,,,,,0.65,,,,,,,,0.75
2460,76.62508509,93.44440645,98.43532113,2,4,5,19.04,20.96,20.36,0.2842875775,0.1739725905,0.1319898567,2,1,1,0,3,4,98,7,,,,,0.65,,,,,,,,0.75
2466,76.65075333,93.44631016,98.43558118,2,4,5,16.32,17.56,18.24,0.2849643653,0.1619965663,0.1467256163,1,1,1,1,3,4,98,7,,,,,0.65,,,,,,,,0.75
2472,76.66211909,93.44834114,98.43643899,2,4,3,13.36,15.4,14.8,0.2328768944,0.1109387056,0.1654393572,1,1,1,1,3,2,98,7,,,,,0.65,,,,,,,,0.75
2478,76.66624416,93.45218273,98.43675977,2,4,3,11.28,12.32,12.48,0.1741858614,0.09607021624,0.1581282474,1,1,1,1,3,2,98,7,,,,,0.65,,,,,,,,0.75
2484,76.66885302,93.45177048,98.43701864,2,4,3,9.28,9.4,10.32,0.1647612452,0.09807813264,0.1146324959,1,1,1,1,3,2,98,7,,,,,0.65,,,,,,,,0.75
2490,76.66978114,93.45257117,98.43720193,2,4,3,7.4,7.48,8.52,0.1562284224,0.06822896423,0.1035251225,1,1,1,1,3,2,98,7,,,,,0.65,,,,,,,,0.75
2496,76.67936048,93.45133653,98.4368865,2,4,3,4.08,3.96,5.2,0.1202277003,0.06323959493,0.08576733793,1,1,1,1,3,2,98,7,,,,,0.65,,,,,,,,0.75
2502,76.67831478,93.45192711,98.43720202,2,4,3,2.4,2.72,2.8,0.08914182262,0.04052719672,0.06145086053,1,1,1,1,3,2,98,7,,,,,0.65,,,,,,,,0.75
2508,76.67927667,93.45471664,98.43741067,2,4,2,2.04,2.12,2.32,0.05423206247,0.0310841956,0.05513548329,1,1,1,1,3,1,98,7,,,,,0.65,,,,,,,,0.75
2514,76.68299783,93.4547884,98.43760964,2,4,2,2.68,3.24,2.92,0.03264648457,0.01995288832,0.05221760789,1,1,1,1,3,1,98,7,,,,,0.65,,,,,,,,0.75
2520,76.68766215,93.45672187,98.43787969,2,4,2,4.04,5.16,4.4,0.0268276995,0.01772968438,0.02922413653,1,1,1,1,3,1,98,7,,,,,0.65,,,,,,,,0.75
2526,76.70371208,93.45897483,98.4378447,2,3,2,5.72,8.72,6.52,0.06048094238,0.04218459115,0.02057808751,1,1,1,1,2,1,98,7,,,,,0.65,,,,,,,,0.75
2532,76.72012258,93.46173348,98.43921697,2,3,2,9.32,10.56,11,0.07733838697,0.05662840678,0.07204683301,1,1,1,1,2,1,98,7,,,,,0.65,,,,,,,,0.75
2538,76.73052402,93.46480461,98.4397345,2,3,2,10.84,12.28,12.88,0.1012299262,0.06436362173,0.1127581591,1,1,1,1,2,1,98,7,,,,,0.65,,,,,,,,0.75
2544,76.74368568,93.4679811,98.44024785,1,3,1,12.48,15.16,14.88,0.2002423992,0.09662108732,0.2987419288,1,1,1,0,2,0,98,7,,,,,0.65,,,,,,,,0.75
2550,76.75970363,93.47179394,98.44084407,1,3,1,14.36,17,16.84,0.2253547868,0.1182787857,0.2987419288,1,1,1,0,2,0,98,7,,,,,0.65,,,,,,,,0.75
2556,76.77604763,93.47773807,98.44152653,1,3,1,16.2,21.24,19.04,0.3879983692,0.1260098988,0.3165267612,1,1,1,0,2,0,98,7,,,,,0.65,,,,,,,,0.75
2562,76.81362282,93.48261911,98.44362225,1,3,1,20,23.4,23.16,0.3879983692,0.1518038186,0.484695874,2,2,2,-1,1,-1,98,7,,,,,0.65,,,,,,,,0.75
2568,76.83479392,93.48777112,98.44446099,1,3,1,21.72,25.2,25.08,0.3320366957,0.1742451792,0.484695874,2,2,2,-1,1,-1,98,7,,,,,0.65,,,,,,,,0.75
2574,76.85778176,93.49140246,98.44541127,1,3,1,23.4,25.8,27.24,0.5470413971,0.1839951085,0.4022219958,2,2,2,-1,1,-1,98,7,,,,,0.65,,,,,,,,0.75
2580,76.88097559,93.49698489,98.44637283,1,3,1,25,28.2,28.92,0.6185531573,0.1773819716,0.6501358522,2,2,2,-1,1,-1,98,7,,,,,0.65,,,,,,,,0.75
2586,76.90607891,93.50735138,98.44729052,1,3,1,26.52,32.28,29.84,0.6885772127,0.2400975803,0.7255433738,2,2,2,-1,1,-1,98,7,,,,,0.65,,,,,,,,0.75
2592,76.95761317,93.51374742,98.44460096,1,2,1,29.64,34.68,31.44,0.6885772127,0.3332575519,0.8193755214,2,2,2,-1,0,-1,98,7,,,,,0.65,,,,,,,,0.75
2598,76.98005517,93.52141271,98.43604715,1,2,1,30.12,37.96,30.32,0.6103926301,0.3573944303,0.8193755214,2,2,2,-1,0,-1,98,7,,,,,0.65,,,,,,,,0.75
2604,76.98516752,93.52921873,98.41101657,1,2,1,29.92,41.44,29.28,0.8866465687,0.4831376851,0.9145542561,2,2,2,-1,0,-1,98,7,,,,,0.65,,,,,,,,0.75
2610,76.96654296,93.53727439,98.3813005,1,2,1,28.8,43.84,28.2,0.8866465687,0.4100277337,0.9495370992,2,2,2,-1,0,-1,98,7,,,,,0.65,,,,,,,,0.75
2616,76.94138368,93.55248516,98.34278104,1,2,3,27.28,52.24,26.96852667,0.9619009212,0.4697838813,0.5985578841,2,3,2,-1,-1,1,98,7,,,,,0.65,,,,,,,,0.75
2622,76.84250234,93.56170908,98.3049627,1,2,3,25.6,55.12,29.45202,0.6967262128,0.5316306967,0.5379029539,2,3,2,-1,-1,1,98,7,,,,,0.65,,,,,,,,0.75
2628,76.78115843,93.56422379,98.28817472,1,2,3,25.4,57.88,34.488135,0.9938429933,0.6671866218,0.5514079352,2,3,2,-1,-1,1,98,7,,,,,0.65,,,,,,,,0.75
2634,76.71528256,93.54700268,98.26216038,1,2,3,25.56,58.16,41.387796,0.9942568643,0.7033719813,0.5701868698,2,3,2,-1,-1,1,98,7,,,,,0.65,,,,,,,,0.75
2640,76.64916073,93.52224661,98.23555081,2,2,3,26.55861,56.92,47.80533333,0.6705032818,0.7949657081,0.5386783344,2,3,3,0,-1,0,98,7,,,,,0.65,,,,,,,,0.75
2646,76.60402125,93.44410639,98.20155187,2,2,3,27.2856,51.76,55.52,0.5245307252,0.6356019052,0.5228012119,2,3,3,0,-1,0,98,7,,,,,0.65,,,,,,,,0.75
2652,76.56823891,93.41391399,98.19245009,2,2,3,28.28082667,50,61.12,0.569329707,0.7751932271,0.6279567972,2,3,3,0,-1,0,98,7,,,,,0.65,,,,,,,,0.75
2658,76.50023364,93.36858659,98.16971455,2,2,3,32.39448,49.68,63.28,0.6925459628,0.6350986004,0.6764631053,2,3,3,0,-1,0,98,7,,,,,0.65,,,,,,,,0.75
2664,76.4581439,93.3182597,98.11687023,2,2,3,35.99008,49.16,65.36,0.5421732,0.8254025073,0.5641960524,3,3,3,-1,-1,0,98,7,,,,,0.65,,,,,,,,0.75
2670,76.41552855,93.27253207,98.07215431,2,2,3,39.88,49.4,65.72,0.7015235586,0.8254025073,0.6452113716,3,3,3,-1,-1,0,98,7,,,,,0.65,,,,,,,,0.75
2676,76.36621257,93.17576196,97.9997772,2,3,3,41.6,47.88,62.08,0.6065421853,0.6632902551,0.7232414197,3,3,3,-1,0,0,98,7,,,,,0.65,,,,,,,,0.75
2682,76.33208014,93.13493958,97.95945002,2,3,5,40.68,48.38155778,63.71754667,0.6960057448,0.6161190621,0.7258289504,3,3,3,-1,0,2,98,7,,,,,0.65,,,,,,,,0.75
2688,76.26854419,93.10324169,97.92158102,2,3,5,39.84,47.66444,64.73470444,0.7843472595,0.5150920422,0.6814231288,3,3,3,-1,0,2,98,7,,,,,0.65,,,,,,,,0.75
2694,76.22530822,93.06918797,97.88789352,2,3,5,39.72,45.874548,66.13672,0.7282996896,0.6071445181,0.5323036068,3,3,3,-1,0,2,98,7,,,,,0.65,,,,,,,,0.75
2700,76.17979377,93.02946233,97.85214506,2,3,5,39.16,45.48740133,73.51553333,0.597164791,0.611434677,0.5857746197,3,3,4,-1,0,1,98,7,,,,,0.65,,,,,,,,0.75
2706,76.13114287,92.99906259,97.84372248,2,3,9,40.84,49.68,78.687524,0.6301527163,0.5264518775,0.5309631649,3,3,4,-1,0,5,98,7,,,,,0.65,,,,,,,,0.75
2712,76.10084938,92.94530802,97.83171863,2,4,9,42.2,53.28362,91.63754,0.7655582396,0.4101146167,0.4823256042,3,3,4,-1,1,5,98,7,,,,,0.65,,,,,,,,0.75
2718,76.04599965,92.90964746,97.83280333,2,4,9,43.12,57.45904,101.2724341,0.7947109122,0.5095542394,0.4898814494,3,3,5,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2724,76.00691342,92.87231319,97.83662335,2,4,9,43.6,63.306275,110.7049533,0.7530867987,0.5925948616,0.4620525264,3,3,5,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2730,75.95986739,92.8554866,97.84154817,2,4,11,40.68,71.394612,118.2421853,0.7045335101,0.5777010857,0.5588555791,3,4,6,-1,0,5,98,7,,,,,0.65,,,,,,,,0.75
2736,75.90894157,92.79552191,97.86589624,2,4,11,40.64,78.69,125.8244967,0.5623454678,0.4920223022,0.4683173659,3,4,6,-1,0,5,98,7,,,,,0.65,,,,,,,,0.75
2742,75.88241559,92.7676406,97.86921065,2,4,11,40.56,85.96,127.8564238,0.7154461025,0.624772667,0.4767993185,3,4,6,-1,0,5,98,7,,,,,0.65,,,,,,,,0.75
2748,75.83311214,92.7289965,97.87214055,2,4,11,41.71831693,84.72,129.2369867,0.7867043466,0.7083203175,0.4578259125,3,4,6,-1,0,5,98,7,,,,,0.65,,,,,,,,0.75
2754,75.78528625,92.69190403,97.87684118,2,4,11,43.6,82.68,131.6863427,0.7972171307,0.7716133686,0.4046284669,3,4,6,-1,0,5,98,7,,,,,0.65,,,,,,,,0.75
2760,75.73519176,92.65438721,97.88114878,3,4,11,43.69556,82.84,134.68,0.4389881912,0.7204124047,0.418280425,3,4,6,0,0,5,98,7,,,,,0.65,,,,,,,,0.75
2766,75.62380236,92.62692482,97.90183551,3,4,11,45.35496889,77.44,136.48,0.4877624484,0.6797347224,0.3908431126,3,4,6,0,0,5,98,7,,,,,0.65,,,,,,,,0.75
2772,75.58682786,92.57610394,97.90616461,3,4,11,48.34476159,76.72,137.7584882,0.5991205278,0.7487697871,0.4158176224,3,4,6,0,0,5,98,7,,,,,0.65,,,,,,,,0.75
2778,75.60171672,92.53160052,97.90993216,3,6,11,51.77570133,73.72362667,139.32,0.7014573545,0.507785551,0.3841094914,3,4,7,0,2,4,98,7,,,,,0.65,,,,,,,,0.75
2784,75.52517287,92.49127835,97.91464128,3,6,11,57.14505067,77.800595,139.72,0.7383394657,0.5645268017,0.3861516634,4,4,7,-1,2,4,98,7,,,,,0.65,,,,,,,,0.75
2790,75.4728254,92.45979145,97.91935352,3,6,11,61.16,80.873224,140.72,0.7328317163,0.5340055567,0.4079819298,4,4,7,-1,2,4,98,7,,,,,0.65,,,,,,,,0.75
2796,75.44152959,92.44461786,97.93703732,3,6,11,61.48,85.46927867,142.1616034,0.637275196,0.5248531219,0.3504071175,4,4,7,-1,2,4,98,7,,,,,0.65,,,,,,,,0.75
2802,75.41209605,92.44116684,97.94181499,3,6,11,63.24,93.233944,143.12,0.5399236459,0.6102312742,0.4101208461,4,5,7,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2808,75.31200034,92.39533931,97.94601913,3,6,11,66.04,97.88,143.64,0.7364023275,0.5701021254,0.393201524,4,5,7,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2814,75.26902716,92.36383861,97.95142132,3,6,11,66.32,103.56,144.68,0.6462113349,0.5746889446,0.3897323607,4,5,7,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2820,75.24648425,92.32705831,97.95581247,3,6,11,66.76,104.64,144.64,0.7593756407,0.5786655014,0.3963554178,4,5,7,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2826,75.22129146,92.30604316,97.97150455,3,6,11,65.32,109.64,145.2376836,0.8316248474,0.6622235245,0.3792899292,4,6,7,-1,0,4,98,7,,,,,0.65,,,,,,,,0.75
2832,75.17671626,92.29466457,97.97676849,3,6,11,67.16,110.64,145.84,0.6721893061,0.5551894024,0.3925128067,4,6,7,-1,0,4,98,7,,,,,0.65,,,,,,,,0.75
2838,75.06223151,92.2474172,97.98129389,3,6,11,67.44,106.84,146.56,0.8263552995,0.5612382375,0.3526178171,4,5,7,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2844,75.04316584,92.21822212,97.98679038,3,6,11,66.52,106.84,147.44,0.779382769,0.6027710783,0.3387861328,4,5,7,-1,1,4,98,7,,,,,0.65,,,,,,,,0.75
2850,74.97502286,92.18418968,97.99152009,3,6,11,66.2,109.48,146.88,0.8360804477,0.5377032878,0.3879779966,4,6,7,-1,0,4,98,7,,,,,0.65,,,,,,,,0.75
