,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,0.75
186,49.01334881,67.10481524,92.32495238,1,3,5,21.88,52.16,92.24,0.9990887267,0.7017354958,0.6065732424,2,4,5,-1,-1,0,98,7,1022,1022,181,<98,0.65,,,,,,,,0.75
192,47.32195373,67.05496497,92.85175866,2,3,5,22.51506667,56,97.88,0.993291063,0.5696007691,0.5784904362,3,4,5,-1,-1,0,98,7,0,0,841,>98,0.65,,,,,,,,0.75
198,47.04297719,66.82660225,93.12176549,2,3,5,26.06170333,55.92,101.8,0.6487132004,0.6465865354,0.4982834982,3,4,5,-1,-1,0,98,7,0,0,82.3,,0.65,,,,,,,,0.75
204,46.9519367,67.05532376,93.50356983,2,3,5,27.98888889,55.6,103.56,0.6368970718,0.6212274847,0.5846013459,3,4,5,-1,-1,0,98,7,Loss,,,,0.65,,,,,,,,0.75
210,46.16363918,66.83738861,93.13795153,2,3,8,32.824776,56.72,104.80564,0.7513319606,0.6822138623,0.5229037089,4,4,5,-2,-1,3,98,7,40,9,0,support,0.65,,,,,,,,0.75
216,46.97295719,66.45145375,93.41265582,2,3,8,37.41672533,51.72,104.5274967,0.5681163801,0.5316648152,0.5362506319,4,4,5,-2,-1,3,98,7,49,20,0,recovery,0.65,,,,,,,,0.75
222,46.93872217,66.0903988,93.66719916,2,3,8,39.52,50.08,108.55238,0.6417706055,0.4658015156,0.5772759256,4,4,5,-2,-1,3,98,7,41,11,0,bendras,0.65,,,,,,,,0.75
228,46.64305585,66.26577562,94.03829619,2,3,8,40.32,51.56,109.0339227,0.8500619429,0.6416218527,0.5743139754,4,4,5,-2,-1,3,98,7,58132.00546,87590.89239,96753.71441,,0.65,,,,,,,,0.75
234,46.66700028,66.61610671,94.17747918,2,3,10,40.44,52.32,114.3139613,0.7148486978,0.6416218527,0.5166323089,4,4,6,-2,-1,4,98,7,9079.810945,14213.47395,17750.81968,,0.65,,,,,,,,0.75
240,46.3648565,66.38873183,94.36919961,2,3,10,39.84,55.8,121.1864533,0.8227636193,0.6051459373,0.5092960799,4,4,6,-2,-1,4,98,7,67211.8164,101688.8063,114360.0541,,0.65,,,,,,,,0.75
246,47.18685279,65.94895463,94.68092377,2,3,10,40.04,58.08,124.2431617,0.7134197094,0.7416068336,0.5198544922,4,4,6,-2,-1,4,98,7,1.55,1.461538462,1.59,,0.65,,,,,,,,0.75
252,47.05258715,66.18569183,94.96362748,2,4,10,41.4,58.88725333,127.238224,0.8116422742,0.6519250174,0.4599830845,4,4,6,-2,0,4,98,7,1.490196078,1.5625,1.45,,0.65,,,,,,,,0.75
258,46.98251908,65.6274385,95.25741465,2,4,10,40.68,58.30282,128.5927067,0.7088052011,0.6632965626,0.4270462867,4,4,6,-2,0,4,98,7,1.525423729,1.471910112,1.56,,0.65,,,,,,,,0.75
264,46.91307622,65.98320491,95.46200495,2,4,10,40.88,60.51811867,133.24,0.4350684525,0.5504091818,0.4491520338,4,4,6,-2,0,4,98,7,,,,,0.65,,,,,,,,0.75
270,46.87457241,66.14115742,95.67868156,2,4,10,42.04,63.29786667,135.44,0.80847301,0.5983957095,0.4240795403,4,5,7,-2,-1,3,98,7,, ,,,0.65,,,,,,,,0.75
276,47.14104996,66.22922903,95.86226449,2,4,10,40.96,68.71599467,136.2,0.7034292968,0.6261382778,0.4081348411,4,5,7,-2,-1,3,98,7,,,,,0.65,,,,,,,,0.75
282,47.03107131,66.49385049,96.03416119,2,4,10,40.04,76.04,136.8,0.6600246622,0.6261382778,0.3868998279,4,5,7,-2,-1,3,98,7,,,,,0.65,,,,,,,,0.75
288,46.94715249,66.55616724,96.23023017,2,4,10,38.36,76.68,139.72,0.7076031932,0.5174045982,0.4012677222,4,5,7,-2,-1,3,98,7,,,,,0.65,,,,,,,,0.75
