,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,145.72,146.64,146.04,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,5310,5349,5331,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75,73,76
168,99.96488764,99.89235737,99.96233522,1,1,1,27.84,27.6,26.96,4.27E-01,7.25E-01,5.03E-01,2,2,2,-1,-1,-1,98,7,210,45,0,Over,0.65,,37.13964637,1,20.54989333,37.13964637,3,2,0.75,,
174,99.96668887,99.89795918,99.78448276,1,1,1,28.8,28.32,26.72,7.38E-01,5.44E-01,6.34E-01,2,2,2,-1,-1,-1,98,7,-63,-15,0,Under,0.65,,44.40998062,9,26.40437667,44.40998062,3,-6,0.75,,
180,99.96832436,99.90325701,99.79529171,1,1,1,29.32,29.08,27.2,7.78E-01,7.60E-01,6.22E-01,2,2,2,-1,-1,-1,98,7,719,25,0,<98,0.65,,52.03817525,9,39.65248778,52.03817525,4,-5,0.75,,
186,99.96983409,99.91217799,99.80487805,1,1,1,30.16,30.96,27.48,5.36E-01,7.98E-01,5.15E-01,2,2,2,-1,-1,-1,98,7,303,997,1022,>98,0.65,,57.49177582,9,48.45171867,57.49177582,4,-5,0.75,,
192,99.97121474,99.91606044,99.72127594,1,2,1,30.8,31.48048,28.52,8.13E-01,8.29E-01,8.75E-01,2,2,2,-1,0,-1,98,7,29.7,97.6,100,,0.65,,61.33903203,9,56.90918533,61.33903203,5,-4,0.75,,
198,99.94720169,99.34331614,99.71687429,1,2,1,31.56,31.12437333,29.96,6.30E-01,5.44E-01,8.75E-01,2,2,2,-1,0,-1,98,7,Loss,,,,0.65,,63.66560535,9,61.4008401,63.66560535,5,-4,0.75,,
204,99.94945666,99.37886346,99.67400163,1,2,1,32.16,32.20909333,30.04,8.52E-01,4.88E-01,5.81E-01,2,2,2,-1,0,-1,98,7,1,0,0,support,0.65,,64.46959979,9,48.72,64.46959979,4,-5,0.75,,
210,99.92723745,99.41025924,99.66092853,1,2,1,32.4,33.13498667,30.56,9.15E-01,4.63E-01,9.36E-01,2,2,2,-1,0,-1,98,7,5,1,0,recovery,0.65,,64.53878925,9,33.8,64.53878925,3,-6,0.75,,
216,99.90649836,99.53035341,99.6481528,1,2,1,32.28,33.29756533,30.16,9.15E-01,5.51E-01,9.36E-01,2,2,2,-1,0,-1,98,7,2,0,0,bendras,0.65,,64.62066306,9,17.72,64.62066306,2,-7,0.75,,
222,99.82477541,99.54202173,99.38414903,2,2,3,34.0588,38.4,31.14515333,6.12E-01,5.20E-01,5.12E-01,2,2,2,0,0,1,98,7,90480.05312,91806.61147,90964.07232,,0.65,,64.43839527,9,6.72,64.43839527,1,-8,0.75,,
228,99.70342868,99.55499775,99.4002216,2,2,3,31.70311111,38.6,30.19667333,5.47E-01,5.33E-01,5.11E-01,2,2,2,0,0,1,98,7,16357.10589,16952.47799,17199.37071,,0.65,,64.41178796,9,0.36,64.41178796,1,-8,0.75,,
234,99.76223035,99.569112,99.48940002,2,2,3,34.45436,39.84,33.72903667,6.66E-01,5.87E-01,5.35E-01,2,2,2,0,0,1,98,7,106837.159,108618.4586,108019.123,,0.65,,64.30029193,9,0,64.30029193,0,-9,0.75,,
240,99.76791553,99.58393787,99.50856017,2,2,3,36.79886133,40.72,36.32344,6.02E-01,5.66E-01,4.86E-01,2,2,2,0,0,1,98,7,1.050505051,1.09,1.1,,0.65,,64.30723001,9,0,64.30723001,0,-9,0.75,,
246,99.77446397,99.57902051,99.52754447,2,2,3,40.28,41.28,39.78212933,6.23E-01,5.66E-01,4.45E-01,2,2,2,0,0,1,98,7,0.9894736842,1,1.01,,0.65,,64.60626218,9,2.16,64.60626218,1,-8,0.75,,
