,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,145.72,146.64,146.04,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,5310,5349,5331,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75,73,76
6588,97.7108068,98.72765031,98.16171343,7,7,7,142.68,144.84,141.84,4.85E-01,4.92E-01,5.26E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62249236,21,0.4492262021,99.62249236,1,-20,0.85,,
6594,97.71496579,98.73000215,98.16729608,7,7,7,143.81,144.434256,142.9239608,5.40E-01,5.91E-01,6.16E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62292569,21,22.52080533,99.62292569,1,-20,0.85,,
6600,97.71252965,98.73178647,98.17025924,7,7,7,141.72,145.2,142.76,5.50E-01,5.35E-01,5.70E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62372595,21,56.63154933,99.62372595,3,-18,0.85,,
6606,97.7144242,98.73351457,98.17153736,7,7,7,142.88,143.08,143.28,5.12E-01,5.55E-01,5.09E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62449643,21,90.61205867,99.62449643,4,-17,0.85,,
6612,97.71056206,98.73478368,98.1740239,7,7,7,140.12,143.32,142.96,4.81E-01,5.90E-01,5.78E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62529387,20,125.2919908,99.62529387,6,-14,0.85,,
6618,97.71458427,98.73638059,98.17730953,7,7,7,139.8,143.3253999,142.92,6.10E-01,5.26E-01,5.64E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62598331,20,150.6369267,99.62598331,7,-13,0.85,,
6624,97.71867701,98.73865926,98.17936978,7,7,7,140.76,143.64,142.04,5.54E-01,5.63E-01,5.67E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62677946,20,150.92,99.62677946,7,-13,0.85,,
6630,97.72116262,98.74062446,98.18141124,7,7,7,141.36,144.92,140.88,5.60E-01,5.60E-01,5.20E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62748422,20,148.44,99.62748422,7,-13,0.85,,
6636,97.72357946,98.74199246,98.18292002,7,7,7,143.96,145.36,142.52,5.05E-01,5.33E-01,5.31E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62791038,20,134.52,99.62791038,6,-14,0.85,,
6642,97.72741879,98.74327066,98.18583504,7,7,7,144.36,144.24,142.52,5.59E-01,5.80E-01,5.89E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62866814,20,115.2,99.62866814,6,-14,0.85,,
6648,97.73158201,98.74443191,98.18997742,7,7,7,143.56,144.56,142.52,5.06E-01,5.09E-01,5.76E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62897641,20,96.4,99.62897641,5,-15,0.85,,
6654,97.73568281,98.74499976,98.1917673,7,7,7,144.44,143.16,143.96,5.52E-01,5.14E-01,5.44E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62935382,20,78.96,99.62935382,4,-16,0.85,,
6660,97.73821124,98.74696035,98.1946429,7,7,7,144.88,143.52,143.64,5.51E-01,5.33E-01,5.41E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62965421,20,72.04,99.62965421,4,-16,0.85,,
6666,97.74210687,98.74847074,98.19434106,7,7,7,143.76,143.08,142.48,4.84E-01,5.25E-01,5.66E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62990728,20,68.2,99.62990728,3,-17,0.85,,
6672,97.74433725,98.75058488,98.19561115,7,7,7,144.08,142,142.84,5.16E-01,5.39E-01,5.77E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63010121,20,60.44,99.63010121,3,-17,0.85,,
6678,97.74775805,98.74824645,98.19986273,7,7,7,144.56,142.56,142.44,5.53E-01,4.73E-01,5.66E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63011663,20,46.92,99.63011663,3,-17,0.85,,
6684,97.75154378,98.75040002,98.20216369,7,7,7,143.68,142.32,143.04,5.77E-01,5.78E-01,5.50E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63010875,19,28.6,99.63010875,2,-17,0.85,,
6690,97.75398461,98.75226738,98.20497718,7,7,7,144.24,142.64,144.16,5.59E-01,5.38E-01,5.60E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63002982,19,14.36,99.63002982,1,-18,0.85,,
6696,97.75766928,98.75401589,98.20765545,7,7,7,144.4,143.84,143.92,4.89E-01,5.44E-01,5.60E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.62994313,19,4.8,99.62994313,1,-18,0.85,,
6702,97.76102864,98.75582402,98.20916287,7,7,7,144.4,144.04,143.84,5.64E-01,5.09E-01,4.97E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63035801,19,0.3320333333,99.63035801,1,-18,0.85,,
6708,97.76447705,98.75729071,98.2120483,7,7,7,145.16,144.04,143.8,5.30E-01,5.89E-01,5.12E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63035361,19,0,99.63035361,0,-19,0.85,,
6714,97.76833682,98.75937262,98.21374412,7,7,7,144.72,143.2,142.4,5.50E-01,5.85E-01,6.06E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63028893,19,0,99.63028893,0,-19,0.85,,
6720,97.7708041,98.76143069,98.21612582,7,7,7,144.04,143.32,141.64,5.53E-01,5.83E-01,6.29E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63031936,19,5.4,99.63031936,1,-18,0.85,,
6726,97.77463848,98.76297229,98.21517288,7,7,7,143.16,143.44,140.76,5.12E-01,5.17E-01,5.66E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63093771,18,37.68,99.63093771,2,-16,0.85,,
6732,97.77906656,98.76473288,98.21612837,7,7,7,143.88,144.04,141.52,5.27E-01,5.71E-01,5.48E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63166162,18,72.48,99.63166162,4,-14,0.85,,
6738,97.78147238,98.76615316,98.22002151,7,7,7,144.68,144.16,141.48,5.38E-01,5.07E-01,4.94E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63203694,18,89.88,99.63203694,4,-14,0.85,,
6744,97.78527413,98.76791181,98.2216263,7,7,7,144.72,143.64,141.12,5.62E-01,5.80E-01,5.91E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63221719,18,98.52,99.63221719,5,-13,0.85,,
6750,97.78777605,98.76975759,98.22339606,7,7,7,144.84,143.68,142.72,5.41E-01,5.35E-01,5.43E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63221587,18,71,99.63221587,4,-14,0.85,,
6756,97.79136796,98.77123238,98.22526254,7,7,7,144.4,143.8,142.68,5.13E-01,4.94E-01,5.56E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63212041,18,35.36,99.63212041,2,-16,0.85,,
6762,97.7950566,98.77330547,98.22428695,7,7,7,143.44,143.8,141.28,4.92E-01,5.61E-01,4.94E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63251954,18,15.16,99.63251954,1,-17,0.85,,
6768,97.79747977,98.77483377,98.22830387,7,7,7,143.76,144.44,141.84,5.43E-01,5.45E-01,5.56E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63253496,18,3.6,99.63253496,1,-17,0.85,,
6774,97.80117592,98.77664936,98.23078618,7,7,7,143.28,144.52,142.76,5.53E-01,5.26E-01,5.14E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63246297,18,0,99.63246297,0,-18,0.85,,
6780,97.80367837,98.77861676,98.23346295,7,7,7,144.28,143.24,143.32,5.57E-01,4.66E-01,5.17E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63238055,18,0,99.63238055,0,-18,0.85,,
6786,97.80733211,98.77941263,98.23595537,7,7,7,144.16,143.28,144.56,4.84E-01,5.23E-01,5.78E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63238478,18,0,99.63238478,0,-18,0.85,,
6792,97.81113934,98.78148587,98.23529236,7,7,7,143.68,143.2,144.2,5.08E-01,5.52E-01,5.52E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63233763,18,0,99.63233763,0,-18,0.85,,
6798,97.81358994,98.7829242,98.23838804,7,7,7,143.48,143.08,142.08,5.20E-01,5.74E-01,5.75E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63231469,17,0,99.63231469,0,-17,0.85,,
6804,97.81677582,98.78487098,98.24035457,7,7,7,142.24,143.96,142.84,5.29E-01,5.32E-01,5.96E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63223735,17,0,99.63223735,0,-17,0.85,,
6810,97.81926763,98.78619246,98.24155167,7,7,7,143.8,143.32,141.64,5.03E-01,4.61E-01,5.80E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63216797,17,0,99.63216797,0,-17,0.85,,
6816,97.82286068,98.787607,98.24359872,7,7,7,143.44,143.44,141.68,5.48E-01,4.79E-01,5.26E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63216893,17,0,99.63216893,0,-17,0.85,,
6822,97.82696243,98.78960869,98.24518167,7,7,7,143.24,142.88,142.44,4.66E-01,5.48E-01,4.95E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63254067,17,1.4,99.63254067,1,-16,0.85,,
6828,97.82930876,98.79105453,98.24924786,7,7,7,143.72,143.12,141,5.09E-01,5.63E-01,5.74E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63261217,17,5.8,99.63261217,1,-16,0.85,,
6834,97.83279192,98.79295976,98.25032748,7,7,7,141.56,142.92,141.48,4.75E-01,5.53E-01,5.98E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63259493,17,7.92,99.63259493,1,-16,0.85,,
6840,97.8348673,98.79486996,98.25289498,7,7,7,142.2,141.8,140.92,5.28E-01,5.32E-01,5.62E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63260025,16,11.2,99.63260025,1,-15,0.85,,
6846,97.83837476,98.79630579,98.25383787,7,7,7,141.16,142.44,141.08,4.99E-01,5.60E-01,4.90E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63280641,16,20.2,99.63280641,1,-15,0.85,,
6852,97.84138602,98.79824511,98.25541948,7,7,7,140.12,141.4,141.68,5.36E-01,5.52E-01,5.29E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.6331486,16,36.64,99.6331486,2,-14,0.85,,
6858,97.84380112,98.79964926,98.25938229,7,7,7,142,141.8,140.28,5.05E-01,4.73E-01,5.74E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63374566,16,64.56,99.63374566,3,-13,0.85,,
6864,97.84730488,98.80152775,98.26129073,7,7,7,142.28,140.92,141.16,4.57E-01,5.34E-01,5.75E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.634441,16,97.44,99.634441,5,-11,0.85,,
6870,97.84966192,98.80342491,98.26376739,7,7,7,141.56,141.56,140.36,5.14E-01,5.68E-01,5.08E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63511132,16,124.4,99.63511132,6,-10,0.85,,
6876,97.85292237,98.80477346,98.26563239,7,7,7,141.72,140.88,139.44,4.53E-01,5.52E-01,5.59E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63582498,16,140.48,99.63582498,7,-9,0.85,,
6882,97.8567095,98.80647134,98.26709364,7,7,7,140.52,139.92,139.36,5.61E-01,4.68E-01,5.20E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63689275,16,149,99.63689275,7,-9,0.85,,
6888,97.85898286,98.80785794,98.27112855,7,7,7,139.88,140.32,139.6,4.93E-01,4.27E-01,4.72E-01,7,7,7,0,0,0,98,7,,,,,0.65,,99.63759625,16,147.72,99.63759625,7,-9,0.85,,
6894,97.86242032,98.80964864,98.27313638,7,7,7,139.84,138.96,140.04,4.73E-01,5.53E-01,5.28E-01,7,6,7,0,1,0,98,7,,,,,0.65,,99.63818095,16,140.6,99.63818095,7,-9,0.85,,
6900,97.86439762,98.81096692,98.27548749,7,7,7,139.2,138.52,139.84,5.04E-01,5.01E-01,5.19E-01,7,6,7,0,1,0,98,7,,,,,0.65,,99.63854478,16,126.52,99.63854478,6,-10,0.85,,
6906,97.86762373,98.81233226,98.27766656,7,7,7,138.48,138.64,138.84,5.08E-01,4.74E-01,5.43E-01,7,6,7,0,1,0,98,7,,,,,0.65,,99.63862647,16,93.92,99.63862647,5,-11,0.85,,
6912,97.87123287,98.81413251,98.279124,7,7,7,137.64,137,137.88,5.36E-01,5.05E-01,4.96E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.63856199,16,59.08,99.63856199,3,-13,0.85,,
6918,97.8734882,98.81547861,98.28306385,7,7,7,137.72,136.16,137.22,5.39E-01,5.13E-01,4.84E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.63868043,16,34.6,99.63868043,2,-14,0.85,,
6924,97.87681633,98.81725116,98.28486854,7,7,7,138,137.4,137.36,5.08E-01,5.56E-01,5.23E-01,7,6,6,0,1,1,98,7,,,,,0.65,,99.63899685,16,31.24,99.63899685,2,-14,0.85,,
6930,97.87897927,98.81882806,98.28721017,7,7,7,136.88,136.04,136.24,5.09E-01,5.30E-01,5.02E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.63951071,16,53.84,99.63951071,3,-13,0.85,,
6936,97.88228637,98.82013962,98.28931614,7,7,7,136.68,136.24,136.04,4.80E-01,5.49E-01,5.08E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64012435,16,87.52,99.64012435,4,-12,0.85,,
6942,97.88575407,98.82195123,98.29061389,7,7,7,136.16,136.16,135.28,5.29E-01,4.25E-01,5.08E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64111732,16,116.24,99.64111732,6,-10,0.85,,
6948,97.88797713,98.82325104,98.29445114,7,7,7,136.36,135.56,135.36,5.05E-01,4.51E-01,5.08E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64179694,15,133.76,99.64179694,6,-9,0.85,,
6954,97.89116049,98.82492658,98.29621948,7,7,7,135.6,135.92,135.16,5.02E-01,5.43E-01,5.42E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64245601,15,139.64,99.64245601,7,-8,0.85,,
6960,97.8933567,98.82661591,98.29841131,7,7,7,135.2,134.6,134.84,4.61E-01,5.20E-01,5.28E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64306851,15,142.2,99.64306851,7,-8,0.85,,
6966,97.89652608,98.8277342,98.3004693,7,7,7,134.56,134.16,134.16,4.10E-01,4.94E-01,4.58E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64372102,15,141.32,99.64372102,7,-8,0.85,,
6972,97.8998754,98.82948692,98.3018827,7,7,7,133.88,134,133.64,4.95E-01,4.33E-01,4.81E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64425002,15,138.1979364,99.64425002,7,-8,0.85,,
6978,97.90196525,98.83107597,98.30560712,7,7,7,133.92,133.16,133.64,5.15E-01,3.99E-01,4.45E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64473417,15,126.24,99.64473417,6,-9,0.85,,
6984,97.90509729,98.83238974,98.30725108,7,7,7,133.24,133.36,132.24,4.84E-01,5.30E-01,5.43E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64499183,15,106.76,99.64499183,5,-10,0.85,,
6990,97.90714878,98.83382321,98.30947918,7,7,7,132.8,131.76,132.56,4.51E-01,5.22E-01,5.25E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64497975,15,79.12,99.64497975,4,-11,0.85,,
6996,97.9102365,98.83489072,98.31079917,7,7,7,131.72,130.76,132.24,4.36E-01,5.12E-01,4.58E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64499297,15,47.3204961,99.64499297,3,-12,0.85,,
7002,97.91341638,98.83656702,98.31210077,7,7,7,130.68,129.96,130.16,5.02E-01,4.87E-01,5.03E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64535498,15,21.56,99.64535498,1,-14,0.85,,
7008,97.91555003,98.83809906,98.31552563,7,7,7,130.12,128.44,129.52,4.90E-01,4.10E-01,4.70E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64530102,15,3.6,99.64530102,1,-14,0.85,,
7014,97.91851146,98.83933428,98.3172876,7,7,7,130.24,128.96,129.16,4.66E-01,5.06E-01,4.77E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64524027,15,0,99.64524027,0,-15,0.85,,
7020,97.92069689,98.84091026,98.31934505,7,7,7,130.16,128.4,129.56,4.83E-01,5.04E-01,4.62E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64517843,14,0,99.64517843,0,-14,0.85,,
7026,97.9235953,98.84208333,98.3212061,7,7,7,129.12,127.76,129.0335079,4.77E-01,4.15E-01,4.83E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64519505,14,0.44,99.64519505,1,-13,0.85,,
7032,97.9266739,98.84373155,98.3225409,7,7,7,128.72,127.68,128.64,4.44E-01,4.64E-01,4.57E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.645226,14,3.479547003,99.645226,1,-13,0.85,,
7038,97.92877142,98.8452349,98.32603381,7,7,7,128.92,126.88,128.12,4.76E-01,5.13E-01,4.53E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64538536,14,16.52,99.64538536,1,-13,0.85,,
7044,97.93156427,98.84483824,98.32775418,7,7,7,127.32,127.6,127.76,4.33E-01,4.52E-01,4.79E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.6458536,14,42.52,99.6458536,2,-12,0.85,,
7050,97.93347981,98.84624278,98.32968251,7,7,7,126.8,124.72,126.6063815,4.48E-01,4.38E-01,4.91E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64646029,14,77.36,99.64646029,4,-10,0.85,,
7056,97.93633691,98.84738274,98.33144139,7,7,7,126.84,123.48,126.12,4.69E-01,4.87E-01,4.51E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64713124,14,112.52,99.64713124,5,-9,0.85,,
7062,97.93897609,98.84902585,98.33278697,7,7,7,125.36,124.4,125.76,4.91E-01,4.98E-01,4.46E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64819148,13,138.28,99.64819148,7,-6,0.85,,
7068,97.94082432,98.85052097,98.33617458,7,7,7,121.34,123.36,124.76,4.57E-01,4.41E-01,4.61E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64886605,13,148.52,99.64886605,7,-6,0.85,,
7074,97.94342985,98.85135142,98.3378256,7,7,7,122.44,122.32,124.76,3.97E-01,4.31E-01,4.21E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.64953441,13,150.76,99.64953441,7,-6,0.85,,
7080,97.94538396,98.85265914,98.3396644,7,7,7,122.84,122.08,123.56,4.35E-01,4.41E-01,4.63E-01,6,6,6,1,1,1,98,7,,,,,0.65,,99.6501932,13,149.92,99.6501932,7,-6,0.85,,
7086,97.94799283,98.8537508,98.34137664,6,6,7,122.28,120.76,122.76,4.91E-01,5.48E-01,4.86E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.65080313,13,149.04,99.65080313,7,-6,0.85,,
7092,97.95097398,98.85537802,98.34266976,6,6,7,121.88,121.56,122.84,5.59E-01,4.51E-01,4.58E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.65150521,13,150.56,99.65150521,7,-6,0.85,,
7098,97.95280817,98.85681356,98.3458452,6,6,7,120.92,120.8,122.04,5.19E-01,4.53E-01,4.57E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.6520377,13,143.28,99.6520377,7,-6,0.85,,
7104,97.95530322,98.8579604,98.34744349,6,6,7,120.52,120.76,120.88,4.91E-01,5.08E-01,4.00E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.65209003,13,113.4,99.65209003,5,-8,0.85,,
7110,97.95715803,98.85920254,98.34918819,6,6,7,120.16,120.88,120,4.92E-01,4.78E-01,3.98E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.6520821,13,78.32,99.6520821,4,-9,0.85,,
7116,97.95988411,98.86055125,98.35084376,6,6,7,119.76,117.92,118.64,4.88E-01,4.78E-01,4.35E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.65207328,13,45.16,99.65207328,2,-11,0.85,,
7122,97.96266485,98.86178961,98.35207757,6,6,7,118.2,118.72,118.92,4.52E-01,5.28E-01,4.66E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.65259608,13,19.92,99.65259608,1,-12,0.85,,
7128,97.96445097,98.86317164,98.35538595,6,6,7,117.2,116.8,118.2,5.06E-01,4.84E-01,4.34E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.65271572,13,22.16,99.65271572,1,-12,0.85,,
7134,97.96684786,98.86426447,98.35671314,6,6,7,116.68,116.48,117.6,4.95E-01,4.93E-01,4.60E-01,6,6,6,0,0,1,98,7,,,,,0.65,,99.65284095,13,30.6,99.65284095,2,-11,0.85,,
7140,97.96857756,98.86544216,98.358356,6,6,7,116.44,115.92,116.84,5.39E-01,4.84E-01,4.33E-01,6,5,6,0,1,1,98,7,,,,,0.65,,99.65300768,12,37.44,99.65300768,2,-10,0.85,,
7146,97.9711264,98.8667352,98.35992841,6,6,7,115.6,114.2,115.68,4.71E-01,5.04E-01,4.22E-01,6,5,6,0,1,1,98,7,,,,,0.65,,99.65312293,12,38.01,99.65312293,2,-10,0.85,,
7152,97.97380778,98.86790626,98.36114796,6,6,7,114.12,114.08,116.24,4.67E-01,4.80E-01,4.35E-01,5,5,6,1,1,1,98,7,,,,,0.65,,99.65326968,12,37.36,99.65326968,2,-10,0.85,,
7158,97.9755882,98.86924553,98.36434092,6,6,7,114.8,112.76,114.36,4.46E-01,4.72E-01,4.14E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65326395,12,30.96,99.65326395,2,-10,0.85,,
7164,97.97782036,98.87028204,98.36555019,6,6,7,112.24,113,114.36,4.82E-01,4.67E-01,4.13E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65324982,12,24.12,99.65324982,2,-10,0.85,,
7170,97.97949576,98.87148234,98.36720764,6,6,7,111,113.28,113.32,4.82E-01,4.98E-01,4.60E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65339693,12,24.48,99.65339693,2,-10,0.85,,
7176,97.98193188,98.87275126,98.36870546,6,6,7,110.84,113.08,112.36,4.65E-01,4.57E-01,4.23E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65379188,12,41.6,99.65379188,2,-10,0.85,,
7182,97.98448595,98.87384444,98.36985419,6,6,7,108.92,111.8,112.64,4.74E-01,4.66E-01,4.33E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65480762,11,74,99.65480762,4,-7,0.85,,
7188,97.98617504,98.87511097,98.37290446,6,6,7,109.96,110.72,110.52,4.72E-01,4.53E-01,4.14E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.6554771,11,108.96,99.6554771,5,-6,0.85,,
7194,97.98833067,98.87609225,98.37404943,6,6,7,108.84,109.4,109.2,5.01E-01,4.96E-01,4.08E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65608665,11,136.56,99.65608665,6,-5,0.85,,
7200,97.98990741,98.87718162,98.375607,6,6,7,107.76,108.08,108.96,4.85E-01,4.83E-01,4.22E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65669756,11,148.64,99.65669756,7,-4,0.85,,
7206,97.99220429,98.87840275,98.37701964,6,6,7,105.8,106.84,108.08,4.31E-01,4.77E-01,3.98E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65727226,11,150.52,99.65727226,7,-4,0.85,,
7212,97.99463827,98.87944401,98.37808611,6,6,7,105.28,105.12,108,4.84E-01,4.91E-01,4.16E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65796,11,150.04,99.65796,7,-4,0.85,,
7218,97.99625021,98.88067848,98.38096528,6,6,7,105.68,105.56,105.4,4.55E-01,4.81E-01,3.83E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65832027,11,134.88,99.65832027,6,-5,0.85,,
7224,97.99824508,98.88157659,98.38206185,6,6,7,104.16,104,105.08,4.04E-01,4.04E-01,3.63E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.6582766,11,99.32,99.6582766,5,-6,0.85,,
7230,97.99983593,98.88264486,98.38355947,6,6,7,103.92,104.68,103.8,4.55E-01,4.36E-01,4.03E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65828069,11,63.95928009,99.65828069,3,-8,0.85,,
7236,98.00186196,98.88375587,98.38488062,6,6,7,102.28,102.88,103.4,4.53E-01,4.20E-01,3.68E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65820024,11,28.12,99.65820024,2,-9,0.85,,
7242,98.00364247,98.88484801,98.38591428,6,6,7,99.32,103.84,103.64,4.51E-01,4.37E-01,4.11E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65856464,11,0.92,99.65856464,1,-10,0.85,,
7248,98.00510042,98.88582356,98.38875942,6,6,7,97.84,99.72,102.84,3.84E-01,4.20E-01,3.69E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65851036,11,0,99.65851036,0,-11,0.85,,
7254,98.00717613,98.88674302,98.39018144,6,6,7,98.04,98,101.32,4.00E-01,4.08E-01,4.00E-01,5,5,5,1,1,2,98,7,,,,,0.65,,99.65846206,11,0,99.65846206,0,-11,0.85,,
7260,98.00859131,98.88772271,98.39122429,5,6,7,99.36,98.32,101.8,5.22E-01,3.90E-01,3.71E-01,5,5,5,0,1,2,98,7,,,,,0.65,,99.65855528,10,7.88,99.65855528,1,-9,0.85,,
7266,98.01112384,98.88893504,98.39247283,5,6,7,98.32,96.36,100.12,4.49E-01,3.87E-01,3.37E-01,5,5,5,0,1,2,98,7,,,,,0.65,,99.65906147,10,38.56,99.65906147,2,-8,0.85,,
7272,98.01269667,98.88984442,98.39344816,5,5,7,97,95.68,99.84,5.04E-01,5.27E-01,3.97E-01,5,5,5,0,0,2,98,7,,,,,0.65,,99.65974784,10,81.44,99.65974784,4,-6,0.85,,
7278,98.01418547,98.89076725,98.39620606,5,5,7,96.4,95.8,100.04,4.10E-01,4.74E-01,3.73E-01,5,5,5,0,0,2,98,7,,,,,0.65,,99.66035131,10,114.76,99.66035131,6,-4,0.85,,
7284,98.0161187,98.89157775,98.39745823,5,5,7,94.84,94.68,95.64,4.31E-01,5.22E-01,3.59E-01,5,5,5,0,0,2,98,7,,,,,0.65,,99.66091243,10,145.56,99.66091243,7,-3,0.85,,
7290,98.01753955,98.89254851,98.39835496,5,5,7,94.8,94.4,95.08,4.39E-01,4.80E-01,3.41E-01,5,5,5,0,0,2,98,7,,,,,0.65,,99.66152434,10,149.56,99.66152434,7,-3,0.85,,
7296,98.01984532,98.89370219,98.39960144,5,5,7,94,92.8,95.16,4.25E-01,4.89E-01,3.00E-01,5,4,5,0,1,2,98,7,,,,,0.65,,99.66214838,10,150,99.66214838,7,-3,0.85,,
7302,98.02143696,98.89454492,98.4004653,5,5,7,93.24,91.56,94.82,4.85E-01,4.97E-01,3.62E-01,5,4,5,0,1,2,98,7,,,,,0.65,,99.66301999,9,141.8,99.66301999,7,-2,0.85,,
7308,98.02277788,98.89536978,98.40300497,5,5,6,93.8,90.88,92.4,4.88E-01,4.58E-01,4.01E-01,5,4,5,0,1,1,98,7,,,,,0.65,,99.66330996,9,124.32,99.66330996,6,-3,0.85,,
