,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,9468,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,#REF!,#REF!,0.75,73,76
0,100,100,100,1,1,1,0.5214994444,0.4640011111,1.621762222,8.59E-04,0.01709379224,0.003104181753,1,1,1,0,0,0,97,7,Palaikyti,3092,,,0.65,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.75,,
6,100,100,100,1,1,1,1.231896667,1.199546667,2.831817778,6.69E-04,0.01709379224,0.002722513039,1,1,1,0,0,0,97,7,1402,10443,8097,eta,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
12,100,100,100,1,1,1,2.261738889,3.234207778,4.370722222,3.52E-02,0.01441343813,0.08054582526,1,1,1,0,0,0,97,7,716,1068,9501,divTotal,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
18,100,100,100,1,1,1,3.655833333,4.83115,7.556504444,1.12E-01,0.01824618962,0.06839106045,1,1,1,0,0,0,97,7,-466,-833,0,DivUnder,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
24,100,100,100,1,1,1,5.411136111,6.811658333,10.02769389,1.30E-01,0.1147099297,0.2480282751,1,1,1,0,0,0,97,7,250,235,9501,DivOver,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
30,100,100,100,1,1,1,8.839160556,9.198004444,12.85689778,1.46E-01,0.2330705813,0.2979830962,1,1,1,0,0,0,97,7,1186,9845,17598,Total,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
36,100,100,100,1,1,1,11.49856278,13.21916667,15.725,1.35E-01,0.2613776124,0.2683057943,1,1,1,0,0,0,97,7,0.85,0.94,2.17,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
42,100,100,100,1,1,1,14.53621778,16.39984,19.42857143,3.83E-01,0.2376372884,0.5332856495,1,1,1,0,0,0,97,7,Atstatyti,798,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
48,100,99.53153571,100,1,1,1,17.2,19.15,22.375,4.58E-01,0.2376372884,0.6229893207,1,1,1,0,0,0,97,7,321,1569,1371,eta,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
54,100,92.63224277,100,1,1,1,19.475,21.225,23.9,4.16E-01,0.577162762,0.5600834731,1,1,1,0,0,0,97,7,116,215,1064,divTotal,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
