-6,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,
174,38.34883928,91.12400451,86.44158864,2,20,14,42,130,133.92,0.759495936,2.12E-01,0.2975519751,5,7,7,-3,13,7,98,7,-1426,-17,-30,Under,0.65,,,,,,,,0.75
180,38.76162935,91.84694644,87.40735173,2,20,14,42.64,137.88,140.6,0.5866044867,2.14E-01,0.3236767395,5,7,7,-3,13,7,98,7,1022,0,31,<98,0.65,,,,,,,,0.75
186,39.12708452,92.37758579,88.23847924,2,20,14,41.48,143.16,143.8,0.7768495294,2.38E-01,0.3140958303,5,7,7,-3,13,7,98,7,0,1022,991,>98,0.65,,,,,,,,0.75
192,39.64117324,92.83548055,88.8847894,2,20,14,41.68,146.4,145.2,0.6668790676,2.52E-01,0.3493336215,5,7,7,-3,13,7,98,7,0,100,97,,0.65,,,,,,,,0.75
198,39.42471801,93.23071828,89.46887973,2,20,14,40.4,144.28,144.28,0.6004913445,2.53E-01,0.3225884536,5,7,7,-3,13,7,98,7,Loss,,,,0.65,,,,,,,,0.7
204,40.61198062,93.64609883,90.02152366,2,20,14,38.52,142.24,138.2,0.6716267167,2.61E-01,0.3269214358,5,7,7,-3,13,7,98,7,37,0,0,support,0.65,,,,,,,,0.7
210,40.78627235,93.90265631,90.44738497,2,20,14,37.83845772,135.32,130.68,0.7011098421,2.38E-01,0.3254395775,4,7,7,-2,13,7,98,7,44,1,0,recovery,0.65,,,,,,,,0.7
216,41.21514612,94.12306626,90.71725318,2,20,14,38.28,124.88,115.88,0.7673929043,2.25E-01,0.2700683394,4,6,6,-2,14,8,98,7,38,0,0,bendras,0.65,,,,,,,,0.7
222,41.53373059,94.27872478,90.93170994,2,20,14,40.36109333,109.96,101.56,0.6925589456,1.97E-01,0.247486859,5,5,5,-3,15,9,98,7,58105.42241,92473.04908,91384.62912,,0.65,,,,,,,,0.7
228,43.0646653,94.38594413,91.05371031,3,20,14,42.14956,93.08,81.28,0.6427541751,1.78E-01,0.1943279584,5,5,4,-2,15,10,98,7,9880.385589,17600.36701,17775.6572,,0.65,,,,,,,,0.7
234,45.33457649,94.49653824,91.16842424,3,19,14,42.06923994,70.8,59.48,0.5082359602,1.36E-01,0.1579434863,4,4,3,-1,15,11,98,7,67985.808,109945.2161,109032.6063,,0.65,,,,,,,,0.7
240,46.05329313,94.52454265,91.235147,3,19,14,35.07854,50.92,40.96,0.4560746827,1.02E-01,0.1028138915,4,3,2,-1,16,12,98,7,1.222222222,2.31,1.6,,0.65,,,,,,,,0.7
246,46.16258512,94.50460875,91.21064796,3,19,14,26.67701333,30.04,23.32,0.5117898924,7.89E-02,0.06984906834,3,2,2,0,17,12,98,7,1.142857143,3.070707071,2.65,,0.65,,,,,,,,0.7
252,46.98503947,94.52771045,91.29897579,3,19,14,22.88,19.88,19.8,0.3571163311,5.54E-02,0.05669986605,3,1,1,0,18,13,98,7,1.209677419,2.43,1.77,,0.65,,,,,,,,0.7
258,49.29603333,94.59778008,91.41805049,3,19,14,24.36,21.56,26.24,0.3390932457,3.26E-02,0.0394776899,3,1,2,0,18,12,98,7,,,,,0.65,,,,,,,,0.7
264,51.66650991,94.74515426,91.65803802,3,19,14,34.72,32.8,43.48,0.2244670106,4.89E-02,0.07290009046,3,2,3,0,17,11,98,7,,,,,0.65,,,,,,,,0.7
