,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,1,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,,73,76
150,59.57861013,83.06306903,84.03999966,2,7,4,10.42777778,49.9,50.075,5.81E-01,0.2743077742,0.4073999124,1,3,3,1,4,1,97,7,0,0,6945,Over,0.65,,35.94630516,1,19.48,35.94630516,3,2,0.75,,
156,60.17893754,84.43301941,84.79855811,1,7,4,11.55833333,49.9,50.175,6.18E-01,0.2411656429,0.4559512893,1,3,3,0,4,1,97,7,0,0,0,Under,0.65,,34.7601312,1,17.4,34.7601312,3,2,0.75,,
162,60.17844197,85.28417751,85.53231278,1,7,4,9.025,50.45,50.65,7.09E-01,0.245764687,0.4025584235,1,3,3,0,4,1,97,7,Below tgt,,,,0.65,,32.91128255,1,16.96,32.91128255,3,2,0.75,,
168,60.17798009,86.02068753,86.1989957,1,7,4,8.925,50.35,51.775,6.75E-01,0.2369941765,0.3863790735,1,3,3,0,4,1,97,7,315,352,3612,Over,0.65,,37.13964637,1,20.54989333,37.13964637,3,2,0.75,,
174,60.18003592,86.75622198,87.1784329,1,7,4,7.7,50.75,53.45,9.50E-01,0.2625228631,0.4721020018,1,3,3,0,4,1,97,7,-517,-931,-8,Under,0.65,,44.40998062,9,26.40437667,44.40998062,3,-6,0.75,,
180,60.69302996,87.54453788,87.74838125,2,7,4,7.725,53.125,54.8,4.25E-01,0.2708026039,0.4291856612,1,3,3,1,4,1,97,7,1022,1022,244,<98,0.65,,52.03817525,9,39.65248778,52.03817525,4,-5,0.75,,
186,59.13049636,88.46078279,88.35545897,1,7,4,7.125,55.075,56.375,3.24E-02,0.2414159353,0.3977220241,1,3,3,0,4,1,97,7,0,0,778,>98,0.65,,57.49177582,9,48.45171867,57.49177582,4,-5,0.75,,
192,53.82396742,89.01895682,88.86148062,1,7,4,5.38008286,56.7,60.1,1.11E-01,0.2526097561,0.4942818962,1,3,3,0,4,1,97,7,0,0,76.2,,0.65,,61.33903203,9,56.90918533,61.33903203,5,-4,0.75,,
198,53.5365746,89.53805162,89.34009976,2,7,4,4.258068526,58.425,62.95,6.55E-01,0.2893432909,0.5317985635,1,3,3,1,4,1,97,7,Loss,,,,0.65,,63.66560535,9,61.4008401,63.66560535,5,-4,0.75,,
204,54.19855459,90.07725265,90.0943263,2,6,4,7.254192053,61.73674095,66.425,6.07E-01,0.3014331746,0.5355515114,1,3,3,1,3,1,97,7,96,0,0,support,0.65,,64.46959979,9,48.72,64.46959979,4,-5,0.75,,
