,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,1,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,,73,76
4632,29.57971487,74.5763265,98.41755976,1,9,17,12.85740952,167.15,184.175,5.17E-01,0.7048924573,0.3673831224,2,10,8,-1,-1,9,97,7,,,,,0.65,,99.46096493,11,120.36,99.46096493,6,-5,0.6,,
4638,29.5893606,74.57589084,98.41965514,2,9,17,13.025,180.975,164.575,3.73E-01,0.6661647638,0.3775687817,2,10,7,0,-1,10,97,7,,,,,0.65,,99.46175369,11,101.36,99.46175369,5,-6,0.6,,
4644,29.61056132,74.56019145,98.42269058,2,9,17,13.35,183.8,169.9751723,4.15E-01,0.6813308568,0.3494877815,2,10,7,0,-1,10,97,7,,,,,0.65,,99.4625187,11,85.4,99.4625187,4,-7,0.6,,
4650,29.61437274,74.5931056,98.42427763,2,9,17,7.8,170.8,165.025,4.08E-01,0.7280506932,0.3388262361,2,10,7,0,-1,10,97,7,,,,,0.65,,99.46322173,11,73.24,99.46322173,4,-7,0.6,,
4656,29.61529892,74.61785322,98.42624992,2,9,17,7.05,171.3,162.625,5.40E-01,0.6892643485,0.3555985019,1,10,7,1,-1,10,97,7,,,,,0.65,,99.4637718,11,69.52,99.4637718,4,-7,0.6,,
4662,29.61685257,74.63335787,98.42761836,2,9,17,6.600925926,157.65,163.125,5.10E-01,0.6669509255,0.340330491,1,9,7,1,0,10,97,7,,,,,0.65,,99.4640845,11,61.51980322,99.4640845,3,-8,0.6,,
4668,29.61606416,74.64411487,98.42907331,2,9,17,4.12779746,165,168.1,6.52E-01,0.6584157291,0.3500377556,1,9,7,1,0,10,97,7,,,,,0.65,,99.4649499,11,49.8,99.4649499,3,-8,0.6,,
4674,29.62332951,74.65267443,98.43063704,2,9,17,2.233333333,156.419,168.8,7.53E-01,0.5940064349,0.3306932881,1,9,7,1,0,10,97,7,,,,,0.65,,99.46502628,11,35.68,99.46502628,2,-9,0.6,,
4680,29.62586095,74.55953794,98.43129961,1,9,17,0.3160990476,152.1839469,161.075,7.61E-01,0.6167535768,0.3240016571,1,9,7,0,0,10,97,7,,,,,0.65,,99.4648614,10,17.68,99.4648614,1,-9,0.6,,
4686,29.62839329,74.4666413,98.43344028,1,9,17,0.3597511111,164.475,166.975,8.52E-01,0.5692126404,0.360223259,1,9,7,0,0,10,97,7,,,,,0.65,,99.4647634,10,6.52,99.4647634,1,-9,0.6,,
4692,29.59518841,74.48927405,98.4346435,1,9,17,3.375,160.1,184.7,9.70E-01,0.6242051357,0.3511606152,1,9,8,0,0,9,97,7,,,,,0.65,,99.4646657,10,0.96,99.4646657,1,-9,0.6,,
4698,29.58191685,74.52359066,98.43678491,2,9,17,5.65,175.95,188.325,9.72E-01,0.6518457131,0.3607858713,1,10,8,1,-1,9,97,7,,,,,0.65,,99.46473029,10,0,99.46473029,0,-10,0.6,,
4704,29.5810976,74.55917618,98.43924388,1,9,17,6.128084444,187.575,188.425,8.11E-01,0.6723250996,0.3649230651,1,11,8,0,-2,9,97,7,,,,,0.65,,99.46474849,10,0,99.46474849,0,-10,0.6,,
4710,29.59980334,74.58584954,98.44123657,1,9,17,6.172284444,193.9,171.3,3.22E-04,0.7319893939,0.3944795967,1,11,8,0,-2,9,97,7,,,,,0.65,,99.46465125,10,3.12,99.46465125,1,-9,0.6,,
4716,29.61507592,74.61344788,98.44305439,2,9,17,6.81515735,188.6856839,181.725,4.23E-01,0.7224049393,0.4024502194,1,11,8,1,-2,9,97,7,,,,,0.65,,99.46583946,10,37.24,99.46583946,2,-8,0.6,,
4722,29.63315022,74.64625498,98.44504847,2,9,17,8.643059259,182.925,184.375,4.62E-01,0.7547526658,0.3761967235,2,10,8,0,-1,9,97,7,,,,,0.65,,99.46732988,9,68.12,99.46732988,3,-6,0.6,,
4728,29.55552476,74.67689457,98.44762811,2,9,17,11.60374815,183.3,174.55,5.76E-01,0.7431722594,0.4025967342,2,10,8,0,-1,9,97,7,,,,,0.65,,99.46869525,9,86.36,99.46869525,4,-5,0.6,,
4734,29.5506596,74.70722654,98.44917096,1,9,17,7.731117959,179.65,166.6,2.65E-01,0.6974470828,0.3692889639,2,10,7,-1,-1,10,97,7,,,,,0.65,,99.46930973,9,97.24,99.46930973,5,-4,0.6,,
4740,29.4738545,74.73257042,98.45068117,1,9,17,11.24882983,168.95,173.075,4.43E-01,0.7072399212,0.3539307746,2,10,8,-1,-1,9,97,7,,,,,0.65,,99.46940698,9,74.76,99.46940698,4,-5,0.6,,
4746,29.43413893,74.76099436,98.45243064,1,9,17,14.26244033,165.625,173.675,4.11E-01,0.6869903168,0.3615813718,2,9,8,-1,0,9,97,7,,,,,0.65,,99.46931014,9,41.2,99.46931014,2,-7,0.6,,
4752,29.45247261,74.7313732,98.45347906,1,9,17,12.45,175.075,158.8,6.96E-01,0.6382512527,0.3499533129,2,10,7,-1,-1,10,97,7,,,,,0.65,,99.46935155,9,18.36,99.46935155,1,-8,0.6,,
4758,29.47138831,74.73807626,98.4494642,2,9,17,11.825,168.85,158.375,4.48E-01,0.6986332074,0.3598558367,2,10,7,0,-1,10,97,7,,,,,0.65,,99.46929281,9,6.16,99.46929281,1,-8,0.6,,
4764,29.47118614,74.76889891,98.45046245,2,9,17,8.492551323,158.025,161.9,4.55E-01,0.600322924,0.3407697499,2,9,7,0,0,10,97,7,,,,,0.65,,99.46927021,9,0.36,99.46927021,1,-8,0.6,,
4770,29.47098417,74.7951763,98.45240074,3,9,17,7.12,160.8,169.225,7.08E-01,0.6251549233,0.3346510558,1,9,7,2,0,10,97,7,,,,,0.65,,99.46912292,9,0,99.46912292,0,-9,0.6,,
4776,29.46716523,74.82715397,98.45452456,2,9,17,6.70008,165.75,198.8,2.01E-01,0.5843912661,0.348963225,1,9,9,1,0,8,97,7,,,,,0.65,,99.46902228,9,0,99.46902228,0,-9,0.6,,
4782,29.4804165,74.84223066,98.45650488,2,9,17,7.002097778,168.4953168,189.875,3.11E-01,0.6280602507,0.3794104524,1,10,8,1,-1,9,97,7,,,,,0.65,,99.46904312,9,0,99.46904312,0,-9,0.6,,
4788,29.45258686,74.76568948,98.42379148,2,9,17,11.79917196,171.6099314,199.325,3.25E-01,0.6915424665,0.4121724801,2,10,9,0,-1,8,97,7,,,,,0.65,,99.46954949,9,0,99.46954949,0,-9,0.6,,
4794,29.52031726,74.61516423,98.42542369,3,9,17,13.96105789,189.675,199.625,6.21E-01,0.6570267721,0.4185378036,2,11,9,1,-2,8,97,7,,,,,0.65,,99.46953534,8,0,99.46953534,0,-8,0.6,,
4800,29.52510395,74.61889762,98.42735804,3,9,17,12.26118,203.775,189.4,7.84E-01,0.7103243772,0.4177435228,2,12,8,1,-3,9,97,7,,,,,0.65,,99.46941435,8,0,99.46941435,0,-8,0.6,,
4806,29.54633027,74.63548608,98.42897473,2,9,17,12.88399329,190.375,207.375,6.86E-01,0.6872705825,0.4196970362,2,11,9,0,-2,8,97,7,,,,,0.65,,99.46931842,8,0,99.46931842,0,-8,0.6,,
4812,29.60559488,74.65048284,98.4301428,2,9,17,11.82363699,187.4,205.95,6.35E-01,0.7907122286,0.4048646631,2,11,9,0,-2,8,97,7,,,,,0.65,,99.46936274,8,0.68,99.46936274,1,-7,0.6,,
4818,29.62099416,74.61335265,98.43017179,2,9,17,10.55288099,184.7520229,171.275,9.16E-01,0.756781651,0.4229949898,2,11,8,0,-2,9,97,7,,,,,0.65,,99.46944129,8,4.68,99.46944129,1,-7,0.6,,
4824,29.63407714,74.469693,98.42778619,1,9,17,8.902250675,195.775,168.825,9.45E-01,0.7378611996,0.3891077245,2,11,7,-1,-2,10,97,7,,,,,0.65,,99.46957814,8,7.2,99.46957814,1,-7,0.6,,
4830,29.60744266,74.48938927,98.4287898,2,9,17,5.27477615,180.85,166.675,5.57E-01,0.6967839814,0.3610921984,1,10,7,1,-1,10,97,7,,,,,0.65,,99.46952846,8,9.6,99.46952846,1,-7,0.6,,
4836,29.63988051,74.51479836,98.43085469,2,9,17,5.969811278,168.65,174.95,4.10E-01,0.6711770492,0.3655164248,1,10,8,1,-1,9,97,7,,,,,0.65,,99.46978652,7,17.6,99.46978652,1,-6,0.6,,
4842,29.5930056,74.52454082,98.43250834,2,9,17,9.711111111,169.6,169.5319212,5.30E-01,0.6797504612,0.3484757381,2,10,7,0,-1,10,97,7,,,,,0.65,,99.47045421,7,30.68,99.47045421,2,-5,0.6,,
4848,29.58008835,74.54077854,98.4342703,2,9,17,13.83981481,172.875,156.775,5.48E-01,0.657958113,0.3298406069,2,10,7,0,-1,10,97,7,,,,,0.65,,99.47202987,7,53.24,99.47202987,3,-4,0.6,,
4854,29.68138399,74.56214984,98.43535684,2,9,17,14.68981481,163.5692337,165.1,5.99E-01,0.6461550002,0.3382963601,3,9,7,-1,0,10,97,7,,,,,0.65,,99.47354295,7,87.56,99.47354295,4,-3,0.6,,
4860,29.68492639,74.48347698,98.43510012,2,9,17,13.50832466,161.0905333,167.875,7.44E-01,0.6485606145,0.3339255792,2,9,7,0,0,10,97,7,,,,,0.65,,99.47512462,7,119.56,99.47512462,6,-1,0.6,,
4866,29.69339293,74.42286955,98.43325612,1,9,17,14.36957378,168.875,191.025,6.19E-01,0.591259191,0.349672061,2,10,8,-1,-1,9,97,7,,,,,0.65,,99.47656595,7,137.4,99.47656595,7,0,0.6,,
4872,29.66965167,74.43598313,98.43452367,1,9,17,16.32295238,168,185.925,4.87E-01,0.6073995389,0.3856809663,3,10,8,-2,-1,9,97,7,,,,,0.65,,99.47795365,7,145.52,99.47795365,7,0,0.6,,
4878,29.61067253,74.36079765,98.41731757,1,9,17,13.425,172.2833079,190.275,9.19E-01,0.6547002141,0.4014106389,2,10,8,-1,-1,9,97,7,,,,,0.65,,99.47926655,7,148.48,99.47926655,7,0,0.6,,
4884,29.62189795,74.29360944,98.39606841,1,9,17,12.9,186.3,196.5703926,1.00E+00,0.6236736512,0.3867759391,2,11,9,-1,-2,8,97,7,,,,,0.65,,99.48064614,7,142.3944911,99.48064614,7,0,0.6,,
4890,29.62837171,74.31122626,98.3977418,2,9,17,8.982142857,190.7017162,184.125,4.88E-01,0.7150941524,0.4232458607,2,11,8,0,-2,9,97,7,,,,,0.65,,99.48165672,7,129.2713047,99.48165672,6,-1,0.6,,
4896,29.64091028,74.30413653,98.40004263,1,9,17,9.032031111,198.2,187.925,3.86E-01,0.7310767372,0.4065092,2,11,8,-1,-2,9,97,7,,,,,0.65,,99.48183929,7,101.8,99.48183929,5,-2,0.6,,
4902,29.51165794,74.31433957,98.40199292,1,9,17,14.0110527,187.6928571,185.725,2.84E-01,0.7517907612,0.3955443856,2,11,8,-1,-2,9,97,7,,,,,0.65,,99.4818669,21,68.4,99.4818669,3,-18,0.6,,
4908,29.54062985,74.32105352,98.40419422,1,9,17,15.35,186.9,159.375,4.36E-01,0.7534644565,0.3615008765,3,11,7,-2,-2,10,97,7,,,,,0.65,,99.48244733,21,41.40959778,99.48244733,2,-19,0.6,,
4914,29.58668473,74.35311475,98.40541281,2,9,17,14.1,180.9,165.475,8.09E-01,0.6837880459,0.3562053534,2,10,7,0,-1,10,97,7,,,,,0.65,,99.48310321,21,27.27160506,99.48310321,2,-19,0.6,,
4920,29.53861541,74.37405535,98.40716427,2,9,17,16.06428571,163.9357143,172.725,7.80E-01,0.6980227224,0.3572078946,3,9,8,-1,0,9,97,7,,,,,0.65,,99.48412552,21,42.72227667,99.48412552,2,-19,0.6,,
4926,29.54450188,74.3822537,98.4089609,1,9,17,16.82941397,168.775,176.4,7.19E-01,0.6103911294,0.3402219475,3,10,8,-2,-1,9,97,7,,,,,0.65,,99.48540616,21,72.753168,99.48540616,4,-17,0.6,,
4932,29.54869715,74.40495999,98.4108824,1,9,17,12.856928,173.1535714,171.2,5.47E-01,0.6855128491,0.354549058,2,10,8,-1,-1,9,97,7,,,,,0.65,,99.48676559,21,103.8009387,99.48676559,5,-16,0.6,,
4938,29.5529061,74.39418779,98.41361607,1,9,17,9.00954,173.025,175.075,8.25E-01,0.7072691254,0.3727090222,2,10,8,-1,-1,9,97,7,,,,,0.65,,99.48804059,21,126.02548,99.48804059,6,-15,0.6,,
4944,29.55317736,74.42364322,98.41498574,1,9,17,6.373740741,173.825,175.775,1.00E+00,0.6605168647,0.3782592999,1,10,8,0,-1,9,97,7,,,,,0.65,,99.48948602,21,137.72,99.48948602,7,-14,0.6,,
4950,29.5624835,74.4477901,98.41711991,1,9,17,7.132133333,178.075,175.8,1.00E+00,0.6670236197,0.3693078055,1,10,8,0,-1,9,97,7,,,,,0.65,,99.49080889,20,139.64,99.49080889,7,-13,0.6,,
4956,29.57218683,74.46740903,98.41897379,0,9,17,0.95,174.2744718,178.9,0.00E+00,0.619201284,0.3690287443,1,10,8,-1,-1,9,97,7,,,,,0.65,,99.4921052,20,142.36,99.4921052,7,-13,0.6,,
4962,29.59086005,74.49103895,98.4203246,0,9,17,1.175,178.7321429,188.7977604,0.00E+00,0.6779407991,0.3522336867,1,10,8,-1,-1,9,97,7,,,,,0.65,,99.49334841,20,139.4,99.49334841,7,-13,0.6,,
4968,29.59078592,74.49151451,98.42270042,0,9,17,1.1,179.5846533,175.7242313,0.00E+00,0.6775983085,0.3514507421,1,10,8,-1,-1,9,97,7,,,,,0.65,,99.49484075,20,132.12,99.49484075,6,-14,0.6,,
4974,29.59033038,74.43821859,98.42485645,1,9,17,1.087819683,182.025,164.9,7.12E-01,0.6214115103,0.3666932159,1,10,7,0,-1,10,97,7,,,,,0.65,,99.49561729,20,114.04,99.49561729,5,-15,0.6,,
4980,29.58987515,74.45583961,98.42646668,1,9,17,0.9024711111,172.15,166.875,7.24E-01,0.7396897784,0.3550126319,1,10,7,0,-1,10,97,7,,,,,0.65,,99.49576336,20,85.88,99.49576336,4,-16,0.6,,
4986,29.59031758,74.47698047,98.42730526,0,9,17,0.53826,162.05,187.575,0.00E+00,0.7064367399,0.3604320271,1,9,8,-1,0,9,97,7,,,,,0.65,,99.4956932,20,54.56,99.4956932,3,-17,0.6,,
4992,29.59031758,74.49473153,98.42952609,0,9,17,0.4645111111,171.5464286,201.275,0.00E+00,0.6603185819,0.3575713288,1,10,9,-1,-1,8,97,7,,,,,0.65,,99.49568417,20,27.44,99.49568417,2,-18,0.6,,
4998,29.59031758,74.46189154,98.43249724,0,9,17,0.3971733333,187.375,197.225,0.00E+00,0.6517441764,0.4040183825,1,11,9,-1,-2,8,97,7,,,,,0.65,,99.49556255,20,7.72,99.49556255,1,-19,0.6,,
5004,29.59031758,74.38058143,98.43447904,0,9,17,0,195.2972705,188.3772755,0.00E+00,0.6631475495,0.4055799704,0,11,8,0,-2,9,97,7,,,,,0.65,,99.49554823,20,0.28,99.49554823,1,-19,0.6,,
5010,29.59031758,74.33599112,98.4245402,0,9,17,0,196.475,183.2008307,0.00E+00,0.7640548731,0.415294345,0,11,8,0,-2,9,97,7,,,,,0.65,,99.49541996,20,0,99.49541996,0,-20,0.6,,
5016,29.59031758,74.34956786,98.42591841,0,9,17,0,183.7,191.6991282,0.00E+00,0.7569055583,0.3931542196,0,10,8,0,-1,9,97,7,,,,,0.65,,99.49533688,19,0.08,99.49533688,1,-18,0.6,,
5022,29.59031758,74.36484703,98.42684246,0,9,17,0,185.725,190.975,0.00E+00,0.7173904858,0.3979394055,0,11,8,0,-2,9,97,7,,,,,0.65,,99.49540876,19,2.2,99.49540876,1,-18,0.6,,
5028,29.59031758,74.38915274,98.42859982,0,9,17,0,188.8464286,185.49946,0.00E+00,0.7248602817,0.3835791389,0,11,8,0,-2,9,97,7,,,,,0.65,,99.49610651,19,9.44,99.49610651,1,-18,0.6,,
5034,29.59031758,74.37349875,98.4309155,1,9,17,0,191.65,161,0.00E+00,0.7143426358,0.3670182411,0,11,7,1,-2,10,97,7,,,,,0.65,,99.49702012,19,33.8,99.49702012,2,-17,0.6,,
5040,29.59031758,74.36102597,98.43349887,1,9,17,0,180.625,167.475,0.00E+00,0.7264443553,0.3841461097,0,10,7,1,-1,10,97,7,,,,,0.65,,99.49829532,19,69.11953926,99.49829532,4,-15,0.6,,
5046,29.60837212,74.38111183,98.43467114,1,10,17,0.325,166.1664844,183.025,4.16E-04,0.6366135078,0.3455441576,1,10,8,0,0,9,97,7,,,,,0.65,,99.49954102,19,101.64,99.49954102,5,-14,0.6,,
5052,29.49968626,74.41409987,98.43657252,1,10,17,5.845146667,173.1741333,206.575,4.78E-04,0.6020259301,0.3525119837,1,10,9,0,0,8,97,7,,,,,0.65,,99.50096656,19,130.88,99.50096656,6,-13,0.6,,
5058,29.49660082,74.44231678,98.43860485,1,10,17,7.214826667,195.0752476,217.425,2.73E-01,0.5800623249,0.4120909356,1,11,9,0,-1,8,97,7,,,,,0.65,,99.50235798,18,145.96,99.50235798,7,-11,0.6,,
5064,29.49958107,74.4385379,98.44068512,1,10,17,6.857142857,207.254,205.175,4.26E-01,0.6035765671,0.4280140579,1,12,9,0,-2,8,97,7,,,,,0.65,,99.503693,18,149.96,99.503693,7,-11,0.6,,
5070,29.50944008,74.36031525,98.43811914,1,10,17,6.819656667,211.81562,195.225545,4.78E-01,0.6592005124,0.4379109425,1,12,9,0,-2,8,97,7,,,,,0.65,,99.50496981,18,149.52,99.50496981,7,-11,0.6,,
5076,29.51552645,74.35004902,98.43642849,1,10,17,7.080645556,199.3033117,203.35,6.49E-01,0.7508594183,0.4261706788,1,11,9,0,-1,8,97,7,,,,,0.65,,99.50617629,18,149.88,99.50617629,7,-11,0.6,,
5082,29.52006112,74.36848766,98.43767778,1,10,17,7.2,197.8643289,195.9207069,7.39E-01,0.6647319065,0.4191904546,1,11,9,0,-1,8,97,7,,,,,0.65,,99.50761102,18,150.76,99.50761102,7,-11,0.6,,
5088,29.5278088,74.38866258,98.43943114,1,10,17,4.275,196.775,189.4,6.60E-01,0.6855180372,0.3872212226,1,11,8,0,-1,9,97,7,,,,,0.65,,99.50944518,18,148.68,99.50944518,7,-11,0.6,,
5094,29.55584679,74.37035125,98.44044269,0,10,17,1.3,195.8,188.25,0.00E+00,0.6576369754,0.3842615104,1,11,8,-1,-1,9,97,7,,,,,0.65,,99.50988759,18,124.92,99.50988759,6,-12,0.6,,
5100,29.56503286,74.37158812,98.44013659,0,10,17,1.4,185.25,168.6,0.00E+00,0.6909754223,0.4061279056,1,11,7,-1,-1,10,97,7,,,,,0.65,,99.50982664,18,88.56,99.50982664,4,-14,0.6,,
5106,29.57356891,74.35696702,98.44166736,0,11,17,1.525,184.7968133,167.15,0.00E+00,0.6189487246,0.3699007992,1,11,7,-1,0,10,97,7,,,,,0.65,,99.50978743,18,55.08,99.50978743,3,-15,0.6,,
5112,29.52400129,74.37925811,98.44367568,0,11,17,3.75,170.272272,177.125,0.00E+00,0.5832359165,0.3397434746,1,10,8,-1,1,9,97,7,,,,,0.65,,99.510064,18,25.04,99.510064,2,-16,0.6,,
5118,29.53007313,74.40826377,98.44451669,0,11,17,3.75,175.7364422,185.6,0.00E+00,0.5518787076,0.3631044719,1,10,8,-1,1,9,97,7,,,,,0.65,,99.51040375,18,17.8,99.51040375,1,-17,0.6,,
5124,29.49603056,74.43787287,98.44631869,0,11,17,5.625,180.3750165,179.9465414,0.00E+00,0.5238560719,0.3575816534,1,10,8,-1,1,9,97,7,,,,,0.65,,99.51062773,18,27.28,99.51062773,2,-16,0.6,,
5130,29.49524597,74.46361594,98.44898424,0,11,17,5.075,182.4025644,181.275,0.00E+00,0.5921405085,0.3899835858,1,10,8,-1,1,9,97,7,,,,,0.65,,99.51088264,18,35.52,99.51088264,2,-16,0.6,,
5136,29.49588185,74.49230114,98.45078762,0,11,17,5.075,181.5626706,180.15,0.00E+00,0.581603658,0.3796369783,1,10,8,-1,1,9,97,7,,,,,0.65,,99.51122563,17,38,99.51122563,2,-15,0.6,,
5142,29.49588185,74.51858646,98.45272296,0,11,17,4.925,181.3445467,178.675,0.00E+00,0.5632011962,0.3781603679,1,10,8,-1,1,9,97,7,,,,,0.65,,99.5114581,17,38.12,99.5114581,2,-15,0.6,,
5148,29.49588185,74.5478785,98.45434108,0,11,17,4.75,180.175,187.6,0.00E+00,0.5678160772,0.3884841273,1,10,8,-1,1,9,97,7,,,,,0.65,,99.5122016,17,35,99.5122016,2,-15,0.6,,
5154,29.49588185,74.56736599,98.45571755,1,11,17,2.325,185.375,171.65,3.59E-04,0.5216715149,0.3818429158,1,11,8,0,0,9,97,7,,,,,0.65,,99.51210653,17,25.56,99.51210653,2,-15,0.6,,
5160,29.49588185,74.58876942,98.45787965,1,11,17,0,182.35,170.725,4.12E-04,0.5647768681,0.3693919267,0,10,8,1,1,9,97,7,,,,,0.65,,99.51225793,17,23.4,99.51225793,2,-15,0.6,,
5166,29.49588185,74.6048642,98.45875723,1,11,17,0,165.625,166,5.99E-03,0.586809398,0.3458075685,0,9,7,1,2,10,97,7,,,,,0.65,,99.512979,17,35.08,99.512979,2,-15,0.6,,
5172,29.49588185,74.63671005,98.46085681,1,11,17,0,168.675,165.275,6.76E-03,0.5395814118,0.3545232638,0,10,7,1,1,10,97,7,,,,,0.65,,99.51408737,17,62.44,99.51408737,3,-14,0.6,,
5178,29.49588185,74.6692619,98.46227259,2,11,17,0,169.75,163.675,3.07E-03,0.5530834389,0.354318727,0,10,7,2,1,10,97,7,,,,,0.65,,99.51540558,16,97.56,99.51540558,5,-11,0.6,,
5184,29.49588185,74.69762482,98.46427097,2,11,17,0,165.8,171.75,1.91E-01,0.497162803,0.3377621193,0,9,8,2,2,9,97,7,,,,,0.65,,99.51670435,16,128.48,99.51670435,6,-10,0.6,,
5190,29.49588185,74.71990618,98.46610135,2,11,17,0,165.425,166.825,2.65E-01,0.5238533836,0.3406265357,0,9,7,2,2,10,97,7,,,,,0.65,,99.51793525,16,146.6,99.51793525,7,-9,0.6,,
5196,29.49588185,74.73572805,98.4678882,2,11,17,0,170.1,177.75,3.98E-01,0.5246597961,0.339883307,0,10,8,2,1,9,97,7,,,,,0.65,,99.51918286,16,150.24,99.51918286,7,-9,0.6,,
5202,29.49588185,74.7513957,98.4695027,2,11,17,0,169.225,175.925,5.70E-01,0.5244546258,0.3596662937,0,10,8,2,1,9,97,7,,,,,0.65,,99.52032984,16,150.88,99.52032984,7,-9,0.6,,
5208,29.49588185,74.76307221,98.47103251,2,11,17,0,179.8462419,171.275,5.90E-01,0.570237664,0.3551611103,0,10,8,2,1,9,97,7,,,,,0.65,,99.52201731,16,145.32,99.52201731,7,-9,0.6,,
5214,29.49588185,74.75923505,98.47299005,2,10,17,0,170.1021274,164.825,6.99E-01,0.5483062645,0.35214901,0,10,7,2,0,10,97,7,,,,,0.65,,99.5220839,16,110.12,99.5220839,5,-11,0.6,,
5220,29.49588185,74.78515579,98.47461217,2,10,17,0,168.5,167.1,8.88E-01,0.5835027499,0.340282856,0,10,7,2,0,10,97,7,,,,,0.65,,99.52200773,16,73.12,99.52200773,4,-12,0.6,,
5226,29.49588185,74.80408167,98.47596929,2,10,17,0,163.55,159.4321429,9.34E-01,0.5885597868,0.3430266785,0,9,7,2,1,10,97,7,,,,,0.65,,99.52206164,16,39.2,99.52206164,2,-14,0.6,,
5232,29.49588185,74.82376935,98.47780826,2,10,17,0,165.225,179.125,8.71E-01,0.5386732896,0.3271465385,0,9,8,2,1,9,97,7,,,,,0.65,,99.52196153,16,7.2,99.52196153,1,-15,0.6,,
5238,29.49588185,74.83956787,98.47837914,2,10,17,0,169.95,165.25,1.00E+00,0.5800956891,0.3349753191,0,10,7,2,0,10,97,7,,,,,0.65,,99.52196499,16,0,99.52196499,0,-16,0.6,,
5244,29.49588185,74.83115612,98.4801063,0,10,17,0,176.8,167.775,0.00E+00,0.5883846758,0.3677702878,0,10,7,0,0,10,97,7,,,,,0.65,,99.52182065,16,0,99.52182065,0,-16,0.6,,
5250,29.5465783,74.85527287,98.48167047,1,10,17,0,166.5,161.65,2.96E-04,0.5912053356,0.3616834894,0,9,7,1,1,10,97,7,,,,,0.65,,99.52179931,16,2.92,99.52179931,1,-15,0.6,,
5256,29.56330443,74.87056673,98.48280883,2,10,17,0.2688888889,166.125,180.825,2.88E-01,0.5752271915,0.3516483322,1,9,8,1,1,9,97,7,,,,,0.65,,99.52271123,15,31,99.52271123,2,-13,0.6,,
5262,29.45147362,74.89099254,98.48444621,2,10,17,8.139604384,163.0333467,194.4990251,4.84E-01,0.6021461524,0.3482838843,2,9,8,0,1,9,97,7,,,,,0.65,,99.52385957,15,65.36,99.52385957,3,-12,0.6,,
5268,29.43852273,74.83757208,98.48474587,2,10,17,9.421663889,177.9964286,203.375,4.94E-01,0.5931250031,0.3548805329,2,10,9,0,0,8,97,7,,,,,0.65,,99.52566036,15,102.48,99.52566036,5,-10,0.6,,
5274,29.41687637,74.811964,98.44874109,1,10,17,12.16004044,173.8508128,191.975,1.41E-01,0.5736643723,0.4163877621,2,10,8,-1,0,9,97,7,,,,,0.65,,99.52688166,15,137.88,99.52688166,7,-8,0.6,,
5280,29.43827873,74.66740531,98.38487264,1,9,17,14.29858313,191.6507056,183.025,4.77E-01,0.6486527005,0.4223627532,2,11,8,-1,-2,9,97,7,,,,,0.65,,99.5280344,15,150.52,99.5280344,7,-8,0.6,,
5286,29.47588946,74.66346963,98.38619984,1,9,17,13.89886744,193.75,166.1,5.91E-01,0.7213433252,0.3904775448,2,11,7,-1,-2,10,97,7,,,,,0.65,,99.52928489,15,150.16,99.52928489,7,-8,0.6,,
5292,29.50160128,74.66788341,98.38716454,1,9,17,15.075,177.45,137.975,7.18E-01,0.7715203476,0.3840636428,3,10,6,-2,-1,11,97,7,,,,,0.65,,99.53032174,15,146.84,99.53032174,7,-8,0.6,,
5298,29.50480466,74.66795981,98.38715493,2,9,17,12,153.575,110.85,5.28E-01,0.6521329185,0.3270073175,2,9,5,0,0,12,97,7,,,,,0.65,,99.53106882,14,129.84,99.53106882,6,-8,0.6,,
5304,29.50550525,74.67607167,98.38725553,2,9,17,6.85,128.075,89.85043128,4.64E-01,0.6202399175,0.2901009989,1,7,4,1,2,13,97,7,,,,,0.65,,99.53158049,14,110.28,99.53158049,5,-9,0.6,,
5310,29.56101141,74.69988127,98.38780838,3,9,17,5.576888508,121.875,107.775,3.61E-01,0.5800165568,0.1881979984,1,7,5,2,2,12,97,7,,,,,0.65,,99.53206669,14,93.2,99.53206669,5,-9,0.6,,
5316,29.89398386,74.70741984,98.38998331,3,9,17,8.919306032,110.2406408,122.725,3.47E-01,0.4835117427,0.2278555499,2,6,6,1,3,11,97,7,,,,,0.65,,99.53266099,14,77,99.53266099,4,-10,0.6,,
5322,30.01511145,74.62238761,98.38862478,3,9,17,11.30262857,111.5868438,135.55,3.07E-01,0.3889338777,0.2227580056,2,7,6,1,2,11,97,7,,,,,0.65,,99.53311,14,71.92,99.53311,4,-10,0.6,,
5328,29.88208244,74.53625537,98.38095621,3,9,17,17.37349079,131.725,161.475,3.49E-01,0.4551096085,0.2683420968,3,8,7,0,1,10,97,7,,,,,0.65,,99.53409333,14,67.76,99.53409333,3,-11,0.6,,
5334,29.87547197,74.56077945,98.38226714,3,9,17,17.83033867,157.15,178.925,4.15E-01,0.4159396111,0.2947641668,3,9,8,0,0,9,97,7,,,,,0.65,,99.53427887,14,56.84,99.53427887,3,-11,0.6,,
5340,29.87746322,74.58265857,98.38398266,3,9,16,19.22730857,177.625,177.5156933,4.50E-01,0.5635424846,0.363358683,3,10,8,0,-1,8,97,7,,,,,0.65,,99.53432731,14,42.88,99.53432731,2,-12,0.6,,
