,,,,,,,152.08,154.6,155.52,,,,,,,,,,,,,,,,7,7,7,,,,,,
-6,,58.60400898,0.7569615243,0.5860400898,0.5044123424,,Base6,base7,base8,155.52,,,,,,,,,,,,,80.77092619,25.76680895,4502,4514,4509,RPS max,CPU MAX,1.001108893,4502,4558,4566
0,2022-09-14 06:50:51,0.5257920874,0,0.005257920874,0.00488377719,2022-09-14 06:50:51,0,0.102756,0.4131466667,0.751284451,2022-09-14 06:50:51,7,2022-09-14 06:50:51,100,100,100,98,2022-09-14 06:50:51,4680,2022-09-14 06:50:51,8,2022-09-14 06:50:51,532.5682783,65.0599355,0,1,1,150,0.6,0.1026421808,0,1,1
6,2022-09-14 06:50:57,0.5062366409,0,0.005062366409,0.006459826503,2022-09-14 06:50:57,0,2.546293333,4.621412,0.4490226508,2022-09-14 06:50:57,7,2022-09-14 06:50:57,100,100,100,98,2022-09-14 06:50:57,5040,2022-09-14 06:50:57,126,2022-09-14 06:50:57,492.1113094,65.0599355,0,1,1,150,0.65,2.543472893,0,1,1
12,2022-09-14 06:51:03,2.911647144,0.3041899502,0.02911647144,0.04637537553,2022-09-14 06:51:03,0.9177151111,10.03254533,13.71751733,0.2686325747,2022-09-14 06:51:03,7,2022-09-14 06:51:03,100,100,100,98,2022-09-14 06:51:03,5400,2022-09-14 06:51:03,358,2022-09-14 06:51:03,482.2387978,65.0599355,1,1,1,150,0.65,10.02143263,1,1,1
18,2022-09-14 06:51:09,6.930817911,0.2703737821,0.06930817911,0.1228564236,2022-09-14 06:51:09,5.629108,23.08572533,27.272144,0.1535053007,2022-09-14 06:51:09,7,2022-09-14 06:51:09,100,100,100,98,2022-09-14 06:51:09,6120,2022-09-14 06:51:09,766,2022-09-14 06:51:09,483.0872126,65.0599355,1,1,2,150,0.65,23.06015408,1,2,2
24,2022-09-14 06:51:15,14.16223596,0.2444912068,0.1416223596,0.1675542924,2022-09-14 06:51:15,16.00614133,44.483392,46.62762133,0.04598624746,2022-09-14 06:51:15,7,2022-09-14 06:51:15,100,100,100,98,2022-09-14 06:51:15,6480,2022-09-14 06:51:15,1181,2022-09-14 06:51:15,483.9922623,65.0599355,1,2,2,150,0.65,44.4341193,1,2,3
30,2022-09-14 06:51:21,20.06830524,0.1018302017,0.2006830524,0.238012614,2022-09-14 06:51:21,29.542176,67.48075067,72.331864,0.06706744531,2022-09-14 06:51:21,7,2022-09-14 06:51:21,100,99.94566212,100,98,2022-09-14 06:51:21,6840,2022-09-14 06:51:21,1803,2022-09-14 06:51:21,486.4382516,65.0599355,2,3,4,150,0.65,67.4060046,2,3,4
36,2022-09-14 06:51:27,30.74845505,0.1948322535,0.3074845505,0.3307939777,2022-09-14 06:51:27,51.53215467,88.73458267,98.08232667,0.09530508011,2022-09-14 06:51:27,7,2022-09-14 06:51:27,99.58447037,98.96399931,99.96350361,98,2022-09-14 06:51:27,7200,2022-09-14 06:51:27,2466,2022-09-14 06:51:27,491.1279572,65.0599355,3,4,5,150,0.65,88.63629447,3,4,5
42,2022-09-14 06:51:33,43.01537694,0.3438987747,0.4301537694,0.3721642688,2022-09-14 06:51:33,75.90313467,105.36,116.56,0.09608785175,2022-09-14 06:51:33,7,2022-09-14 06:51:33,99.71109945,98.39224175,99.97215482,98,2022-09-14 06:51:33,7560,2022-09-14 06:51:33,3307,2022-09-14 06:51:33,501.0789566,65.0599355,4,5,5,150,0.65,105.2432964,4,5,6
48,2022-09-14 06:51:39,44.22659048,0.434828745,0.4422659048,0.455854895,2022-09-14 06:51:39,97.12116267,116.72,128,0.088125,2022-09-14 06:51:39,7,2022-09-14 06:51:39,98.90615253,96.48775463,99.97686179,98,2022-09-14 06:51:39,9000,2022-09-14 06:51:39,4176,2022-09-14 06:51:39,515.009418,65.0599355,5,6,6,150,0.65,116.5907133,5,6,6
54,2022-09-14 06:51:45,53.16053272,0.4182209101,0.5316053272,0.4487431969,2022-09-14 06:51:45,110.4,122.28,135.84,0.09982332155,2022-09-14 06:51:45,7,2022-09-14 06:51:45,98.53707526,95.02185887,99.72976193,98,2022-09-14 06:51:45,9360,2022-09-14 06:51:45,4806,2022-09-14 06:51:45,536.8658319,65.0599355,5,6,6,150,0.65,122.1445547,5,6,6
60,2022-09-14 06:51:51,60.39353933,0.5955700479,0.6039353933,0.4738680113,2022-09-14 06:51:51,115.56,126.28,143.08,0.1174168297,2022-09-14 06:51:51,7,2022-09-14 06:51:51,95.59454718,94.557205,99.73867645,98,2022-09-14 06:51:51,9720,2022-09-14 06:51:51,5632,2022-09-14 06:51:51,566.4045671,65.0599355,6,6,7,150,0.65,126.1401241,6,6,7
66,2022-09-14 06:51:57,57.51431352,0.7166533995,0.5751431352,0.5625912007,2022-09-14 06:51:57,118.12,129.5978739,146.04,0.1125864568,2022-09-14 06:51:57,7,2022-09-14 06:51:57,93.14106326,94.81268307,99.74449373,98,2022-09-14 06:51:57,10080,2022-09-14 06:51:57,6528,2022-09-14 06:51:57,574.2167976,65.0599355,6,6,7,150,0.65,129.4543228,6,6,7
72,2022-09-14 06:52:03,60.21618423,0.6901597354,0.6021618423,0.5653377334,2022-09-14 06:52:03,116.92,133.2,145.76,0.08616904501,2022-09-14 06:52:03,7,2022-09-14 06:52:03,91.94639209,95.16444107,99.773471,98,2022-09-14 06:52:03,10440,2022-09-14 06:52:03,7345,2022-09-14 06:52:03,577.8312168,65.0599355,6,6,7,150,0.65,133.052459,6,6,7
78,2022-09-14 06:52:09,58.60186808,0.7048011033,0.5860186808,0.546880807,2022-09-14 06:52:09,116.48,134.6,145.32,0.07376823562,2022-09-14 06:52:09,7,2022-09-14 06:52:09,90.09676007,95.09336691,99.67723727,98,2022-09-14 06:52:09,11160,2022-09-14 06:52:09,8074,2022-09-14 06:52:09,564.5082857,65.0599355,6,7,7,150,0.65,134.4509083,6,7,7
84,2022-09-14 06:52:15,57.02815257,0.6329459321,0.5702815257,0.5421086823,2022-09-14 06:52:15,118.72,137.08,141.72,0.0327406153,2022-09-14 06:52:15,7,2022-09-14 06:52:15,90.23936464,95.44750571,99.63915343,98,2022-09-14 06:52:15,11520,2022-09-14 06:52:15,8672,2022-09-14 06:52:15,542.060688,65.0599355,6,7,7,150,0.65,136.9281613,6,7,7
90,2022-09-14 06:52:21,65.76593667,0.6867707906,0.6576593667,0.4988283259,2022-09-14 06:52:21,120.44,132.2420306,133.64,0.01046071054,2022-09-14 06:52:21,7,2022-09-14 06:52:21,90.5369542,95.79200143,99.66738971,98,2022-09-14 06:52:21,11880,2022-09-14 06:52:21,9347,2022-09-14 06:52:21,540.0260967,65.0599355,6,6,6,150,0.65,132.0955508,6,6,6
96,2022-09-14 06:52:27,57.68149691,0.7295259011,0.5768149691,0.5132161708,2022-09-14 06:52:27,121.84,124.84,123.28,-0.0126541207,2022-09-14 06:52:27,7,2022-09-14 06:52:27,90.74222196,95.99800093,99.68794035,98,2022-09-14 06:52:27,12240,2022-09-14 06:52:27,10004,2022-09-14 06:52:27,512.0515365,65.0599355,6,6,6,150,0.65,124.7017191,6,6,6
102,2022-09-14 06:52:33,57.24109312,0.6867865356,0.5724109312,0.4769496773,2022-09-14 06:52:33,118.92,112.72,108.32,-0.04062038405,2022-09-14 06:52:33,7,2022-09-14 06:52:33,91.37742447,96.14070054,99.70206806,98,2022-09-14 06:52:33,12600,2022-09-14 06:52:33,10373,2022-09-14 06:52:33,497.1309892,65.0599355,6,5,5,150,0.65,112.595144,6,5,5
108,2022-09-14 06:52:39,53.39493296,0.6985142709,0.5339493296,0.4076746471,2022-09-14 06:52:39,109.8,96.32,94.2,-0.02250530786,2022-09-14 06:52:39,7,2022-09-14 06:52:39,91.68000309,96.29971003,99.70968128,98,2022-09-14 06:52:39,14040,2022-09-14 06:52:39,10620,2022-09-14 06:52:39,487.2449358,65.0599355,6,5,5,150,0.65,96.2133097,6,5,5
114,2022-09-14 06:52:45,43.24792828,0.6200488573,0.4324792828,0.3157042043,2022-09-14 06:52:45,98.24,71.72,71.32,-0.005608524958,2022-09-14 06:52:45,7,2022-09-14 06:52:45,92.08542515,96.39943068,99.71464799,98,2022-09-14 06:52:45,14400,2022-09-14 06:52:45,10751,2022-09-14 06:52:45,482.2421088,65.0599355,5,4,4,150,0.65,71.64055826,5,4,4
120,2022-09-14 06:52:51,38.36255789,0.6407450095,0.3836255789,0.3326108057,2022-09-14 06:52:51,85.4,47.16,46.76,-0.008554319932,2022-09-14 06:52:51,7,2022-09-14 06:52:51,92.29777139,96.4077827,99.71581323,98,2022-09-14 06:52:51,14760,2022-09-14 06:52:51,10793,2022-09-14 06:52:51,481.1079082,65.0599355,4,3,2,150,0.65,47.10776252,4,3,3
126,2022-09-14 06:52:57,29.83420439,0.5263651141,0.2983420439,0.2145482883,2022-09-14 06:52:57,59.2,30.76,26.24,-0.1722560976,2022-09-14 06:52:57,7,2022-09-14 06:52:57,92.41094005,96.41111698,99.71677362,98,2022-09-14 06:52:57,15120,2022-09-14 06:52:57,10825,2022-09-14 06:52:57,484.9770493,65.0599355,3,2,2,150,0.65,30.72592822,3,2,2
132,2022-09-14 06:53:03,21.39849392,0.3581833931,0.2139849392,0.1649061306,2022-09-14 06:53:03,39.64,18.32,14.56,-0.2582417582,2022-09-14 06:53:03,7,2022-09-14 06:53:03,92.43099751,96.41935207,99.71882139,98,2022-09-14 06:53:03,15480,2022-09-14 06:53:03,10907,2022-09-14 06:53:03,478.8852202,65.0599355,2,1,1,150,0.65,18.29970758,2,1,1
138,2022-09-14 06:53:09,11.29113286,0.3031352473,0.1129113286,0.1004999892,2022-09-14 06:53:09,23.48,12.40033285,12.44,0.003188677391,2022-09-14 06:53:09,7,2022-09-14 06:53:09,92.44518379,96.48816742,99.7214554,98,2022-09-14 06:53:09,16200,2022-09-14 06:53:09,11032,2022-09-14 06:53:09,471.1923926,65.0599355,2,1,1,150,0.65,12.38659744,2,1,1
144,2022-09-14 06:53:15,6.263224076,0.2192589701,0.06263224076,0.06202222271,2022-09-14 06:53:15,13.64,16.68,17.4,0.04137931034,2022-09-14 06:53:15,7,2022-09-14 06:53:15,92.54880771,96.54236381,99.72587508,98,2022-09-14 06:53:15,16560,2022-09-14 06:53:15,11176,2022-09-14 06:53:15,473.2286038,65.0599355,1,1,1,150,0.65,16.66152415,1,1,1
150,2022-09-14 06:53:21,5.828411173,0.09152565572,0.05828411173,0.06051039693,2022-09-14 06:53:21,12.04,26.6,28.12,0.05405405405,2022-09-14 06:53:21,7,2022-09-14 06:53:21,92.62719125,96.60410456,99.73148823,98,2022-09-14 06:53:21,16920,2022-09-14 06:53:21,11438,2022-09-14 06:53:21,468.0551423,65.0599355,1,2,2,150,0.65,26.57053611,1,2,2
156,2022-09-14 06:53:27,7.462579939,0.06404586709,0.07462579939,0.09220390331,2022-09-14 06:53:27,20.04,34.84,38.68,0.09927611169,2022-09-14 06:53:27,7,2022-09-14 06:53:27,92.76963628,96.6761726,99.73844063,98,2022-09-14 06:53:27,17280,2022-09-14 06:53:27,11783,2022-09-14 06:53:27,472.2739759,65.0599355,1,2,2,150,0.65,34.80140895,1,2,2
162,2022-09-14 06:53:33,12.12322145,0.06998014808,0.1212322145,0.1336494156,2022-09-14 06:53:33,29.6,44.56,47.76,0.06700167504,2022-09-14 06:53:33,7,2022-09-14 06:53:33,92.9270579,96.75372043,99.74585108,98,2022-09-14 06:53:33,17640,2022-09-14 06:53:33,12067,2022-09-14 06:53:33,477.5692187,65.0599355,2,2,3,150,0.65,44.51064245,2,2,3
168,2022-09-14 06:53:39,14.38542721,0.1398979375,0.1438542721,0.1457384472,2022-09-14 06:53:39,39,52.36,54.12,0.0325203252,2022-09-14 06:53:39,7,2022-09-14 06:53:39,93.11087831,96.87640348,99.75170429,98,2022-09-14 06:53:39,19080,2022-09-14 06:53:39,12389,2022-09-14 06:53:39,478.0978436,65.0599355,2,3,3,150,0.65,52.30200266,2,3,3
174,2022-09-14 06:53:45,17.85031582,0.177070763,0.1785031582,0.167919238,2022-09-14 06:53:45,47.64,59.2,58.72,-0.008174386921,2022-09-14 06:53:45,7,2022-09-14 06:53:45,93.34269413,96.97070287,99.75859559,98,2022-09-14 06:53:45,19440,2022-09-14 06:53:45,12628,2022-09-14 06:53:45,484.6106115,65.0599355,3,3,3,150,0.65,59.13442623,3,3,3
180,2022-09-14 06:53:51,23.66880771,0.2280738358,0.2366880771,0.1903609985,2022-09-14 06:53:51,53.52,60.2,59.44,-0.01278600269,2022-09-14 06:53:51,7,2022-09-14 06:53:51,93.5112743,97.03765062,99.76395058,98,2022-09-14 06:53:51,19800,2022-09-14 06:53:51,12944,2022-09-14 06:53:51,485.1244933,65.0599355,3,3,3,150,0.65,60.13331856,3,3,3
186,2022-09-14 06:53:57,22.32075607,0.2580876658,0.2232075607,0.1896481972,2022-09-14 06:53:57,58.96,58.76,57.8,-0.01660899654,2022-09-14 06:53:57,7,2022-09-14 06:53:57,93.72186257,97.09408773,99.76932811,98,2022-09-14 06:53:57,20160,2022-09-14 06:53:57,13269,2022-09-14 06:53:57,485.4341685,65.0599355,3,3,3,150,0.65,58.6949136,3,3,3
192,2022-09-14 06:54:03,23.3122315,0.230675721,0.233122315,0.2185189268,2022-09-14 06:54:03,59.16,57.12,56.44,-0.01204819277,2022-09-14 06:54:03,7,2022-09-14 06:54:03,93.87322573,97.15135233,99.7749722,98,2022-09-14 06:54:03,20520,2022-09-14 06:54:03,13560,2022-09-14 06:54:03,484.0796131,65.0599355,3,3,3,150,0.65,57.05673017,3,3,3
198,2022-09-14 06:54:09,20.74728025,0.2928582865,0.2074728025,0.2090903151,2022-09-14 06:54:09,57.8,57.16,56.44,-0.01275690999,2022-09-14 06:54:09,7,2022-09-14 06:54:09,94.01196542,97.24535435,99.77935899,98,2022-09-14 06:54:09,21240,2022-09-14 06:54:09,13861,2022-09-14 06:54:09,482.5928895,65.0599355,3,3,3,150,0.65,57.09668587,3,3,3
204,2022-09-14 06:54:15,21.56232651,0.261150339,0.2156232651,0.2025184621,2022-09-14 06:54:15,56.44,58.52,58.48,-0.000683994528,2022-09-14 06:54:15,7,2022-09-14 06:54:15,94.16960181,97.31783068,99.78496718,98,2022-09-14 06:54:15,21600,2022-09-14 06:54:15,14150,2022-09-14 06:54:15,481.8329587,65.0599355,3,3,3,150,0.65,58.45517944,3,3,3
210,2022-09-14 06:54:21,19.52403082,0.2661835017,0.1952403082,0.1801772178,2022-09-14 06:54:21,56.32,63.24,63.16,-0.001266624446,2022-09-14 06:54:21,7,2022-09-14 06:54:21,94.30211187,97.38722939,99.7905214,98,2022-09-14 06:54:21,21960,2022-09-14 06:54:21,14536,2022-09-14 06:54:21,480.2542602,65.0599355,3,3,3,150,0.65,63.16995126,3,3,3
216,2022-09-14 06:54:27,19.6284417,0.2486009192,0.196284417,0.1931878485,2022-09-14 06:54:27,60,66.84,68.96,0.0307424594,2022-09-14 06:54:27,7,2022-09-14 06:54:27,94.49658209,97.44664656,99.7969945,98,2022-09-14 06:54:27,22320,2022-09-14 06:54:27,15027,2022-09-14 06:54:27,478.7178914,65.0599355,3,3,3,150,0.65,66.76596367,3,3,3
222,2022-09-14 06:54:33,26.04147814,0.2266392033,0.2604147814,0.2182594529,2022-09-14 06:54:33,63.2,72.52,74.36,0.02474448628,2022-09-14 06:54:33,7,2022-09-14 06:54:33,94.6246341,97.51491667,99.80316549,98,2022-09-14 06:54:33,22680,2022-09-14 06:54:33,15428,2022-09-14 06:54:33,477.649562,65.0599355,3,4,4,150,0.65,72.43967213,3,4,4
228,2022-09-14 06:54:39,28.54467862,0.2820943576,0.2854467862,0.2292970598,2022-09-14 06:54:39,69.12,76.88,78.36,0.01888718734,2022-09-14 06:54:39,7,2022-09-14 06:54:39,94.81902343,97.60800971,99.80776526,98,2022-09-14 06:54:39,24120,2022-09-14 06:54:39,15849,2022-09-14 06:54:39,480.5190555,65.0599355,4,4,4,150,0.65,76.79484271,4,4,4
234,2022-09-14 06:54:45,25.75876911,0.3056996119,0.2575876911,0.2477107661,2022-09-14 06:54:45,73,82.32,84.12,0.02139800285,2022-09-14 06:54:45,7,2022-09-14 06:54:45,94.94955061,97.68426677,99.81393529,98,2022-09-14 06:54:45,24480,2022-09-14 06:54:45,16249,2022-09-14 06:54:45,481.2298824,65.0599355,4,4,4,150,0.65,82.22881701,4,4,4
240,2022-09-14 06:54:51,25.28088023,0.3615772957,0.2528088023,0.2295043011,2022-09-14 06:54:51,76.56,87.24,88.44,0.01356852103,2022-09-14 06:54:51,7,2022-09-14 06:54:51,95.07722747,97.75287331,99.81942003,98,2022-09-14 06:54:51,24840,2022-09-14 06:54:51,16783,2022-09-14 06:54:51,482.9371148,65.0599355,4,4,4,150,0.65,87.1433673,4,4,4
246,2022-09-14 06:54:57,29.27340826,0.3691622368,0.2927340826,0.2825479685,2022-09-14 06:54:57,83.2,91,92.6,0.01727861771,2022-09-14 06:54:57,7,2022-09-14 06:54:57,95.27957384,97.81196753,99.82533492,98,2022-09-14 06:54:57,25200,2022-09-14 06:54:57,17407,2022-09-14 06:54:57,483.4997346,65.0599355,4,4,4,150,0.65,90.89920248,4,4,5
252,2022-09-14 06:55:03,37.98300989,0.4509018057,0.3798300989,0.3121807605,2022-09-14 06:55:03,87.04,95.08,97.44,0.02422003284,2022-09-14 06:55:03,7,2022-09-14 06:55:03,95.40418369,97.87334888,99.83096259,98,2022-09-14 06:55:03,25560,2022-09-14 06:55:03,17904,2022-09-14 06:55:03,484.5661549,65.0599355,4,5,5,150,0.65,94.97468321,4,5,5
258,2022-09-14 06:55:09,36.17927248,0.4521353416,0.3617927248,0.2983636564,2022-09-14 06:55:09,91.92,99.84,99.8,-0.0004008016032,2022-09-14 06:55:09,7,2022-09-14 06:55:09,95.58573348,97.95873783,99.83524351,98,2022-09-14 06:55:09,26280,2022-09-14 06:55:09,18430,2022-09-14 06:55:09,484.6972448,65.0599355,5,5,5,150,0.65,99.72941072,5,5,5
264,2022-09-14 06:55:15,29.4374274,0.4104628484,0.294374274,0.3191454104,2022-09-14 06:55:15,95.2,101.24,100.76,-0.004763795157,2022-09-14 06:55:15,7,2022-09-14 06:55:15,95.70466789,98.02168933,99.83996256,98,2022-09-14 06:55:15,26640,2022-09-14 06:55:15,18876,2022-09-14 06:55:15,484.7251675,65.0599355,5,5,5,150,0.65,101.12786,5,5,5
270,2022-09-14 06:55:21,37.02573514,0.4199919229,0.3702573514,0.3010107044,2022-09-14 06:55:21,98.76,101.44,101.64,0.00196772924,2022-09-14 06:55:21,7,2022-09-14 06:55:21,95.81692115,98.07381711,99.8445522,98,2022-09-14 06:55:21,27000,2022-09-14 06:55:21,19423,2022-09-14 06:55:21,485.2186085,65.0599355,5,5,5,150,0.65,101.3276385,5,5,5
276,2022-09-14 06:55:27,35.76205754,0.4354075228,0.3576205754,0.3467994393,2022-09-14 06:55:27,100.2,100,98.56,-0.01461038961,2022-09-14 06:55:27,7,2022-09-14 06:55:27,95.98132238,98.11688302,99.84851699,98,2022-09-14 06:55:27,27360,2022-09-14 06:55:27,19999,2022-09-14 06:55:27,482.9167874,65.0599355,5,5,5,150,0.65,99.8892335,5,5,5
282,2022-09-14 06:55:33,37.6775548,0.4325783741,0.376775548,0.3311868038,2022-09-14 06:55:33,99.84,97.76,95.16,-0.02732240437,2022-09-14 06:55:33,7,2022-09-14 06:55:33,96.07492897,98.15739,99.85228453,98,2022-09-14 06:55:33,27720,2022-09-14 06:55:33,20409,2022-09-14 06:55:33,481.2323521,65.0599355,5,5,5,150,0.65,97.65171467,5,5,5
288,2022-09-14 06:55:39,30.4445333,0.4676303297,0.304445333,0.3398773227,2022-09-14 06:55:39,97.12,92.4,92.16,-0.002604166667,2022-09-14 06:55:39,7,2022-09-14 06:55:39,96.19609742,98.21202534,99.85493414,98,2022-09-14 06:55:39,29160,2022-09-14 06:55:39,20832,2022-09-14 06:55:39,482.9034858,65.0599355,5,5,4,150,0.65,92.29765175,5,5,5
294,2022-09-14 06:55:45,31.68506296,0.4367425609,0.3168506296,0.3195116031,2022-09-14 06:55:45,94.24,88.88,87.92,-0.01091901729,2022-09-14 06:55:45,7,2022-09-14 06:55:45,96.27169285,98.25241395,99.85805857,98,2022-09-14 06:55:45,29520,2022-09-14 06:55:45,21193,2022-09-14 06:55:45,483.2471581,65.0599355,5,4,4,150,0.65,88.78155073,5,4,4
300,2022-09-14 06:55:51,37.13820892,0.433095689,0.3713820892,0.2897316868,2022-09-14 06:55:51,90.48,84.96,84.72,-0.00283286119,2022-09-14 06:55:51,7,2022-09-14 06:55:51,96.34234575,98.28571514,99.86085948,98,2022-09-14 06:55:51,29880,2022-09-14 06:55:51,21658,2022-09-14 06:55:51,479.1936443,65.0599355,5,4,4,150,0.65,84.86589278,5,4,4
306,2022-09-14 06:55:57,33.02575947,0.4135042885,0.3302575947,0.2726889476,2022-09-14 06:55:57,85.6,81.96,80.32,-0.02041832669,2022-09-14 06:55:57,7,2022-09-14 06:55:57,96.44351264,98.31233711,99.8635655,98,2022-09-14 06:55:57,30240,2022-09-14 06:55:57,22090,2022-09-14 06:55:57,477.1117518,65.0599355,4,4,4,150,0.65,81.86921577,4,4,4
312,2022-09-14 06:56:03,32.01920946,0.3987036296,0.3201920946,0.2356825408,2022-09-14 06:56:03,82.68,76.72,74.64,-0.02786709539,2022-09-14 06:56:03,7,2022-09-14 06:56:03,96.50438441,98.33522468,99.86571124,98,2022-09-14 06:56:03,30600,2022-09-14 06:56:03,22379,2022-09-14 06:56:03,476.3465662,65.0599355,4,4,4,150,0.65,76.63501994,4,4,4
318,2022-09-14 06:56:09,26.20770695,0.3789350898,0.2620770695,0.2312430299,2022-09-14 06:56:09,78.32,69.92,69.16,-0.01098901099,2022-09-14 06:56:09,7,2022-09-14 06:56:09,96.58258686,98.36844543,99.8671203,98,2022-09-14 06:56:09,31320,2022-09-14 06:56:09,22632,2022-09-14 06:56:09,474.6789703,65.0599355,4,4,3,150,0.65,69.84255206,4,4,4
324,2022-09-14 06:56:15,28.07854709,0.3827232207,0.2807854709,0.2559493902,2022-09-14 06:56:15,73.32,61.28,58.76,-0.04288631722,2022-09-14 06:56:15,7,2022-09-14 06:56:15,96.62453342,98.38674269,99.86853268,98,2022-09-14 06:56:15,31680,2022-09-14 06:56:15,22832,2022-09-14 06:56:15,473.8440166,65.0599355,4,3,3,150,0.65,61.21212229,4,3,3
330,2022-09-14 06:56:21,23.98355365,0.3214570675,0.2398355365,0.2007736642,2022-09-14 06:56:21,65.96,55.44,55.92,0.008583690987,2022-09-14 06:56:21,7,2022-09-14 06:56:21,96.65720079,98.4047678,99.87031967,98,2022-09-14 06:56:21,32040,2022-09-14 06:56:21,23152,2022-09-14 06:56:21,476.2980317,65.0599355,3,3,3,150,0.65,55.37859105,3,3,3
336,2022-09-14 06:56:27,18.83901798,0.3329637313,0.1883901798,0.1774761602,2022-09-14 06:56:27,57,53.2,52.96,-0.004531722054,2022-09-14 06:56:27,7,2022-09-14 06:56:27,96.71081871,98.42152883,99.87201297,98,2022-09-14 06:56:27,32400,2022-09-14 06:56:27,23475,2022-09-14 06:56:27,478.5022488,65.0599355,3,3,3,150,0.65,53.14107222,3,3,3
342,2022-09-14 06:56:33,19.66133031,0.2971116592,0.1966133031,0.1542921274,2022-09-14 06:56:33,54.08,51.36,51.64,0.005422153369,2022-09-14 06:56:33,7,2022-09-14 06:56:33,96.74777774,98.43656254,99.87350016,98,2022-09-14 06:56:33,32760,2022-09-14 06:56:33,23715,2022-09-14 06:56:33,479.5890363,65.0599355,3,3,3,150,0.65,51.30311032,3,3,3
348,2022-09-14 06:56:39,16.85284407,0.257866378,0.1685284407,0.1573034789,2022-09-14 06:56:39,51.68,50.64,51,0.007058823529,2022-09-14 06:56:39,7,2022-09-14 06:56:39,96.79819539,98.461574,99.87452432,98,2022-09-14 06:56:39,34200,2022-09-14 06:56:39,23927,2022-09-14 06:56:39,479.3337367,65.0599355,3,3,3,150,0.65,50.58390784,3,3,3
354,2022-09-14 06:56:45,19.57008407,0.2389248335,0.1957008407,0.1588460484,2022-09-14 06:56:45,50.68,46.88,46.36,-0.01121656601,2022-09-14 06:56:45,7,2022-09-14 06:56:45,96.82831222,98.47401232,99.8756628,98,2022-09-14 06:56:45,34560,2022-09-14 06:56:45,24094,2022-09-14 06:56:45,475.8520964,65.0599355,3,3,2,150,0.65,46.82807266,3,3,3
360,2022-09-14 06:56:51,17.79124923,0.2236557071,0.1779124923,0.1483223701,2022-09-14 06:56:51,49.11655964,41.72,42.28,0.01324503311,2022-09-14 06:56:51,7,2022-09-14 06:56:51,96.85110095,98.48306672,99.87650961,98,2022-09-14 06:56:51,34920,2022-09-14 06:56:51,24303,2022-09-14 06:56:51,471.2477119,65.0599355,3,2,2,150,0.65,41.67378821,3,2,2
366,2022-09-14 06:56:57,15.20290492,0.2074760611,0.1520290492,0.1434582205,2022-09-14 06:56:57,43.88,37.52,36.6,-0.02513661202,2022-09-14 06:56:57,7,2022-09-14 06:56:57,96.88648708,98.49129079,99.87742286,98,2022-09-14 06:56:57,35280,2022-09-14 06:56:57,24442,2022-09-14 06:56:57,469.8533205,65.0599355,2,2,2,150,0.65,37.47844041,2,2,2
372,2022-09-14 06:57:03,14.3569662,0.235178983,0.143569662,0.1161446299,2022-09-14 06:57:03,39.6,32.28,31.52,-0.02411167513,2022-09-14 06:57:03,7,2022-09-14 06:57:03,96.90528615,98.49688071,99.87809901,98,2022-09-14 06:57:03,35640,2022-09-14 06:57:03,24552,2022-09-14 06:57:03,474.4440056,65.0599355,2,2,2,150,0.65,32.24424457,2,2,2
378,2022-09-14 06:57:09,12.06304061,0.1921660967,0.1206304061,0.1064150273,2022-09-14 06:57:09,34.52,27.08,27.24,0.005873715125,2022-09-14 06:57:09,7,2022-09-14 06:57:09,96.93388628,98.51118426,99.87852357,98,2022-09-14 06:57:09,36360,2022-09-14 06:57:09,24654,2022-09-14 06:57:09,479.6557032,65.0599355,2,2,2,150,0.65,27.05000443,2,2,2
384,2022-09-14 06:57:15,11.43297613,0.1640853881,0.1143297613,0.09706454952,2022-09-14 06:57:15,30.12190148,23.72,23.12,-0.02595155709,2022-09-14 06:57:15,7,2022-09-14 06:57:15,96.94581031,98.51664829,99.87896993,98,2022-09-14 06:57:15,36720,2022-09-14 06:57:15,24747,2022-09-14 06:57:15,485.8699342,65.0599355,2,2,1,150,0.65,23.69372619,2,2,2
390,2022-09-14 06:57:21,9.163449363,0.1444598065,0.09163449363,0.08660240956,2022-09-14 06:57:21,25.56,21.36,21.56,0.009276437848,2022-09-14 06:57:21,7,2022-09-14 06:57:21,96.95278289,98.52093182,99.87952458,98,2022-09-14 06:57:21,37080,2022-09-14 06:57:21,24878,2022-09-14 06:57:21,479.9902624,65.0599355,2,1,1,150,0.65,21.33634027,2,1,1
396,2022-09-14 06:57:27,8.947751036,0.1311405154,0.08947751036,0.0679638038,2022-09-14 06:57:27,22.32,21.08,20.2,-0.04356435644,2022-09-14 06:57:27,7,2022-09-14 06:57:27,96.97203623,98.52705615,99.88013483,98,2022-09-14 06:57:27,37440,2022-09-14 06:57:27,24997,2022-09-14 06:57:27,473.5986848,65.0599355,1,1,1,150,0.65,21.05665042,1,1,1
402,2022-09-14 06:57:33,8.26550936,0.1124682451,0.0826550936,0.05974547512,2022-09-14 06:57:33,21,21.24,20.92,-0.01529636711,2022-09-14 06:57:33,7,2022-09-14 06:57:33,96.98316837,98.53171869,99.88073165,98,2022-09-14 06:57:33,37800,2022-09-14 06:57:33,25100,2022-09-14 06:57:33,473.7419522,65.0599355,1,1,1,150,0.65,21.21647319,1,1,1
